date,baseline,overlay,scalar
2007-01-04,272125.31990915985,268207.88436482777,0.964
2007-01-05,271253.6860487034,267386.59807479195,0.956
2007-01-08,272942.26517028187,268971.2079234878,0.952
2007-01-09,272436.55353893613,268498.76833590807,0.948
2007-01-10,273961.59808582586,269929.6258822751,0.952
2007-01-11,275685.1621099336,271546.31021935015,0.952
2007-01-12,277187.71351470926,272961.1841506914,0.956
2007-01-16,275829.14694106503,271682.19831541076,0.956
2007-01-17,274104.2636264154,270064.79735777975,0.952
2007-01-18,272661.54496898444,268722.94161364465,0.944
2007-01-19,272607.3092587053,268672.69647609926,0.94
2007-01-22,271026.1217906804,267207.83264792734,0.94
2007-01-23,269654.2840281046,265925.6522749368,0.948
2007-01-24,273847.91187061986,269862.7821770764,0.952
2007-01-25,269778.946465057,266029.4588719616,0.956
2007-01-26,269365.16137834906,265639.3782259882,0.956
2007-01-29,268822.7538658991,265123.72972473106,0.964
2007-01-30,269444.42386453005,265712.32086023496,0.96
2007-01-31,270424.51049894583,266636.3057123089,0.956
2007-02-01,269910.99182114983,266154.2841965464,0.952
2007-02-02,271086.8049891042,267262.71631602495,0.956
2007-02-05,269909.3378433243,266152.93683861755,0.956
2007-02-06,271572.9818697068,267708.1219691841,0.948
2007-02-07,272229.73326318624,268321.861824783,0.948
2007-02-08,272636.32069337496,268700.1706246249,0.944
2007-02-09,271059.42027892446,267226.8514716322,0.948
2007-02-12,270013.95771702565,266253.8890450674,0.944
2007-02-13,271507.03849576635,267649.61896161194,0.948
2007-02-14,273888.8348514824,269875.4823214464,0.948
2007-02-15,273735.10858861177,269731.88527415,0.948
2007-02-16,273213.581540418,269246.7636685388,0.944
2007-02-20,273723.98564106075,269723.6014948617,0.948
2007-02-21,273297.9160013533,269325.5905441828,0.948
2007-02-22,274150.4358954404,270118.6720405846,0.944
2007-02-23,274121.50853652565,270091.76620750007,0.944
2007-02-26,272895.97268740326,268951.867540832,0.944
2007-02-27,264455.03284301783,260932.40474650182,0.964
2007-02-28,265657.93573294044,262076.55690014546,0.964
2007-03-01,264628.19060527056,261089.1381008182,0.972
2007-03-02,260345.3536671452,256931.18740400096,0.984
2007-03-05,257266.3932286633,253916.91308458682,0.992
2007-03-06,262838.4403239108,259306.42486895365,0.98
2007-03-07,262837.39293257793,259305.4080854999,0.984
2007-03-08,266528.8975395243,262874.4686210505,0.98
2007-03-09,266418.6389828522,262768.766750483,0.972
2007-03-12,265708.97422270325,262085.6228499153,0.976
2007-03-13,262686.77006039984,259128.47903317586,0.992
2007-03-14,264500.45136018493,260910.43619321837,0.996
2007-03-15,263679.4022185243,260110.24986037053,0.988
2007-03-16,262201.8748016058,258670.21251923437,0.988
2007-03-19,263869.8116742918,260295.93788304026,0.988
2007-03-20,265447.83728085767,261827.68414160504,0.984
2007-03-21,267891.456317062,264237.97732661513,1.0
2007-03-22,269202.4082561622,265531.05062399665,1.0
2007-03-23,270026.2472911179,266343.6542181246,1.0
2007-03-26,270301.6418790281,266615.2930000272,1.0
2007-03-27,269611.9996891425,265935.05608676485,1.0
2007-03-28,267206.7421289124,263754.91855730995,0.9189374046554638
2007-03-29,266610.8715024713,263294.26831495104,0.7831882649005467
2007-03-30,266401.26977702434,263124.0132148908,0.8225110218553071
2007-04-02,267563.23568981746,264182.78328688163,0.9225375981047872
2007-04-03,269649.1004937535,266242.2948189622,1.0
2007-04-04,270952.92861624795,267529.65009196993,1.0
2007-04-05,271432.51287635,268003.1751797037,1.0
2007-04-09,272408.9180027505,268967.2441903173,1.0
2007-04-10,273688.6735075117,270230.83098430594,1.0
2007-04-11,272065.1479868558,268627.8174399438,1.0
2007-04-12,274502.7060167662,271034.5788289096,1.0
2007-04-13,274090.43392205785,270627.5154699591,1.0
2007-04-16,275506.2939622489,272025.48722492764,1.0
2007-04-17,273903.98496321565,270443.42214801646,1.0
2007-04-18,273367.81638555165,269914.0276413569,1.0
2007-04-19,272179.1442871975,268740.37348611,1.0
2007-04-20,274601.72087688587,271132.3427136442,1.0
2007-04-23,276105.88509906875,272617.502996268,1.0
2007-04-24,277437.552513549,273932.3458335615,1.0
2007-04-25,280769.40889217245,277222.10681042954,1.0
2007-04-26,281569.0243946715,278011.6197958923,1.0
2007-04-27,281032.8559907838,277482.2254608135,1.0
2007-04-30,278460.0997352448,274941.97397015296,1.0
2007-05-01,278882.03849618987,275358.581864566,1.0
2007-05-02,280991.54694235686,277441.4383199336,1.0
2007-05-03,281739.07122018124,278170.6612539277,0.988
2007-05-04,283038.0490405569,279437.79636398173,0.988
2007-05-07,282522.1016695176,278936.5620114222,0.984
2007-05-08,283441.2951567245,279825.9392892955,0.98
2007-05-09,286503.0496347288,282776.0955905291,0.976
2007-05-10,284139.9072527788,280490.3420063861,0.98
2007-05-11,287539.8565127271,283792.9209820341,0.984
2007-05-14,287223.4237656592,283485.6086230482,0.984
2007-05-15,286305.05606182286,282593.69486593263,0.984
2007-05-16,287145.443830331,283416.55276996834,0.992
2007-05-17,289002.1793123456,285234.5155633079,0.992
2007-05-18,290662.9076955648,286867.0370507545,0.996
2007-05-21,292265.0522421312,288435.6088473528,0.992
2007-05-22,291757.7724401635,287934.9757493685,1.0
2007-05-23,291004.64017886034,287191.71150800586,1.0
