date,portfolio_value,cash,n_positions,leverage,drawdown,regime_score,crash_active,max_positions,above_sma_today
2022-04-05,380839.8405765537,380839.8405765537,0,1.0,-0.09202338986790008,0.0,False,1,False
2022-04-06,380896.6642987985,380896.6642987985,0,1.0,-0.09188791399273748,0.0,False,1,False
2022-04-07,380953.4964995034,380953.4964995034,0,1.0,-0.09175241790371415,0.0,False,1,False
2022-04-08,381010.33717993344,381010.33717993344,0,1.0,-0.09161690159781406,0.0,False,1,False
2022-04-11,381067.1863413539,381067.1863413539,0,1.0,-0.09148136507202079,0.0,False,1,False
2022-04-12,381124.04398503026,381124.04398503026,0,1.0,-0.09134580832331728,0.0,False,1,False
2022-04-13,381180.910112228,381180.910112228,0,1.0,-0.09121023134868612,0.0,False,1,False
2022-04-14,381237.784724213,381237.784724213,0,1.0,-0.09107463414510963,0.0,False,1,False
2022-04-18,381294.6678222512,381294.6678222512,0,1.0,-0.09093901670956939,0.0,False,1,False
2022-04-19,381351.5594076088,381351.5594076088,0,1.0,-0.09080337903904671,0.0,False,1,False
2022-04-20,381408.4594815522,381408.4594815522,0,1.0,-0.09066772113052238,0.0,False,1,False
2022-04-21,381465.36804534786,381465.36804534786,0,1.0,-0.09053204298097675,0.0,False,1,False
2022-04-22,381522.28510026255,381522.28510026255,0,1.0,-0.09039634458738975,0.0,False,1,False
2022-04-25,381579.2106475632,381579.2106475632,0,1.0,-0.0902606259467409,0.0,False,1,False
2022-04-26,381636.144688517,381636.144688517,0,1.0,-0.09012488705600917,0.0,False,1,False
2022-04-27,381693.0872243911,381693.0872243911,0,1.0,-0.0899891279121731,0.0,False,1,False
2022-04-28,381750.0382564532,381750.0382564532,0,1.0,-0.08985334851221084,0.0,False,1,False
2022-04-29,381806.9977859708,381806.9977859708,0,1.0,-0.08971754885309995,0.0,False,1,False
2022-05-02,381863.9658142119,381863.9658142119,0,1.0,-0.0895817289318177,0.0,False,1,False
2022-05-03,381920.94234244444,381920.94234244444,0,1.0,-0.0894458887453409,0.0,False,1,False
2022-05-04,381977.9273719368,381977.9273719368,0,1.0,-0.08931002829064583,0.0,False,1,False
2022-05-05,382034.9209039574,382034.9209039574,0,1.0,-0.08917414756470828,0.0,False,1,False
2022-05-06,382091.9229397748,382091.9229397748,0,1.0,-0.08903824656450358,0.0,False,1,False
2022-05-09,382148.93348065787,382148.93348065787,0,1.0,-0.08890232528700684,0.0,False,1,False
2022-05-10,382205.9525278756,382205.9525278756,0,1.0,-0.08876638372919257,0.0,False,1,False
2022-05-11,382262.98008269724,382262.98008269724,0,1.0,-0.08863042188803474,0.0,False,1,False
2022-05-12,382320.0161463921,382320.0161463921,0,1.0,-0.0884944397605069,0.0,False,1,False
2022-05-13,382377.0607202298,382377.0607202298,0,1.0,-0.08835843734358231,0.0,False,1,False
2022-05-16,382434.1138054801,382434.1138054801,0,1.0,-0.08822241463423358,0.0,False,1,False
2022-05-17,382491.175403413,382491.175403413,0,1.0,-0.08808637162943299,0.0,False,1,False
2022-05-18,382548.2455152986,382548.2455152986,0,1.0,-0.08795030832615229,0.0,False,1,False
2022-05-19,382605.3241424073,382605.3241424073,0,1.0,-0.0878142247213628,0.0,False,1,False
