date,value
2002-03-27,131375.5662355604
2002-03-28,131604.20702021482
2002-04-01,132147.8654561054
2002-04-02,131415.0818276957
2002-04-03,130837.61926415596
2002-04-04,132071.95678134702
2002-04-05,132046.8004138074
2002-04-08,132448.14139435822
2002-04-09,132668.57526068328
2002-04-10,133497.71205899876
2002-04-11,132688.70337882434
2002-04-12,134020.60734684358
2002-04-15,134540.070162243
2002-04-16,136633.11329959065
2002-04-17,136155.1280732182
2002-04-18,136154.62656344107
2002-04-19,136023.08536672342
2002-04-22,136191.1015433625
2002-04-23,137115.65337839216
2002-04-24,136498.52671335297
2002-04-25,137021.69692303153
2002-04-26,135542.00450892045
2002-04-29,135454.233413065
2002-04-30,135373.51478464788
2002-05-01,136460.18306679188
2002-05-02,136891.54348010736
2002-05-03,136813.54417175584
2002-05-06,134693.8694394052
2002-05-07,134305.80367705453
2002-05-08,135863.67056047192
2002-05-09,135414.82474018744
2002-05-10,135707.16249605836
2002-05-13,136442.8398966726
2002-05-14,136380.60381509457
2002-05-15,135129.8292719483
2002-05-16,135525.58463660293
2002-05-17,135388.45849317533
2002-05-20,135104.00610234914
2002-05-21,134390.39187678057
2002-05-22,135315.32378896134
2002-05-23,135942.8928205311
2002-05-24,135815.29083796949
2002-05-28,135306.4709651624
2002-05-29,135345.79045450204
2002-05-30,134396.14244815896
2002-05-31,135085.7779044062
2002-06-03,132813.30040855968
2002-06-04,131686.41225097716
2002-06-05,130888.73619573769
2002-06-06,130587.05367614304
2002-06-07,130976.14550752848
2002-06-10,130035.42838962925
2002-06-11,128875.6606964882
2002-06-12,129149.74017781844
2002-06-13,128898.02440249716
2002-06-14,128951.18394668149
2002-06-17,129940.05422598902
2002-06-18,130186.56483494284
2002-06-19,130686.74114605636
2002-06-20,130207.29324682293
2002-06-21,129844.80311527822
2002-06-24,128891.21464765447
2002-06-25,128733.53966618991
2002-06-26,129682.74584927216
2002-06-27,129979.899716991
2002-06-28,130922.43754402606
2002-07-01,130639.79038631207
2002-07-02,129335.60039227906
2002-07-03,130193.00070562324
2002-07-05,132662.79208018625
2002-07-08,132609.85862520587
2002-07-09,132020.43103451762
2002-07-10,131161.03726015845
2002-07-11,132052.8890984757
2002-07-12,132664.40712653162
2002-07-15,132271.7152074626
2002-07-16,131425.06435982283
2002-07-17,131799.17615505055
2002-07-18,129471.5959997234
2002-07-19,128440.22809542484
2002-07-22,126935.80658400508
2002-07-23,126728.1424565396
2002-07-24,129699.70177265444
2002-07-25,128298.41727980526
2002-07-26,127709.3714055761
2002-07-29,128065.14433244774
2002-07-30,127608.09761063586
2002-07-31,129324.2460568911
2002-08-01,129068.88322844058
2002-08-02,128429.99179743204
2002-08-05,127486.9593572218
2002-08-06,128274.3695942002
2002-08-07,129190.51429175008
2002-08-08,130056.10287872274
2002-08-09,130303.04694466275
2002-08-12,130359.02752648084
2002-08-13,128918.76794749509
2002-08-14,130974.93015254672
2002-08-15,130524.72885900427
2002-08-16,130651.24397588316
2002-08-19,130984.4886516697
2002-08-20,130562.22537176414
2002-08-21,130911.7567186409
2002-08-22,131507.45034572433
2002-08-23,131059.19408660984
2002-08-26,131299.97481076542
2002-08-27,131059.37696065236
2002-08-28,130535.95664633856
2002-08-29,130617.911830585
2002-08-30,130644.75332748365
2002-09-03,129667.57339871576
2002-09-04,130777.6947957714
2002-09-05,130403.98641190812
2002-09-06,131245.9191735789
2002-09-09,132077.77018732968
2002-09-10,132561.48703458608
2002-09-11,131988.5527633654
2002-09-12,131484.43819855843
2002-09-13,131993.2385760585
2002-09-16,132258.68037198088
2002-09-17,131385.61915793995
2002-09-18,131541.23338323136
2002-09-19,130906.78168138064
2002-09-20,131134.70418124893
2002-09-23,130704.83536332166
2002-09-24,130438.78085768952
2002-09-25,130969.48543278448
2002-09-26,131487.7525224986
2002-09-27,132142.62981230862
2002-09-30,132184.5059191871
2002-10-01,132216.148216283
2002-10-02,132417.37684434198
2002-10-03,132754.65229216815
2002-10-04,132057.28356634892
2002-10-07,132075.63365429206
2002-10-08,132523.1945479226
2002-10-09,132294.74609125295
2002-10-10,131815.74464893117
2002-10-11,132813.49849763006
2002-10-14,133675.96862249964
2002-10-15,134896.47657746164
2002-10-16,134770.11616205357
2002-10-17,134628.33627468522
2002-10-18,134788.6117280155
2002-10-21,135829.41333220125
2002-10-22,136063.00495803653
2002-10-23,136985.50746970426
2002-10-24,139000.39217753182
2002-10-25,139212.9264996895
2002-10-28,138817.3538433806
2002-10-29,138957.6883857518
2002-10-30,138926.4820187827
2002-10-31,138493.8157680496
2002-11-01,139438.79117068968
2002-11-04,140836.51331779876
2002-11-05,140353.4826540556
2002-11-06,140262.0106017295
2002-11-07,141026.07209564594
2002-11-08,131666.98275142926
2002-11-11,130950.95392285296
2002-11-12,131725.45289591677
2002-11-13,131389.3859282316
2002-11-14,133781.1508729493
2002-11-15,133693.82984828393
2002-11-18,133479.21809129097
2002-11-19,133394.93149238723
2002-11-20,134022.5039390725
2002-11-21,133962.58902182657
2002-11-22,132951.80415485383
2002-11-25,132454.582916196
2002-11-26,131479.10000348047
2002-11-27,132348.29168591433
2002-11-29,132218.07467131712
2002-12-02,131946.02848932586
2002-12-03,131618.36641411632
2002-12-04,130637.80116677364
2002-12-05,129953.14568355886
2002-12-06,129505.43102619328
