symbol,year,total_revenue,total_debt,ratio
AXP,2022,52862000000.0,43921000000.0,1.2035700462193484
BLK,2024,20407000000.0,14222000000.0,1.4348896076501196
BLK,2023,17859000000.0,9702000000.0,1.8407544836116265
BLK,2022,17873000000.0,8489000000.0,2.1054305571916596
BLK,2021,19374000000.0,9318000000.0,2.0792015453960078
SCHW,2024,19606000000.0,45134000000.0,0.43439535605087076
SCHW,2023,18837000000.0,59081000000.0,0.3188334659196696
SCHW,2022,20762000000.0,37878000000.0,0.5481282010665822
SCHW,2021,18520000000.0,23769000000.0,0.7791661407715933
C,2024,81089000000.0,335805000000.0,0.24147645210762197
C,2023,77024000000.0,324076000000.0,0.237672644688283
C,2022,74480000000.0,318702000000.0,0.23369793725800278
C,2021,71887000000.0,282347000000.0,0.2546051489833432
USB,2024,27335000000.0,65626000000.0,0.41652698625544754
USB,2023,28013000000.0,62935000000.0,0.4451100341622309
USB,2022,24184000000.0,69388000000.0,0.34853288753098516
USB,2021,22721000000.0,41718000000.0,0.544633012129057
PNC,2024,20809000000.0,61673000000.0,0.33740859046908694
PNC,2023,21509000000.0,72737000000.0,0.29570919889464786
PNC,2022,21114000000.0,58713000000.0,0.3596137141689234
PNC,2021,19211000000.0,30784000000.0,0.6240579521829522
TFC,2024,13278000000.0,52590000000.0,0.2524814603536794
TFC,2023,20022000000.0,59694000000.0,0.3354105940295507
TFC,2022,19973000000.0,62946000000.0,0.31730372064944556
TFC,2021,22296000000.0,38452000000.0,0.5798398002704671
CB,2024,56150000000.0,15289000000.0,3.672575053960364
CB,2023,50133000000.0,14495000000.0,3.458640910658848
CB,2022,42975000000.0,14877000000.0,2.8886872353297037
CB,2021,40770000000.0,16168000000.0,2.5216476991588324
MMC,2025,26981000000.0,21449000000.0,1.2579141218704835
MMC,2024,24458000000.0,21862000000.0,1.1187448540847131
MMC,2023,22736000000.0,15436000000.0,1.472920445711324
MMC,2022,20720000000.0,13472000000.0,1.5380047505938241
AIG,2025,26774000000.0,9191000000.0,2.913067130888913
AIG,2024,27270000000.0,8922000000.0,3.0564895763281776
AIG,2023,27938000000.0,10606000000.0,2.6341693381105036
AIG,2022,29975000000.0,27179000000.0,1.1028735420729239
UNH,2024,400278000000.0,76904000000.0,5.204904816394466
UNH,2023,371622000000.0,62537000000.0,5.942434079025217
UNH,2022,324162000000.0,57623000000.0,5.625566180171112
UNH,2021,287597000000.0,46003000000.0,6.251700976023303
JNJ,2025,94193000000.0,47933000000.0,1.9650971147226337
JNJ,2024,88821000000.0,36634000000.0,2.42455096358574
