symbol,year,ebitda,total_debt,debt_ebitda
MDT,2022,8777000000.0,24114000000.0,2.747407998177054
SYK,2025,6314000000.0,15859000000.0,2.5117199873297436
SYK,2024,4951000000.0,13597000000.0,2.7463138759846495
SYK,2023,5064000000.0,12995000000.0,2.5661532385466033
SYK,2022,4109000000.0,13048000000.0,3.1754684838160134
GILD,2024,4434000000.0,26711000000.0,6.024131709517365
GILD,2023,10496000000.0,24987000000.0,2.3806211890243905
GILD,2022,8852000000.0,25230000000.0,2.85020334387709
GILD,2021,11329000000.0,26695000000.0,2.356342130814723
REGN,2025,5818200000.0,2705900000.0,0.46507510914028394
REGN,2024,5318000000.0,2704400000.0,0.5085370440015043
REGN,2023,4693300000.0,2702900000.0,0.5759060788784012
REGN,2022,5259600000.0,2701400000.0,0.5136132025249068
VRTX,2025,4866300000.0,2030500000.0,0.4172574646034975
VRTX,2024,486300000.0,1744300000.0,3.586880526424018
VRTX,2023,4605200000.0,808400000.0,0.17554069312950576
VRTX,2022,4435500000.0,899700000.0,0.20284071694284747
BIIB,2025,2603900000.0,6577200000.0,2.5259034525135373
BIIB,2024,2829500000.0,6630300000.0,2.343276197207987
BIIB,2023,2038500000.0,7338200000.0,3.599803777287221
BIIB,2022,4356800000.0,6614000000.0,1.5180866691149468
AMZN,2025,165341000000.0,152987000000.0,0.9252816905667681
AMZN,2024,123815000000.0,130900000000.0,1.0572224690061787
AMZN,2023,89402000000.0,135611000000.0,1.5168676315966085
AMZN,2022,38352000000.0,140118000000.0,3.653473091364205
TSLA,2025,11764000000.0,14719000000.0,1.2511900714042843
TSLA,2024,14708000000.0,13623000000.0,0.9262306227903182
TSLA,2023,14796000000.0,9573000000.0,0.6469991889699919
TSLA,2022,17657000000.0,5748000000.0,0.3255366143739027
WMT,2025,42010000000.0,60114000000.0,1.4309450130921209
WMT,2024,36384000000.0,61321000000.0,1.6853836851363238
WMT,2023,30089000000.0,58923000000.0,1.9582904051314434
WMT,2022,31348000000.0,57323000000.0,1.8286015056781932
HD,2025,25488000000.0,62290000000.0,2.4438951663527937
HD,2024,25114000000.0,52243000000.0,2.0802341323564546
HD,2023,27069000000.0,50364000000.0,1.8605785215560235
HD,2022,25946000000.0,46269000000.0,1.7832806598319586
PG,2025,23921000000.0,35463000000.0,1.4825049120020066
PG,2024,22582000000.0,33369000000.0,1.4776813391196528
