date,value,positions,exposure,cash
2015-04-02,959799.5555633031,1,0.2000528515003859,767788.9176040612
2015-04-06,965452.5479584163,1,0.2046420896910751,767880.3210466331
2015-04-07,967276.1972350386,1,0.20604710674591573,767971.7353705672
2015-04-08,967267.9702106981,0,0.0,967267.9702106981
2015-04-09,967383.1211595327,0,0.0,967383.1211595327
2015-04-10,967498.2858168136,0,0.0,967498.2858168136
2015-04-13,967613.4641841727,0,0.0,967613.4641841727
2015-04-14,967728.6562632422,0,0.0,967728.6562632422
2015-04-15,967843.8620556545,0,0.0,967843.8620556545
2015-04-16,967959.0815630421,0,0.0,967959.0815630421
2015-04-17,968074.3147870377,0,0.0,968074.3147870377
2015-04-20,968189.5617292742,0,0.0,968189.5617292742
2015-04-21,968304.8223913849,0,0.0,968304.8223913849
2015-04-22,968420.0967750029,0,0.0,968420.0967750029
2015-04-23,968535.3848817619,0,0.0,968535.3848817619
2015-04-24,968650.6867132954,0,0.0,968650.6867132954
2015-04-27,968766.0022712374,0,0.0,968766.0022712374
2015-04-28,968881.3315572221,0,0.0,968881.3315572221
2015-04-29,968996.6745728836,0,0.0,968996.6745728836
2015-04-30,968766.7824780197,1,0.1997847459276192,775221.9569775314
2015-05-01,978662.1058118008,1,0.20778147973490868,775314.2453057431
2015-05-04,978652.7311964651,0,0.0,978652.7311964651
2015-05-05,978769.2374739884,0,0.0,978769.2374739884
2015-05-06,978885.7576213068,0,0.0,978885.7576213068
2015-05-07,979002.2916400712,0,0.0,979002.2916400712
2015-05-08,979118.8395319331,0,0.0,979118.8395319331
2015-05-11,977257.2954458875,1,0.1984567603609346,783313.9785526079
2015-05-12,979230.7412071622,1,0.19997688261812158,783407.2302167213
2015-05-13,980452.2320952561,1,0.2008784647184096,783500.4929822233
2015-05-14,983741.8033598897,1,0.20345586192013493,783593.7668504354
2015-05-15,983929.0957106523,1,0.20351267663585665,783687.0518226795
2015-05-18,983740.4394428789,1,0.20326509262529133,783780.3479002774
2015-05-19,982586.8984543093,1,0.2022347780968284,783873.6550845512
2015-05-20,982680.2167465813,1,0.2022155732692473,783966.9733768231
2015-05-21,982674.1895264889,0,0.0,982674.1895264889
2015-05-22,982791.1745490516,0,0.0,982791.1745490516
2015-05-26,982908.1734984026,0,0.0,982908.1734984026
2015-05-27,983025.1863762,0,0.0,983025.1863762
2015-05-28,983142.213184102,0,0.0,983142.213184102
2015-05-29,983259.2539237668,0,0.0,983259.2539237668
2015-06-01,983376.3085968529,0,0.0,983376.3085968529
2015-06-02,983493.3772050192,0,0.0,983493.3772050192
2015-06-03,983610.4597499246,0,0.0,983610.4597499246
2015-06-04,983727.5562332282,0,0.0,983727.5562332282
2015-06-05,983844.6666565893,0,0.0,983844.6666565893
2015-06-08,983961.7910216674,0,0.0,983961.7910216674
2015-06-09,984078.9293301224,0,0.0,984078.9293301224
2015-06-10,984196.0815836141,0,0.0,984196.0815836141
2015-06-11,984313.2477838027,0,0.0,984313.2477838027
2015-06-12,984430.4279323483,0,0.0,984430.4279323483
2015-06-15,984547.6220309117,0,0.0,984547.6220309117
2015-06-16,984664.8300811535,0,0.0,984664.8300811535
2015-06-17,984782.0520847347,0,0.0,984782.0520847347
2015-06-18,984899.2880433162,0,0.0,984899.2880433162
2015-06-19,985016.5379585595,0,0.0,985016.5379585595
2015-06-22,985133.801832126,0,0.0,985133.801832126
2015-06-23,985251.0796656774,0,0.0,985251.0796656774
2015-06-24,985368.3714608757,0,0.0,985368.3714608757
2015-06-25,985485.677219383,0,0.0,985485.677219383
2015-06-26,985602.9969428615,0,0.0,985602.9969428615
2015-06-29,985720.3306329737,0,0.0,985720.3306329737
2015-06-30,985837.6782913824,0,0.0,985837.6782913824
2015-07-01,985955.0399197504,0,0.0,985955.0399197504
2015-07-02,986072.4155197409,0,0.0,986072.4155197409
2015-07-06,986189.805093017,0,0.0,986189.805093017
2015-07-07,986307.2086412425,0,0.0,986307.2086412425
2015-07-08,986424.6261660807,0,0.0,986424.6261660807
2015-07-09,986542.0576691957,0,0.0,986542.0576691957
2015-07-10,986659.5031522516,0,0.0,986659.5031522516
2015-07-13,986776.9626169126,0,0.0,986776.9626169126
2015-07-14,986894.4360648431,0,0.0,986894.4360648431
2015-07-15,987011.9234977079,0,0.0,987011.9234977079
