symbol,entry_date,exit_date,exit_reason,pnl,return,days_held
INTC,2017-12-19 00:00:00-05:00,2018-01-02 00:00:00-05:00,hold_expired,-381.9615374780031,-0.00406462496846031,8
LDG,2017-12-20 00:00:00-05:00,2018-01-03 00:00:00-05:00,hold_expired,13736.094159152082,0.15254158333333334,8
NVDA,2017-12-21 00:00:00-05:00,2018-01-04 00:00:00-05:00,hold_expired,13579.508394768824,0.09015023282159809,8
AMZN,2017-12-21 00:00:00-05:00,2018-01-04 00:00:00-05:00,hold_expired,2677.711303297069,0.02963159939456341,8
UNH,2017-12-22 00:00:00-05:00,2018-01-05 00:00:00-05:00,hold_expired,3586.692072676046,0.039676709837806114,8
BA,2017-12-28 00:00:00-05:00,2018-01-10 00:00:00-05:00,hold_expired,12620.238729604658,0.08067812999766595,8
WMT,2017-12-28 00:00:00-05:00,2018-01-10 00:00:00-05:00,hold_expired,251.73371972414074,0.002682127512459412,8
PYPL,2018-01-02 00:00:00-05:00,2018-01-12 00:00:00-05:00,hold_expired,14276.973266283507,0.09072316108248997,8
MU,2018-01-02 00:00:00-05:00,2018-01-12 00:00:00-05:00,hold_expired,-1861.6421210556707,-0.019716549075263066,8
LDG,2018-01-03 00:00:00-05:00,2018-01-16 00:00:00-05:00,hold_expired,4571.997160572401,0.04657088387079281,8
NVDA,2018-01-04 00:00:00-05:00,2018-01-17 00:00:00-05:00,hold_expired,8401.420622232497,0.05192014372871855,8
INTC,2018-01-04 00:00:00-05:00,2018-01-17 00:00:00-05:00,hold_expired,-90.01211909129533,-0.0009272305364709486,8
AMZN,2018-01-05 00:00:00-05:00,2018-01-18 00:00:00-05:00,hold_expired,5003.109648271767,0.05219909197580919,8
BA,2018-01-10 00:00:00-05:00,2018-01-23 00:00:00-05:00,hold_expired,7791.95020979268,0.047864061240435185,8
WMT,2018-01-10 00:00:00-05:00,2018-01-23 00:00:00-05:00,hold_expired,6102.035004107037,0.06247233945204954,8
PYPL,2018-01-12 00:00:00-05:00,2018-01-25 00:00:00-05:00,hold_expired,7749.980855441011,0.04716909596493265,8
MU,2018-01-12 00:00:00-05:00,2018-01-25 00:00:00-05:00,hold_expired,458.19200651547084,0.0046479000917381335,8
LDG,2018-01-16 00:00:00-05:00,2018-01-26 00:00:00-05:00,hold_expired,4930.043285886596,0.04917578381850211,8
INTC,2018-01-17 00:00:00-05:00,2018-01-29 00:00:00-05:00,hold_expired,21030.885170187787,0.1259023555984811,8
NVDA,2018-01-17 00:00:00-05:00,2018-01-29 00:00:00-05:00,hold_expired,9851.68622879197,0.09829770856680223,8
AMZN,2018-01-18 00:00:00-05:00,2018-01-30 00:00:00-05:00,hold_expired,11224.29010469581,0.1117124676524103,8
LDG,2018-01-26 00:00:00-05:00,2018-02-01 00:00:00-05:00,trailing_stop,4605.6901978367105,0.044645141874340946,4
BA,2018-01-23 00:00:00-05:00,2018-02-02 00:00:00-05:00,hold_expired,6749.163080402607,0.03968820387312835,8
WMT,2018-01-23 00:00:00-05:00,2018-02-02 00:00:00-05:00,hold_expired,-1371.4502061757805,-0.013441298374986251,8
NVDA,2018-01-29 00:00:00-05:00,2018-02-05 00:00:00-05:00,position_stop,-24358.58221150177,-0.1344555254508344,5
