date,value
2014-03-25,566000.9842412684
2014-03-26,561952.8144356248
2014-03-27,557038.5538627469
2014-03-28,555620.5898465347
2014-03-31,557233.6191511942
2014-04-01,570657.3297419632
2014-04-02,570808.3993226987
2014-04-03,565152.2214632394
2014-04-04,557318.9726432585
2014-04-07,549500.901447949
2014-04-08,551468.0413707126
2014-04-09,560719.53730827
2014-04-10,548401.0302439947
2014-04-11,542866.9642281763
2014-04-14,545426.4694307772
2014-04-15,547973.1020640925
2014-04-16,557443.2474019658
2014-04-17,558515.9696356393
2014-04-21,561036.8888497688
2014-04-22,566029.7473115615
2014-04-23,568016.5286568254
2014-04-24,566051.0056745684
2014-04-25,562026.7720213151
2014-04-28,555480.5573128421
2014-04-29,562105.280830609
2014-04-30,565025.016875382
2014-05-01,567341.4953355565
2014-05-02,567731.4302428195
2014-05-05,572342.9484099573
2014-05-06,570332.085241431
2014-05-07,567557.621252405
2014-05-08,564754.220568647
2014-05-09,563420.8207237585
2014-05-12,569099.4506825036
2014-05-13,570732.0934962335
2014-05-14,567327.5213010786
2014-05-15,559986.652537605
2014-05-16,558092.5623742134
2014-05-19,562323.7706923141
2014-05-20,558737.0260828326
2014-05-21,564026.9798043862
2014-05-22,565581.9074990457
2014-05-23,567683.9699777489
2014-05-27,568701.9158219609
2014-05-28,574024.5157311662
2014-05-29,578033.4873563049
2014-05-30,575173.899609826
2014-06-02,579368.0044115557
2014-06-03,579346.651578113
2014-06-04,585991.2616604416
2014-06-05,584690.6548925993
2014-06-06,587597.3849414126
2014-06-09,584557.4177117432
2014-06-10,584980.6077508847
2014-06-11,585774.3217617335
2014-06-12,580558.5757797738
2014-06-13,583611.6620321071
2014-06-16,587500.6283007903
2014-06-17,591571.0564558511
2014-06-18,595296.2662235121
2014-06-19,593106.7766505831
2014-06-20,593349.772756801
2014-06-23,592676.386119843
2014-06-24,591824.2234439278
2014-06-25,592811.4710110867
2014-06-26,594784.9862927619
2014-06-27,593887.12620929
2014-06-30,591908.3929986854
2014-07-01,600188.1574592264
2014-07-02,595489.9204965241
2014-07-03,597091.8795492883
2014-07-07,589307.8046905235
2014-07-08,584063.0460305739
2014-07-09,585757.444875528
2014-07-10,585181.3968640347
2014-07-11,585572.7770332315
2014-07-14,588830.3137236964
2014-07-15,589522.7062017975
2014-07-16,599378.4870310916
2014-07-17,588699.1833046887
2014-07-18,594334.5203705389
2014-07-21,594536.0718176019
2014-07-22,599104.5439699743
2014-07-23,599072.822164992
2014-07-24,601926.5021992583
2014-07-25,600141.1724567345
2014-07-28,595765.7499088468
2014-07-29,596125.6092059048
2014-07-30,599821.2947063897
2014-07-31,587841.2034928317
2014-08-01,589205.4675949917
2014-08-04,593095.2004519149
2014-08-05,586881.0630185256
2014-08-06,586398.9031080537
2014-08-07,583133.8940576899
2014-08-08,584840.7029565669
2014-08-11,588182.5143413437
2014-08-12,588639.8807432227
2014-08-13,595840.1897411457
2014-08-14,595937.4222685087
2014-08-15,598161.6692060269
2014-08-18,602942.8228561812
2014-08-19,605025.1171438334
2014-08-20,608183.6633685062
2014-08-21,609975.6523656812
2014-08-22,612451.3184014453
2014-08-25,615755.1366442919
2014-08-26,613680.3120457918
2014-08-27,613681.5498597572
2014-08-28,613120.6541910323
2014-08-29,613302.3913948524
2014-09-02,610580.4398807263
2014-09-03,612083.4404051603
2014-09-04,612031.2353156811
2014-09-05,614128.9901956508
2014-09-08,616685.8864650787
2014-09-09,611963.6643485606
2014-09-10,615165.9851577928
2014-09-11,612615.9684476929
2014-09-12,607397.6986290945
2014-09-15,600833.9278939161
2014-09-16,604749.859637036
2014-09-17,602901.5640324707
2014-09-18,607130.2154712765
2014-09-19,606126.3128517243
2014-09-22,600608.508084178
2014-09-23,600772.4602201999
2014-09-24,607285.2536781733
2014-09-25,600812.092430217
2014-09-26,604197.646503577
2014-09-29,604836.4700600521
2014-09-30,603234.3326372798
2014-10-01,595976.3375635797
2014-10-02,597275.4372120991
2014-10-03,603064.0122875192
2014-10-06,600007.5883963116
2014-10-07,591940.5614644795
2014-10-08,598850.3908356074
2014-10-09,586000.5021287891
2014-10-10,572472.4745133757
2014-10-13,562472.371469217
2014-10-14,567023.1059970674
2014-10-15,566209.5328477223
2014-10-16,571944.8539744206
2014-10-17,576707.8819839933
2014-10-20,579382.5094849251
2014-10-21,585615.5101220564
2014-10-22,589488.4325955838
2014-10-23,594790.0432856225
2014-10-24,598680.4192323388
2014-10-27,603729.2840879053
2014-10-28,606106.0098926954
2014-10-29,601367.5051738911
2014-10-30,606741.5628345247
2014-10-31,611171.1539234397
2014-11-03,614116.8185673902
2014-11-04,609656.8859939082
2014-11-05,610870.8115895474
2014-11-06,614490.2221850613
2014-11-07,613270.4269505264
2014-11-10,617060.6864047102
2014-11-11,620248.668022647
2014-11-12,621495.2678657334
2014-11-13,618665.7432609777
2014-11-14,616381.4003608893
2014-11-17,617194.3465856242
2014-11-18,621622.5417057911
2014-11-19,622837.2842336465
2014-11-20,618134.6323435945
2014-11-21,620718.6899506871
2014-11-24,622115.9883287972
2014-11-25,625766.0634070702
2014-11-26,626138.7160441091
2014-11-28,621838.1941379271
2014-12-01,617458.7148454618
2014-12-02,625237.7836570176
2014-12-03,627121.7182072361
2014-12-04,629582.145995415
2014-12-05,624932.0785063591
2014-12-08,621662.5260174593
2014-12-09,624684.149511867
2014-12-10,617618.944863755
2014-12-11,617391.8514048578
2014-12-12,613959.6782371604
2014-12-15,613760.0045295294
2014-12-16,608419.1357353698
2014-12-17,617062.589148625
2014-12-18,617668.1425218405
2014-12-19,617060.0219517255
2014-12-22,613954.3654738318
2014-12-23,610861.2347796358
2014-12-24,617158.7119866596
2014-12-26,621210.5355685421
2014-12-29,622887.845114649
2014-12-30,621382.6790597725
2014-12-31,618605.6488618886
2015-01-02,618585.0244301967
2015-01-05,612300.7384559847
2015-01-06,609626.1439796675
2015-01-07,615291.5928419011
2015-01-08,623091.8789469225
2015-01-09,616060.5343096429
2015-01-12,611883.7143618732
2015-01-13,612984.213767854
2015-01-14,606868.3580433032
2015-01-15,605362.74365967
2015-01-16,609256.3709523686
2015-01-20,608087.9768890715
2015-01-21,607721.9082133429
2015-01-22,613826.8843429531
2015-01-23,614239.6030247523
2015-01-26,614957.4063594628
2015-01-27,610045.4871603114
2015-01-28,605039.6590738493
2015-01-29,609946.4908580708
2015-01-30,597417.4728956686
2015-02-02,597391.3107037237
2015-02-03,596184.5127226523
2015-02-04,600424.9985748756
2015-02-05,601438.9304562251
2015-02-06,598312.7328504556
2015-02-09,592164.6611738945
2015-02-10,599822.8376425542
2015-02-11,600260.4307815493
2015-02-12,601533.6108203819
2015-02-13,600596.0930102754
2015-02-17,601237.3066329915
2015-02-18,604519.7736622016
2015-02-19,606179.4439689775
2015-02-20,615896.7374966006
2015-02-23,616581.7163189665
2015-02-24,620876.7456126596
2015-02-25,615564.4876023992
2015-02-26,614031.7781929275
2015-02-27,609549.8679084657
2015-03-02,615964.5375718698
2015-03-03,614124.5041598098
2015-03-04,610624.8150960155
2015-03-05,610947.15696005
2015-03-06,606517.5977104951
2015-03-09,609502.7263543226
2015-03-10,602087.5847616077
2015-03-11,602837.517858798
2015-03-12,610817.6749739165
2015-03-13,606669.3545846492
2015-03-16,611635.4966083942
2015-03-17,611643.9202266852
2015-03-18,616087.2011861082
2015-03-19,615774.8027689449
2015-03-20,620314.6830924707
2015-03-23,620619.2849669595
2015-03-24,620451.0580533475
2015-03-25,614696.1218054026
2015-03-26,611257.864880267
2015-03-27,616361.943943118
2015-03-30,620489.2043756846
2015-03-31,614540.0215019375
2015-04-01,613439.8253036464
2015-04-02,614987.4953568538
2015-04-06,617738.2570771598
2015-04-07,616063.1960831585
2015-04-08,621145.9150495778
2015-04-09,621899.3485920166
2015-04-10,622812.2678600971
2015-04-13,620529.7721258602
2015-04-14,622595.4703650605
2015-04-15,618795.2330656095
2015-04-16,625894.1815497426
2015-04-17,618090.766199959
2015-04-20,619329.162033257
2015-04-21,622025.4758659021
2015-04-22,620788.0803924745
2015-04-23,622966.5596986965
2015-04-24,621922.6779479766
2015-04-27,617278.2263067047
2015-04-28,623475.6538900939
2015-04-29,615830.2528982183
2015-04-30,609504.6776515902
2015-05-01,617567.0900153525
2015-05-04,619543.83761562
2015-05-05,612185.5730080717
2015-05-06,613018.2335556648
2015-05-07,614907.1552335627
2015-05-08,623750.6194923413
2015-05-11,622202.8087203779
2015-05-12,621539.8886450641
2015-05-13,622272.8869439317
2015-05-14,632254.5805810592
2015-05-15,633219.5915158618
2015-05-18,637291.5774986849
2015-05-19,638709.8553174812
2015-05-20,641291.6621062874
2015-05-21,642697.9870846272
2015-05-22,642604.960124536
2015-05-26,636081.0626689381
2015-05-27,643583.7880296103
2015-05-28,643364.5506816617
2015-05-29,643262.5550652994
2015-06-01,647277.9484735354
2015-06-02,644125.4631650064
2015-06-03,645635.7698629164
2015-06-04,643559.3634970305
2015-06-05,647152.0672110342
2015-06-08,641952.3137785278
2015-06-09,642114.1712160573
2015-06-10,645869.6532501744
2015-06-11,644519.856939103
2015-06-12,638535.6336345207
2015-06-15,642984.1000454545
2015-06-16,647739.5505986859
2015-06-17,650058.4680010995
2015-06-18,656492.5203603649
2015-06-19,655174.0122816289
2015-06-22,661399.4805747569
2015-06-23,661599.2635010789
2015-06-24,658254.3458246393
2015-06-25,666313.2314509169
2015-06-26,668178.5562779929
2015-06-29,654508.7290730778
2015-06-30,655228.4918480159
2015-07-01,659478.4982872141
2015-07-02,658630.5434657225
2015-07-06,652706.739342613
2015-07-07,655137.0334993182
2015-07-08,648524.25352392
