date,compass_value,nightshift_value,combined_value,compass_dd,nightshift_dd,combined_dd
2021-02-19,2035342.696825228,34718.7895069048,2070061.4863321327,-0.003313823268676135,-0.34320460030230343,-0.00340314267287369
2021-02-22,2021431.7770652573,34619.24319355951,2056051.020258817,-0.01012585617694657,-0.34508777542420827,-0.010148249787104886
2021-02-23,2034150.082952778,34422.652860660855,2068572.735813439,-0.003897833893866122,-0.3488067883306691,-0.004119876981526173
2021-02-24,2095410.5893937896,34033.73968285013,2129444.32907664,0.0,-0.35616408360783003,0.0
2021-02-25,2027403.9251410128,34257.42859562935,2061661.353736642,-0.0324550542013112,-0.3519324312097084,-0.03183129721423126
2021-02-26,2011477.8143082813,34748.1276509029,2046225.9419591841,-0.040055526831040036,-0.34264959368233516,-0.039079860403554434
2021-03-01,2077817.4908389747,34693.95226121791,2112511.4431001926,-0.008396014911762322,-0.34367446082854863,-0.007951786175029812
2021-03-02,2046978.6648684156,34588.433988713805,2081567.0988571295,-0.023113333859492245,-0.34567061095212837,-0.022483438315699333
2021-03-03,2050807.3955151944,34544.7072381277,2085352.102753322,-0.021286135569019496,-0.3464978151558627,-0.020705977480255055
2021-03-04,2032670.9437193384,34858.45754015004,2067529.4012594884,-0.02994145681615653,-0.34056241942494153,-0.029075626430674847
2021-03-05,2051059.1693119276,34873.3717812828,2085932.5410932105,-0.021165980694357878,-0.34028027810880973,-0.02043340010785667
2021-03-08,2048490.911157484,35400.53037309677,2083891.4415305806,-0.02239163936356729,-0.3303077144643983,-0.021391912868561184
2021-03-09,2108069.3558597853,35722.00853528314,2143791.3643950685,0.0,-0.3242261263380242,0.0
2021-03-10,2089342.3780060527,36076.26901745559,2125418.6470235083,-0.00888347330778155,-0.3175243761246626,-0.008570198423550675
2021-03-11,2087397.9865317456,35789.87158932918,2123187.8581210747,-0.009805829808483123,-0.32294232173711745,-0.009610779582465395
2021-03-12,2098065.352049801,35803.242007802175,2133868.5940576033,-0.0047455762222320865,-0.32268938580617584,-0.004628608222920615
2021-03-15,2104759.821511184,35825.511157796085,2140585.33266898,-0.001569936178523722,-0.3222681074298583,-0.001495496147309581
2021-03-16,2094052.5188239163,35594.34298487612,2129646.861808792,-0.0066491346676552715,-0.32664124931316496,-0.006597891390549351
2021-03-17,2123517.293812809,35206.17046854522,2158723.464281354,0.0,-0.3339845330691989,0.0
2021-03-18,2087623.1666780272,35164.984252013695,2122788.150930041,-0.016903148017378904,-0.3347636765224428,-0.01664655707222606
2021-03-19,2075744.4594547783,35289.579663384095,2111034.0391181624,-0.022497030985913852,-0.3324066331412142,-0.022091493399812423
2021-03-22,2069735.905807417,35256.65796068353,2104992.5637681005,-0.025326559930588945,-0.33302943201153906,-0.02489012668935844
2021-03-23,2031653.0396805452,35384.7022398599,2067037.741920405,-0.04326042194237095,-0.33060714440545985,-0.042472194274995524
2021-03-24,2016618.4417087345,35197.94484744355,2051816.386556178,-0.05034046692981528,-0.334140141895888,-0.04952328517018539
2021-03-25,2038483.4834657835,35238.577282192804,2073722.0607479764,-0.04004385111191911,-0.3333714746525637,-0.039375772274599756
2021-03-26,2063946.6888969452,35159.68997517799,2099106.378872123,-0.028052799517777352,-0.33486383141608406,-0.02761682373665111
2021-03-29,2037682.812783659,34857.783061338596,2072540.5958449976,-0.04042090039918295,-0.34057517893029415,-0.0399230702136492
2021-03-30,2054713.381095633,34955.78037273139,2089669.1614683643,-0.03240091941687822,-0.3387213071732524,-0.031988489473327796
2021-03-31,2059133.6502653311,35221.96736579205,2094355.6176311232,-0.030319340339289652,-0.33368569403740744,-0.02981755084209417
2021-04-01,2077600.493180544,35467.34883382553,2113067.8420143696,-0.021622993495767857,-0.32904367103878296,-0.021149361195359706
2021-04-05,2078754.3198695327,35578.83618752799,2114333.1560570607,-0.021079637106653226,-0.32693460035756916,-0.02056322125496101
2021-04-06,2074260.784439676,35532.06418032734,2109792.848620003,-0.023195718498101904,-0.32781941344006166,-0.022666458428310162
2021-04-07,2083436.062584116,35712.11589029265,2119148.1784744086,-0.018874925740174534,-0.3244132712187322,-0.01833272601227794
2021-04-08,2078274.9869660824,35629.336919567046,2113904.3238856494,-0.02130536303073539,-0.3259792488330575,-0.02076187206804883
2021-04-09,2088362.0546147956,35534.60279661638,2123896.657411412,-0.016555193263762712,-0.32777138896904984,-0.016133056153876654
2021-04-12,2076371.503890696,35597.53917163774,2111969.043062334,-0.02220174521746515,-0.32658078520161554,-0.021658365229557018
2021-04-13,2054245.447565112,35590.192438473634,2089835.6400035857,-0.03262127718457066,-0.3267197675974169,-0.031911370500946196
2021-04-14,2079241.998604448,35818.03587033214,2115060.0344747803,-0.020849980990201404,-0.32240952176162124,-0.02022650447314681
2021-04-15,2072352.5399376743,35895.67525389156,2108248.215191566,-0.024094342920686847,-0.32094077268708765,-0.02338198936777275
2021-04-16,2083642.6582234448,35759.68777162224,2119402.345995067,-0.01877763637976721,-0.3235133264552195,-0.018214986280967245
2021-04-19,2070175.4644504208,35664.72169792779,2105840.1861483487,-0.02511956437454396,-0.3253098545374403,-0.024497476869095126
2021-04-20,2035395.6639258785,35558.213454389064,2070953.8773802675,-0.04149795725407387,-0.3273247325150323,-0.04065809648773396
2021-04-21,2061773.276671916,35462.117937817085,2097235.394609733,-0.029076295879856325,-0.3291426269206969,-0.0284835323694833
2021-04-22,2028662.7485883904,35504.405713075605,2064167.154301466,-0.04466860029856681,-0.3283426446445948,-0.04380195589867563
2021-04-23,2034277.22257343,35534.439219273314,2069811.6617927034,-0.04202465009321729,-0.32777448345615456,-0.04118721270222987
2021-04-26,2046099.9624721888,35492.44976956551,2081592.4122417544,-0.03645712307885953,-0.3285688221354579,-0.03572993637945049
2021-04-27,2064925.010713871,35476.852870143426,2100401.8635840146,-0.027592091323981906,-0.3288638776928509,-0.02701670763409011
2021-04-28,2053928.7249788784,35750.64525812534,2089679.3702370038,-0.03277042717602891,-0.3236843889073043,-0.031983760396719144
2021-04-29,2088051.336476332,35504.34383097433,2123555.6803073063,-0.016701515659802945,-0.32834381530405665,-0.01629100927281356
2021-04-30,2052981.626126836,35648.9774753709,2088630.603602207,-0.03321643195065536,-0.32560769709168963,-0.03246958762385121
2021-05-03,2060286.3063721657,35744.788775104935,2096031.0951472707,-0.029776535196994382,-0.3237951793801531,-0.029041408115213996
2021-05-04,2057618.340026121,35910.69669517968,2093529.0367213006,-0.031032925410447467,-0.32065660340368274,-0.030200453480389144
2021-05-05,2074560.9277541332,35886.6834650256,2110447.611219159,-0.023054375964498913,-0.32111087555202317,-0.02236314834251659
2021-05-06,2090177.806520523,36036.30815160095,2126214.114672124,-0.015700125160000196,-0.31828033891121216,-0.015059524828972314
