date,value,cash,positions,drawdown,leverage,in_protection,universe_size
2023-08-21,536458.709384883,128714.62349781091,2,-0.011578669222088474,2.0,False,40
2023-08-22,531325.9760083358,30862.21144628676,4,-0.021035693715906818,2.0,False,40
2023-08-23,534764.12469967,104527.81487677558,4,-0.014700929370674198,2.0,False,40
2023-08-24,531074.6290514428,48505.73854148455,4,-0.02149879868423515,2.0,False,40
2023-08-25,534401.9180019796,91041.58651982696,4,-0.015368292617620717,2.0,False,40
2023-08-28,540015.6442516567,129572.39107876169,2,-0.005025042199166199,2.0,False,40
2023-08-29,542195.9643659934,31068.12292456338,4,-0.0010078180004845006,2.0,False,40
2023-08-30,545329.9834464178,107015.03507442787,4,0.0,2.0,False,40
2023-08-31,545315.6533716683,49454.594870291636,4,-2.6277804603688668e-05,2.0,False,40
2023-09-01,546023.0361166511,93211.60075166341,4,0.0,2.0,False,40
2023-09-05,544838.5800016817,130730.8837665533,2,-0.0021692420220827545,2.0,False,40
2023-09-06,542916.4452364293,31345.918908168533,4,-0.005689486843478374,2.0,False,40
2023-09-07,545414.0646361773,106698.43846646708,4,-0.0011152853271629674,2.0,False,40
2023-09-08,545733.8848917957,49713.5193511385,4,-0.0005295586554587714,2.0,False,40
2023-09-11,545301.6051505862,130833.13606631794,2,-0.001321246391353333,2.0,False,40
2023-09-12,550958.0443934454,31369.03913809517,4,0.0,2.0,False,40
2023-09-13,554652.3890887216,109181.81234127909,4,0.0,2.0,False,40
2023-09-14,557994.4589251622,50228.5769683095,4,0.0,2.0,False,40
2023-09-15,551606.4524754268,94454.30208896683,4,-0.011448153915435438,2.0,False,40
2023-09-18,553551.0811056416,132813.6039112283,2,-0.007963121763036355,2.0,False,40
2023-09-19,555338.0408595528,31845.875738750707,4,-0.00476065312678255,2.0,False,40
2023-09-20,551196.488223457,108247.80840584956,4,-0.012182864171805221,2.0,False,40
2023-09-21,544699.2146064043,49284.28217333404,4,-0.02382683932806052,2.0,False,40
2023-09-22,543592.6371508888,93378.20536057354,4,-0.02580997274061636,2.0,False,40
2023-09-25,544544.3727500297,130659.19904946766,2,-0.024104336449936786,2.0,False,40
2023-09-26,537100.473440598,31328.033638468958,4,-0.03744479026693435,2.0,False,40
2023-09-27,539489.8210247643,105490.7639123062,4,-0.03316276282750633,2.0,False,40
2023-09-28,536268.5389303275,48785.53474733363,4,-0.03893572713371435,2.0,False,40
2023-09-29,536006.158628632,91750.08041945903,4,-0.03940594739755166,2.0,False,40
2023-10-02,541330.1737786882,129879.77869385743,2,-0.0298646068611033,2.0,False,40
2023-10-03,535592.4197375788,31141.21600166608,4,-0.04014742230726689,2.0,False,40
2023-10-04,531477.4373830198,103714.97513627555,4,-0.04752201588743522,2.0,False,40
2023-10-05,533132.0941107969,48936.46119856437,4,-0.044556651803059934,2.0,False,40
2023-10-06,542152.063148079,91594.91964894987,4,-0.028391672217676994,2.0,False,40
2023-10-09,544694.3897720644,130696.0534399208,2,-0.023835486070447883,2.0,False,40
2023-10-10,549537.8237372505,31337.452898139112,4,-0.015155410690280497,2.0,False,40
2023-10-11,549084.5854720531,108745.90882841652,4,-0.01596767371179943,2.0,False,40
2023-10-12,550402.3312614792,49076.91652395438,4,-0.013606098666835114,2.0,False,40
2023-10-13,554322.1644236831,94828.18044395413,4,-0.006581238295005468,2.0,False,40
2023-10-16,556991.5274800682,133645.99104288194,2,-0.001797386029649751,2.0,False,40
2023-10-17,558406.3607163229,32044.067607969533,4,0.0,2.0,False,40
2023-10-18,557530.4711225803,109651.51153363902,4,-0.0015685523220383183,2.0,False,40
2023-10-19,553939.3214024635,50393.24410264786,4,-0.007999621114861783,2.0,False,40
2023-10-20,551495.2619175297,94470.20112212587,4,-0.012376468616739269,2.0,False,40
2023-10-23,553188.2251483327,132727.23840358207,2,-0.009344692208191237,2.0,False,40
2023-10-24,558080.4474132473,31824.92408379088,4,-0.0005836489803903917,2.0,False,40
2023-10-25,554288.6275693993,109087.95308282852,4,-0.007374079947157787,2.0,False,40
2023-10-26,551237.848274382,49383.532864275854,4,-0.012837447683699729,2.0,False,40
2023-10-27,547627.8540133433,93669.65639815165,4,-0.01930226347914968,2.0,False,40
2023-10-30,550022.9669319002,131961.14202742558,2,-0.015013070004554487,2.0,False,40
2023-10-31,556972.0671385678,31640.381839043686,4,-0.002568548065812132,2.0,False,40
2023-11-01,557718.5388799973,109475.1459305035,4,-0.001231758598600553,2.0,False,40
2023-11-02,567152.5356343598,51031.64267046162,4,0.0,2.0,False,40
2023-11-03,572294.8262784223,97516.1752830297,4,0.0,2.0,False,40
2023-11-06,574525.3060201671,137844.7541559093,2,0.0,2.0,False,40
2023-11-07,574987.6167592544,33051.624465528934,4,0.0,2.0,False,40
2023-11-08,571418.189059442,112204.86543533526,4,-0.006207834039853501,2.0,False,40
2023-11-09,565109.0517577709,51803.69207676893,4,-0.017180483046158455,2.0,False,40
2023-11-10,571793.6043920363,97200.01183510243,4,-0.005554923748132402,2.0,False,40
2023-11-13,571715.7341432836,137178.1237627636,2,-0.005690353184320358,2.0,False,40
2023-11-14,590632.6977572932,32890.38136446018,4,0.0,2.0,False,40
2023-11-15,594390.9307126964,117111.81465977768,4,0.0,2.0,False,40
2023-11-16,582433.5186138786,54061.8842060161,4,-0.020117083691839625,2.0,False,40
2023-11-17,580143.6983297268,98342.26349998056,4,-0.023969464617985724,2.0,False,40
2023-11-20,582664.873678824,139805.3384677385,2,-0.01972785321574873,2.0,False,40
2023-11-21,580020.3437645815,33522.30940840848,4,-0.02417699565315382,2.0,False,40
2023-11-22,581820.2393704698,114450.38139343099,4,-0.02114886128419534,2.0,False,40
2023-11-24,582681.7428457197,139805.55502021022,2,-0.019699472623071444,2.0,False,40
