lookback,skip,hold,positions,target_vol,trail_act,trail_stop,lev_min,lev_max,cagr,sharpe,sortino,max_dd,calmar,trades,win_rate,final_value
90,5,5,5,0.15,0.05,0.02,0.3,2.0,0.1369095206044697,0.6689499271218219,0.9238872083507057,-0.2900805720545147,0.4719706653734134,5264,0.00018996960486322188,2828310.598648837
90,7,7,5,0.15,0.05,0.03,0.3,2.0,0.13660049222867698,0.6644405012185582,0.9077183613929632,-0.37364333286470497,0.36559060530096377,3862,0.0002589331952356292,2808353.8453229237
90,10,3,5,0.15,0.05,0.03,0.3,2.0,0.13568584789658567,0.628801580825935,0.8612944290506379,-0.4652762575420618,0.29162426772726396,8520,0.00011737089201877934,2750077.3314780626
90,5,5,5,0.15,0.03,0.04,0.3,2.0,0.13537043115557634,0.6536360511365402,0.8910329859741873,-0.32736741992428975,0.4135122279024695,5153,0.00019406171162429653,2730251.5822875877
90,5,5,5,0.15,0.05,0.05,0.3,2.0,0.1340984853794953,0.6427350321142224,0.8756607030434245,-0.3059619170550894,0.43828489071517507,5125,0.0001951219512195122,2651688.156005464
90,5,5,5,0.15,0.03,0.03,0.3,2.0,0.13220888150032706,0.6448641328231807,0.8723452044110845,-0.3661226444574495,0.3611054478650043,5141,0.00019451468585878233,2538974.985825653
90,5,5,5,0.15,0.07,0.03,0.3,2.0,0.1314445231937702,0.6256360527818426,0.850981071430899,-0.33592875670459804,0.3912869040543532,5137,0.00019466614755693986,2494702.9662134545
90,3,3,5,0.15,0.05,0.03,0.3,2.0,0.13113818724810367,0.6701228216331814,0.9226884111997927,-0.3054367674596761,0.42934643506995795,8297,0.0001205254911413764,2477169.0200830502
90,5,5,5,0.15,0.07,0.02,0.3,2.0,0.1275511245578287,0.6074123791753374,0.8257863935841763,-0.31862165793373826,0.4003215769605803,5206,0.0001920860545524395,2280473.246958825
90,5,5,5,0.15,0.07,0.05,0.3,2.0,0.1273277727836708,0.6087074575022412,0.8265318235129816,-0.34096642839867464,0.37343199265000054,5130,0.0001949317738791423,2268735.9211669764
120,7,10,5,0.15,0.05,0.03,0.3,2.0,0.12697198506136909,0.6608287043385587,0.9243513088589594,-0.3041673550185278,0.4174411979669377,2880,0.00034722222222222224,2250158.8557565897
90,10,7,5,0.15,0.05,0.03,0.3,2.0,0.1267505785085965,0.6085331022529521,0.8279628377757934,-0.47877404853567196,0.26473986820351375,3901,0.0002563445270443476,2238672.2855564905
90,5,5,7,0.25,0.05,0.03,0.3,2.0,0.12666164045773387,0.6140091866169644,0.8319978312984346,-0.2974494621991098,0.4258257504360448,6570,0.00015220700152207003,2234074.072269911
180,3,7,5,0.15,0.05,0.03,0.3,2.0,0.1266163858777305,0.6647258093526811,0.9242983905249189,-0.2919237792124647,0.433730976692988,3812,0.00026232948583420777,2231737.8391476027
180,7,10,5,0.15,0.05,0.03,0.3,2.0,0.12641432855390589,0.634259736396553,0.8608444901654329,-0.4333370695034848,0.29172285837154605,2883,0.000346860908775581,2221335.414787822
180,7,7,5,0.15,0.05,0.03,0.3,2.0,0.12607122820302896,0.6472332446447462,0.8793034083859043,-0.2703690601233062,0.4662931037505998,3847,0.0002599428125812321,2203778.4534023833
180,7,3,5,0.15,0.05,0.03,0.3,2.0,0.12568390593731493,0.6221681402482614,0.8588588074389878,-0.3269714920217477,0.38438796348935333,8448,0.00011837121212121212,2184118.9340928486
90,5,5,5,0.15,0.07,0.04,0.3,2.0,0.12543588666673866,0.5974747970250825,0.8105408988140782,-0.2896848672687883,0.43300807477233927,5137,0.00019466614755693986,2171618.7795938565
180,5,3,5,0.15,0.05,0.03,0.3,2.0,0.1234909716057,0.6256121130810792,0.8533637327773482,-0.31852087955931646,0.38770133931738976,8292,0.000120598166907863,2075952.114855539
