date,symbol,action,price,shares,weight,scheduled_exit,pnl,pnl_pct,hold_minutes,strategy
2002-05-30,AMZN,SELL,0.9322555644245168,1590.184283280144,,,-73.5371882899558,-0.047260545480747554,666.0,hybrid_666
2002-05-30,AMZN,BUY,0.9350000023841858,1657.4392069512394,0.09003210389180054,2002-05-31,,,,
2002-05-31,AMZN,SELL,0.9107661002324805,1657.4392069512394,,,-40.16621956365634,-0.025918611860866848,666.0,hybrid_666
2002-05-31,AMZN,BUY,0.925000011920929,1671.6434656577812,0.09003210389180054,2002-06-04,,,,
2002-06-04,AMZN,SELL,0.8998628438738323,1671.6434656577812,,,-42.02038271107085,-0.027175316457450412,666.0,hybrid_666
2002-06-04,AMZN,BUY,0.8899999856948853,1733.3440743460123,0.09003210389180054,2002-06-06,,,,
2002-06-06,AMZN,SELL,0.8910160852555018,1733.3440743460123,,,1.7612501523403807,0.0011416849179196398,666.0,hybrid_666
2002-06-06,AMZN,BUY,0.8945000171661377,1724.7924118145347,0.09003210389180054,2002-06-07,,,,
2002-06-07,AMZN,SELL,0.9236724831152118,1724.7924118145347,,,50.31644790288101,0.03261315303435685,666.0,hybrid_666
2002-06-07,AMZN,BUY,0.8945000171661377,1729.6035809584323,0.09003210389180054,2002-06-11,,,,
2002-06-11,AMZN,SELL,0.8578834076800989,1729.6035809584323,,,-63.332218889609294,-0.040935280920445134,666.0,hybrid_666
2002-07-10,CVX,BUY,17.91350712737454,138.93346456544361,0.14533867048602891,2002-07-12,,,,
2002-07-12,CVX,SELL,16.947422822669935,138.93346456544361,,,-134.22143951490807,-0.053930494896126877,666.0,hybrid_666
2002-07-12,CVX,BUY,17.011684974755735,145.20921496596515,0.14533867048602891,2002-07-16,,,,
2002-07-16,CVX,SELL,16.157019117006975,145.20921496596515,,,-124.10535826191062,-0.05023992973165386,666.0,hybrid_666
2002-07-16,CVX,BUY,16.345565402261236,150.0785024977932,0.14533867048602891,2002-07-18,,,,
2002-07-18,CVX,SELL,16.3144945274961,150.0785024977932,,,-4.663070356047683,-0.0019008748856638742,666.0,hybrid_666
2002-07-18,CVX,BUY,16.499284562467295,148.64124141518104,0.14533867048602891,2002-07-19,,,,
2002-07-19,CVX,SELL,14.983146696719881,148.64124141518104,,,-225.36061452125887,-0.09189112776419024,666.0,hybrid_666
2002-07-19,CVX,BUY,16.007375483785136,151.2651596628381,0.14533867048602891,2002-07-23,,,,
2002-07-23,CVX,SELL,14.043910037308725,151.2651596628381,,,-297.0039142537198,-0.12266004808004452,666.0,hybrid_666
2002-07-23,CVX,BUY,14.295960661532092,166.5051001726256,0.14533867048602891,2002-07-25,,,,
2002-07-25,CVX,SELL,14.251599275318176,166.5051001726256,,,-7.386397055344332,-0.0031030713684939647,666.0,hybrid_666
2002-07-25,CVX,BUY,14.275472803658559,166.67262388193643,0.14533867048602891,2002-07-26,,,,
2002-07-26,CVX,SELL,14.404628225717072,166.67262388193643,,,21.526673083071728,0.009047365634391673,666.0,hybrid_666
2002-07-26,CVX,BUY,14.33695501716605,166.1651816325142,0.14533867048602891,2002-07-29,,,,
2002-07-29,CVX,SELL,15.257224163310505,166.1651816325142,,,152.91668981989233,0.06418860525422526,666.0,hybrid_666
2002-07-29,CVX,BUY,14.757121221523757,162.8648414131741,0.14533867048602891,2002-07-30,,,,
2002-07-30,CVX,SELL,15.069421347077117,162.8648414131741,,,50.8627104215625,0.021162672642267108,666.0,hybrid_666
2002-07-30,CVX,BUY,14.962077140808107,161.1032270150928,0.14533867048602891,2002-08-01,,,,
2002-08-01,CVX,SELL,14.77288531015775,161.1032270150928,,,-30.479414442665075,-0.012644757066139434,666.0,hybrid_666
2002-08-01,CVX,BUY,15.115805863549014,159.18638981344458,0.14533867048602891,2002-08-05,,,,
2002-08-05,CVX,SELL,14.474860709812036,159.18638981344458,,,-102.0297450918124,-0.04240231447286469,666.0,hybrid_666
2002-08-05,CVX,BUY,14.511173827099132,164.8483554063303,0.14533867048602891,2002-08-06,,,,
2002-08-06,CVX,SELL,14.564554772765813,164.8483554063303,,,8.799761103186938,0.0036786097598110554,666.0,hybrid_666
2002-08-06,CVX,BUY,14.162740618065673,168.98976005111095,0.14533867048602891,2002-08-08,,,,
2002-08-08,CVX,SELL,15.130390223542735,168.98976005111095,,,163.52287464312076,0.06832361275068118,666.0,hybrid_666
2002-10-08,JNJ,BUY,30.25531071728621,102.37878814548219,0.18634054228621078,2002-10-09,,,,
2002-10-09,JNJ,SELL,29.47679926053408,102.37878814548219,,,-79.70305949965723,-0.025731398498159624,666.0,hybrid_666
2002-10-09,JNJ,BUY,30.308025345744266,101.73519044094226,0.18634054228621078,2002-10-11,,,,
2002-10-11,JNJ,SELL,29.97993256072693,101.73519044094226,,,-33.37858196603793,-0.01082527750569556,666.0,hybrid_666
2002-10-11,JNJ,BUY,30.0602702041115,102.37712155049734,0.18634054228621078,2002-10-15,,,,
2002-10-15,JNJ,SELL,31.38708074800619,102.37712155049734,,,135.8350443267882,0.04413834389662992,666.0,hybrid_666
2002-10-15,JNJ,BUY,31.019601074165415,99.98613219241156,0.18634054228621078,2002-10-17,,,,
2002-10-17,JNJ,SELL,31.421617669724085,99.98613219241156,,,40.19608446707207,0.012960082710202514,666.0,hybrid_666
2002-10-17,JNJ,BUY,31.362193730348686,99.12079532617953,0.18634054228621078,2002-10-21,,,,
2002-10-21,JNJ,SELL,31.698334680712666,99.12079532617953,,,33.31855834177577,0.010718030545124197,666.0,hybrid_666
2002-10-21,JNJ,BUY,31.362205969929374,99.30882276043602,0.18634054228621078,2002-10-23,,,,
2002-10-23,JNJ,SELL,30.950380386080553,99.30882276043602,,,-40.89791391465542,-0.01313126966399257,666.0,hybrid_666
2002-10-23,JNJ,BUY,31.00377891386674,100.22339116119365,0.18634054228621078,2002-10-24,,,,
2002-10-24,JNJ,SELL,30.488636108191084,100.22339116119365,,,-51.62935891710595,-0.01661548442552119,666.0,hybrid_666
2002-10-24,JNJ,BUY,30.545206976496452,101.42881838522139,0.18634054228621078,2002-10-28,,,,
2002-10-28,JNJ,SELL,30.432659680604658,101.42881838522139,,,-11.41553923475658,-0.0036846139552563976,666.0,hybrid_666
2002-10-28,JNJ,BUY,30.561026241319293,101.31019186420748,0.18634054228621078,2002-10-30,,,,
