date,value,cash,positions,drawdown,leverage,in_protection,risk_on
2015-12-04,158702.31970289734,31787.42213312986,5,0.0,0.9932213017559328,False,True
2015-12-07,158218.5109489341,30797.5192895581,5,-0.0030485298190282666,0.9835530757574061,False,True
2015-12-08,158373.1797986366,27170.769306054382,5,-0.002073945137518635,0.9950803255214377,False,True
2015-12-09,157346.5687114614,27174.003921447962,5,-0.00854272952011031,0.9821273352321505,False,True
2015-12-10,157507.09712238153,27177.238921914803,5,-0.00753122312738311,0.9825060755641568,False,True
2015-12-11,155106.49535608198,27180.474307500746,5,-0.022657667219653788,0.9369952707636651,False,True
2015-12-14,156851.27773396595,28409.30714477337,5,-0.011663610036681728,0.960047281422388,False,True
2015-12-15,157246.16304324658,82970.62107731095,2,-0.00917539619065932,1.0,False,False
2015-12-16,158671.1306014208,82980.4985322011,2,-0.00019652580715222537,1.0,False,False
2015-12-17,158102.71900366677,82990.37716297875,2,-0.0037781470387645275,1.0,False,False
2015-12-18,156351.942077821,83000.25696978386,2,-0.014809976498619658,1.0,False,False
2015-12-21,157073.9055135484,61282.4606731264,2,-0.01026080899382846,1.0,False,False
2015-12-22,157519.465685527,70051.09789742029,2,-0.0074532875107606675,1.0,False,False
2015-12-23,157955.0224660994,70059.43731383665,2,-0.004708798448547697,1.0,False,False
2015-12-24,157780.84648251167,70067.77772304068,2,-0.005806299631352184,1.0,False,False
2015-12-28,158788.43283394456,18619.825326907827,5,0.0,0.8212906344296091,False,True
2015-12-29,161098.0485351143,18622.041972780076,5,0.0,0.8044988532769087,False,True
2015-12-30,160290.30052789414,18624.25888253874,5,-0.0050140148472629965,0.8127228311491167,False,True
2015-12-31,158421.47684840357,18626.476056215233,5,-0.016614550648186885,0.8133192530265579,False,True
2016-01-04,154804.67778512154,18628.693493840972,5,-0.039065468559173755,0.8134167128801575,False,True
2016-01-05,155154.33015788984,65222.46177657097,2,-0.036895036477918086,1.0,False,False
2016-01-06,154231.29277621157,65230.226355353894,2,-0.04262469856924425,1.0,False,False
2016-01-07,150957.5289669063,65552.20706503012,2,-0.06294625950107446,1.0,False,False
2016-01-08,151036.35027232603,65560.01089920453,2,-0.06245698414276654,1.0,False,False
2016-01-11,151752.43957869997,65567.8156624068,2,-0.05801193150007205,1.0,False,False
2016-01-12,152172.61518097186,64779.21431168916,2,-0.055403733535586426,1.0,False,False
2016-01-13,150620.57724160928,64786.92612291674,2,-0.06503785358530435,1.0,False,False
2016-01-14,153096.17503448142,65569.46093984766,2,-0.04967082825270054,1.0,False,False
2016-01-15,151703.1715681288,65577.26682805478,2,-0.05831775774079416,1.0,False,False
2016-01-19,152580.59441929904,65585.07364553431,2,-0.052871243278646674,1.0,False,False
2016-01-20,151204.8023712289,64686.79500758694,2,-0.0614113346117224,1.0,False,False
2016-01-21,152228.04413091598,64694.49581651641,2,-0.055059663880813174,1.0,False,False
2016-01-22,154056.72980504856,65447.48493890531,2,-0.0437082807277517,1.0,False,False
2016-01-25,153592.33859146293,65455.27630615995,2,-0.046590942670639235,1.0,False,False
2016-01-26,154451.79412829792,65463.0686009583,2,-0.041255958512543434,1.0,False,False
2016-01-27,152919.9697252613,65680.52197531787,2,-0.05076460506019376,1.0,False,False
2016-01-28,153706.07185374747,65688.34108507684,2,-0.04588495483702651,1.0,False,False
2016-01-29,155751.78945213655,66546.44662982543,2,-0.03318636775300497,1.0,False,False
2016-02-01,156202.78793938522,66554.36882585278,2,-0.03038683981738033,1.0,False,False
2016-02-02,155823.97239995183,66562.29196499872,2,-0.03273829933459985,1.0,False,False
2016-02-03,155745.4965017949,66570.2160473755,2,-0.033225430611921486,1.0,False,False
2016-02-04,155226.21798892113,66578.14107309544,2,-0.03644879996738942,1.0,False,False
2016-02-05,153759.21146400308,67173.853492,2,-0.045555096029059515,1.0,False,False
2016-02-08,153328.6950214416,67181.85037932047,2,-0.048227483723859085,1.0,False,False
2016-02-09,153568.4170158723,67189.84821865134,2,-0.04673943345502887,1.0,False,False
2016-02-10,154152.32609441763,65866.5812568755,2,-0.0431148763368336,1.0,False,False
2016-02-11,154537.20750978586,65874.42251654895,2,-0.04072576350233306,1.0,False,False
2016-02-12,155311.6898663169,66577.56740091863,2,-0.035918241849690336,1.0,False,False
2016-02-16,155360.4214589918,66585.4933017997,2,-0.03561574536932941,1.0,False,False
2016-02-17,156916.98882310037,66593.42014624039,2,-0.025953509369187604,1.0,False,False
2016-02-18,156598.74918221813,66601.34793435303,2,-0.027928950063696528,1.0,False,False
2016-02-19,156573.7422550428,66609.27666624998,2,-0.028084178059334726,1.0,False,False
2016-02-22,158060.67466929177,66617.20634204357,2,-0.01885419403550678,1.0,False,False
2016-02-23,157183.43978079624,66625.13696184619,2,-0.024299541738178165,1.0,False,False
2016-02-24,158246.9025661535,66633.06852577021,2,-0.017698203019134287,1.0,False,False
2016-02-25,159100.79456138948,68174.93067441232,2,-0.012397753988245717,1.0,False,False
2016-02-26,158653.20558071393,68183.04673758784,2,-0.015176117753328807,1.0,False,False
2016-02-29,158492.54740192753,67894.86412297646,2,-0.01617338730592292,1.0,False,False
2016-03-01,159668.7992906439,67902.94684489587,2,-0.008871921525224931,1.0,False,False
2016-03-02,160277.91523646982,67911.03052904407,2,-0.005090895303214754,1.0,False,False
2016-03-03,159756.95055294558,67919.11517553563,2,-0.008324731394101304,1.0,False,False
2016-03-04,160321.05208994244,67927.20078448509,2,-0.004823127606058459,1.0,False,False
2016-03-07,160097.6839754385,68866.23276818148,2,-0.006209662803319134,1.0,False,False
2016-03-08,160544.96770747655,68874.43112922531,2,-0.003433193838578349,1.0,False,False
2016-03-09,160892.71422605705,68882.6304662645,2,-0.0012745921562947354,1.0,False,False
2016-03-10,161429.80902157712,69183.94265293964,2,0.0,1.0,False,False
2016-03-11,161199.90694408116,69192.1788365888,2,-0.0014241612431396434,1.0,False,False
