date,symbol,action,shares,price,cost,planned_exit,proceeds,pnl_pct,minutes_held
2001-05-15 00:00:00-04:00,PFE,BUY_RANDOM,665,15.621258735656738,10398.52519627094,2001-05-15 11:06:00-04:00,,,
2001-05-15 00:00:00-04:00,CSCO,BUY_RANDOM,857,12.12574577331543,10402.155891859053,2001-05-15 11:06:00-04:00,,,
2001-05-16 00:00:00-04:00,BA,SELL_666,237,43.85762023925781,,,10383.861740707398,0.002402555099387451,1440.0
2001-05-16 00:00:00-04:00,EQR,SELL_666,1302,8.067206382751465,,,10492.999207632065,0.010052851456213591,1440.0
2001-05-16 00:00:00-04:00,EXC,SELL_666,1061,9.83726978302002,,,10426.905896544456,0.004258139211565175,1440.0
2001-05-16 00:00:00-04:00,PFE,SELL_666,665,16.262731552124023,,,10803.901765680313,0.041064092677952614,1440.0
2001-05-16 00:00:00-04:00,CSCO,SELL_666,857,12.94102668762207,,,11079.369411420823,0.06723552757478982,1440.0
2001-05-16 00:00:00-04:00,USB,BUY_RANDOM,1112,9.548824310302734,10628.910925689695,2001-05-16 11:06:00-04:00,,,
2001-05-16 00:00:00-04:00,GIS,BUY_RANDOM,1128,9.419793128967285,10636.152176124571,2001-05-16 11:06:00-04:00,,,
2001-05-16 00:00:00-04:00,EQIX,BUY_RANDOM,343,30.914505004882812,10614.278891891478,2001-05-16 11:06:00-04:00,,,
2001-05-16 00:00:00-04:00,SLB,BUY_RANDOM,523,20.279972076416016,10617.031821361541,2001-05-16 11:06:00-04:00,,,
2001-05-16 00:00:00-04:00,ROST,BUY_RANDOM,4369,2.4320778846740723,10636.374026419162,2001-05-16 11:06:00-04:00,,,
2001-05-17 00:00:00-04:00,USB,SELL_666,1112,9.42696475982666,,,10472.302028114318,-0.01276173343608317,1440.0
2001-05-17 00:00:00-04:00,GIS,SELL_666,1128,9.268985748291016,,,10444.960508148193,-0.016009627665018893,1440.0
2001-05-17 00:00:00-04:00,EQIX,SELL_666,343,29.725479125976562,,,10185.643500869752,-0.03846174728395129,1440.0
2001-05-17 00:00:00-04:00,SLB,SELL_666,523,20.825170516967773,,,10880.672616193771,0.026883589311534603,1440.0
2001-05-17 00:00:00-04:00,ROST,SELL_666,4369,2.3954241275787354,,,10455.142405378103,-0.015070963527242862,1440.0
2001-05-17 00:00:00-04:00,DUK,BUY_RANDOM,411,25.485118865966797,10484.858237766264,2001-05-17 11:06:00-04:00,,,
2001-05-17 00:00:00-04:00,MCD,BUY_RANDOM,688,15.232911109924316,10490.723086471557,2001-05-17 11:06:00-04:00,,,
2001-05-17 00:00:00-04:00,AMGN,BUY_RANDOM,230,45.50264358520508,10476.073632621765,2001-05-17 11:06:00-04:00,,,
2001-05-18 00:00:00-04:00,DUK,SELL_666,411,25.884279251098633,,,10627.800333429337,0.015662488655875197,1440.0
2001-05-18 00:00:00-04:00,MCD,SELL_666,688,15.927746772766113,,,10947.331489883423,0.045614108677435136,1440.0
2001-05-18 00:00:00-04:00,AMGN,SELL_666,230,44.58320617675781,,,10243.883283233643,-0.020206241571999906,1440.0
2001-05-18 00:00:00-04:00,PSA,BUY_RANDOM,971,10.870866775512695,10566.167250661849,2001-05-18 11:06:00-04:00,,,
2001-05-18 00:00:00-04:00,MS,BUY_RANDOM,310,34.018985748291016,10556.431467552184,2001-05-18 11:06:00-04:00,,,
2001-05-18 00:00:00-04:00,ISRG,BUY_RANDOM,7618,1.386667013168335,10574.19293562269,2001-05-18 11:06:00-04:00,,,
2001-05-18 00:00:00-04:00,LOW,BUY_RANDOM,881,11.983352661132812,10567.891028152464,2001-05-18 11:06:00-04:00,,,
2001-05-21 00:00:00-04:00,PSA,SELL_666,971,10.790938377380371,,,10467.523163271904,-0.00735253221135668,4320.0
2001-05-21 00:00:00-04:00,MS,SELL_666,310,35.81258773803711,,,11090.800296592712,0.05272355863331985,4320.0
2001-05-21 00:00:00-04:00,ISRG,SELL_666,7618,1.3933329582214355,,,10603.796065255165,0.0048071707120730155,4320.0
2001-05-21 00:00:00-04:00,LOW,SELL_666,881,12.701650619506836,,,11178.964041589737,0.059941318484581854,4320.0
2001-05-21 00:00:00-04:00,SCHW,BUY_RANDOM,714,15.072473526000977,10772.50784366226,2001-05-21 11:06:00-04:00,,,
2001-05-21 00:00:00-04:00,LOW,BUY_RANDOM,847,12.701650619506836,10769.056372797011,2001-05-21 11:06:00-04:00,,,
2001-05-21 00:00:00-04:00,CI,BUY_RANDOM,401,26.8350830078125,10771.629154418944,2001-05-21 11:06:00-04:00,,,
2001-05-21 00:00:00-04:00,USB,BUY_RANDOM,1129,9.531418800354004,10771.73279742527,2001-05-21 11:06:00-04:00,,,
2001-05-21 00:00:00-04:00,WELL,BUY_RANDOM,1737,6.197900295257568,10776.518565675258,2001-05-21 11:06:00-04:00,,,
2001-05-22 00:00:00-04:00,SCHW,SELL_666,714,15.384819984436035,,,10973.776707418441,0.020722972768619632,1440.0
2001-05-22 00:00:00-04:00,LOW,SELL_666,847,12.438857078552246,,,10525.17623358822,-0.020689715756391454,1440.0
2001-05-22 00:00:00-04:00,CI,SELL_666,401,26.724788665771484,,,10705.923614719391,-0.004110080151751557,1440.0
2001-05-22 00:00:00-04:00,USB,SELL_666,1129,9.6793851852417,,,10917.09784826374,0.01552406708665448,1440.0
2001-05-22 00:00:00-04:00,WELL,SELL_666,1737,6.274180889129639,,,10887.353952213763,0.012307489672016463,1440.0
2001-05-22 00:00:00-04:00,MO,BUY_RANDOM,4015,2.6885929107666016,10805.495237264631,2001-05-22 11:06:00-04:00,,,
2001-05-22 00:00:00-04:00,EQIX,BUY_RANDOM,315,34.243751525878906,10797.568512382506,2001-05-22 11:06:00-04:00,,,
2001-05-22 00:00:00-04:00,SBUX,BUY_RANDOM,2727,3.958115339279175,10804.574310744523,2001-05-22 11:06:00-04:00,,,
2001-05-22 00:00:00-04:00,REGN,BUY_RANDOM,346,31.187034606933594,10801.504687973022,2001-05-22 11:06:00-04:00,,,
2001-05-22 00:00:00-04:00,CI,BUY_RANDOM,403,26.724788665771484,10780.859922138214,2001-05-22 11:06:00-04:00,,,
2001-05-23 00:00:00-04:00,MO,SELL_666,4015,2.7109110355377197,,,10873.42349987626,0.008301042780312387,1440.0
2001-05-23 00:00:00-04:00,EQIX,SELL_666,315,34.00593948364258,,,10701.159066410064,-0.006944684260327239,1440.0
2001-05-23 00:00:00-04:00,SBUX,SELL_666,2727,3.75087571144104,,,10218.409427034616,-0.052358157879218305,1440.0
2001-05-23 00:00:00-04:00,REGN,SELL_666,346,31.027915954589844,,,10724.923261367798,-0.005102077012104712,1440.0
2001-05-23 00:00:00-04:00,CI,SELL_666,403,26.441987991333008,,,10645.465039346695,-0.010581961113903264,1440.0
2001-05-23 00:00:00-04:00,NEE,BUY_RANDOM,3166,3.3601949214935303,10649.015498569965,2001-05-23 11:06:00-04:00,,,
2001-05-23 00:00:00-04:00,OXY,BUY_RANDOM,1419,7.49545955657959,10646.693167897223,2001-05-23 11:06:00-04:00,,,
2001-05-23 00:00:00-04:00,DLTR,BUY_RANDOM,1289,8.25,10644.88425,2001-05-23 11:06:00-04:00,,,
2001-05-23 00:00:00-04:00,IBM,BUY_RANDOM,181,58.51441192626953,10601.69966721344,2001-05-23 11:06:00-04:00,,,
2001-05-24 00:00:00-04:00,NEE,SELL_666,3166,3.367175579071045,,,10649.81740545559,0.0020774561418633133,1440.0
2001-05-24 00:00:00-04:00,OXY,SELL_666,1419,7.445623874664307,,,10554.774937870503,-0.006648782711599977,1440.0
2001-05-24 00:00:00-04:00,DLTR,SELL_666,1289,8.369999885559082,,,10778.14092263317,0.014545440673828125,1440.0
2001-05-24 00:00:00-04:00,IBM,SELL_666,181,59.6109504699707,,,10778.792453029633,0.01873963195738605,1440.0
2001-05-24 00:00:00-04:00,HUM,BUY_RANDOM,1252,8.529536247253418,10689.65836094284,2001-05-24 11:06:00-04:00,,,
