date,portfolio_value,cash,positions_count,regime_mult
2023-02-07,1059607.1191795727,10185.620133066066,31,0.75
2023-02-08,1063208.555251595,10185.620133066066,31,0.75
2023-02-09,1062462.1532943782,10185.620133066066,31,0.75
2023-02-10,1076192.6521922152,10185.620133066066,31,0.75
2023-02-13,1081944.943101523,10185.620133066066,31,0.75
2023-02-14,1077350.16710256,10185.620133066066,31,0.75
2023-02-15,1074622.0872764029,10185.620133066066,31,0.75
2023-02-16,1063582.557968458,10185.620133066066,31,0.75
2023-02-17,1079036.5808438126,10185.620133066066,31,0.75
2023-02-21,1062675.0826256785,10185.620133066066,31,0.75
2023-02-22,1057768.6735346788,10185.620133066066,31,0.75
2023-02-23,1062786.4312997998,10185.620133066066,31,0.75
2023-02-24,1050551.1918602681,10185.620133066066,31,0.75
2023-02-27,1048574.6408418412,10185.620133066066,31,0.75
2023-02-28,1037259.443048388,10185.620133066066,31,0.75
2023-03-01,1033637.1481829435,10185.620133066066,31,0.75
2023-03-02,1040998.4606332838,10185.620133066066,31,0.75
2023-03-03,1044998.5021634906,10185.620133066066,31,1.0
2023-03-06,1049721.80134878,10185.620133066066,31,1.0
2023-03-07,1036247.906914387,10185.620133066066,31,1.0
2023-03-08,1031632.5801402074,10185.620133066066,31,1.0
2023-03-09,1018011.7650727286,10185.620133066066,31,1.0
2023-03-10,1012359.873181611,10185.620133066066,31,1.0
2023-03-13,1016398.5949843812,10185.620133066066,31,1.0
2023-03-14,1023364.9799219967,10185.620133066066,31,1.0
2023-03-15,1024568.950920408,10185.620133066066,31,1.0
2023-03-16,1037178.001225795,10185.620133066066,31,1.0
2023-03-17,1030807.5238256988,10185.620133066066,31,1.0
2023-03-20,1043667.4280121499,10185.620133066066,31,1.0
2023-03-21,1049854.2973153424,10185.620133066066,31,1.0
2023-03-22,1039429.7510225179,10185.620133066066,31,1.0
2023-03-23,1033175.4687510732,10185.620133066066,31,1.0
2023-03-24,1043632.1469146345,10185.620133066066,31,1.0
2023-03-27,1052930.9603073972,10185.620133066066,31,1.0
