date,value,cash,active_pairs,qualifying_pairs,gross_exposure
2014-08-04,164362.0796655291,164381.646579775,0,30,0.0
2014-08-05,164381.646579775,16457.733901617958,9,30,295886.963843595
2014-08-06,164881.63740783956,16458.552230398855,9,30,295886.963843595
2014-08-07,164736.22728410794,16459.374243612972,9,30,295886.963843595
2014-08-08,165285.09689648057,16460.179730549007,9,30,295886.963843595
2014-08-11,165019.89027072958,16460.980358256715,9,30,295886.963843595
2014-08-12,165164.34794941923,16471.158439643936,9,30,296043.50411752384
2014-08-13,165734.51925212194,16471.824283829428,9,30,296043.50411752384
2014-08-14,166276.62266685316,16660.169012937728,9,30,297180.48976977076
2014-08-15,165949.14423953436,16659.900022074788,9,30,297180.48976977076
2014-08-18,166742.10650977783,50668.38999047146,7,30,232372.0151098619
2014-08-19,166054.16573688452,34066.44033261477,8,30,265582.8482572388
2014-08-20,165055.28843402799,1056.2895939774535,10,30,331604.96363085
2014-08-21,164608.64443189895,1052.478929483158,10,30,331604.96363085
2014-08-22,164785.81640995154,1048.6766524743534,10,30,331604.96363085
2014-08-25,164764.74676629988,1044.8600527519793,10,30,331604.96363085
2014-08-26,164550.95280526704,1041.0304039965192,10,30,331604.96363085
2014-08-27,164359.44623653402,1037.193031819187,10,30,331604.96363085
2014-08-28,164393.49861651796,1033.362681137728,10,30,331604.96363085
2014-08-29,164082.74638458856,17730.559044721344,9,30,298593.9059440444
2014-09-02,164797.87494378508,1671.9991826199912,10,30,331164.63461960293
2014-09-03,165703.04267413652,1668.6566390243665,10,30,331164.63461960293
2014-09-04,165487.85720212088,1898.3821541310863,10,30,330913.78475807153
2014-09-05,165285.30530833572,1895.0399961591193,10,30,330913.78475807153
2014-09-08,165155.82753412094,2022.358916226789,10,30,330985.3752761387
2014-09-09,165316.36796415065,2018.9810609464307,10,30,330985.3752761387
2014-09-10,166240.54471873541,2015.5861758782726,10,30,330985.3752761387
2014-09-11,166315.45628173582,2226.020177291248,10,30,331217.30102566164
2014-09-12,166883.6655701109,1661.5038237990957,10,30,332083.38025094545
2014-09-15,166851.12671528765,1780.5163582259593,10,30,332190.5143376558
2014-09-16,166571.91920538683,1777.057967969214,10,30,332190.5143376558
2014-09-17,166099.1813150681,1773.5778683471192,10,30,332190.5143376558
2014-09-18,165550.13800660177,1770.062268553713,10,30,332190.5143376558
2014-09-19,166115.6066860583,2125.088748798924,10,30,332004.69936468627
2014-09-22,165722.8112307322,2121.5030830683513,10,30,332004.69936468627
2014-09-23,166102.99860717572,2362.947907511876,10,30,331855.0737430639
2014-09-24,165892.99440131453,2359.5826114344995,10,30,331855.0737430639
2014-09-25,165874.81773705338,2291.15056659744,10,30,331997.16770059074
2014-09-26,165799.8619345857,2118.7710790261335,10,30,331901.8155541372
2014-09-29,166049.0838993616,2162.731065361644,10,30,332152.05734525254
2014-09-30,166183.33189929454,2159.2964595199765,10,30,332152.05734525254
2014-10-01,166334.8823844825,2155.902692146668,10,30,332152.05734525254
2014-10-02,165842.8565167709,2152.494956478823,10,30,332152.05734525254
2014-10-03,165591.40981630934,2149.0410261255174,10,30,332152.05734525254
2014-10-06,165776.21283165825,2145.595915751036,10,30,332152.05734525254
2014-10-07,165954.81686036248,2142.198609059517,10,30,332152.05734525254
2014-10-08,165542.40768269816,2447.400883460905,10,30,332050.7221019198
2014-10-09,165440.93037901123,2444.0272343573483,10,30,332050.7221019198
2014-10-10,166014.11763901525,2723.336898535221,10,30,332012.64809887914
