date,value,cash,long_positions,short_positions,drawdown,leverage,in_protection,risk_on
2022-01-28,74076.4783324291,36773.04679719718,2,0,-0.3764175722017186,0.5,True,False
2022-01-31,77644.00099536205,36773.04679719718,2,0,-0.3463858469704827,0.5,True,False
2022-02-01,78001.94352219491,39823.82450160311,2,0,-0.34337265472755485,0.5,True,True
2022-02-02,77553.68248862376,39934.104482544135,2,0,-0.3471461562477978,0.5,True,True
2022-02-03,77084.03068895437,39934.104482544135,2,0,-0.35109972715249693,0.5,True,True
2022-02-04,77985.3532803915,39934.104482544135,2,0,-0.3435123128686331,0.5,True,True
2022-02-07,78024.99321453081,39934.104482544135,2,0,-0.343178620353481,0.5,True,True
2022-02-08,78035.82597358534,40054.48520044728,2,0,-0.34308742921773805,0.5,True,True
2022-02-09,78152.66061226446,40387.48739003571,2,0,-0.34210390476735164,0.5,True,True
2022-02-10,76951.21051050459,40387.48739003571,2,0,-0.3522178193081017,0.5,True,True
2022-02-11,76444.67180735008,39030.63350152296,2,0,-0.3564819074693852,0.5,True,True
2022-02-14,76207.03580129855,39030.63350152296,2,0,-0.3584823486474997,0.5,True,True
2022-02-15,76849.9389576187,39133.45621411357,2,0,-0.3530703323086805,0.5,True,True
2022-02-16,76889.78003488386,39133.45621411357,2,0,-0.35273494655268356,0.5,True,True
2022-02-17,76214.38954769523,39264.248884529734,2,0,-0.3584204441518395,0.5,True,True
2022-02-18,76101.763051192,39264.248884529734,2,0,-0.35936854408457014,0.5,True,True
2022-02-22,75695.38748920483,39264.248884529734,2,0,-0.36278944995437457,0.5,True,False
2022-02-23,75295.57806614836,39026.19104233643,2,0,-0.36615508147869397,0.5,True,False
2022-02-24,76319.35598452238,39026.19104233643,2,0,-0.35753682728738395,0.5,True,False
2022-02-25,76913.27671574791,39413.153970321044,2,0,-0.35253714938915415,0.5,True,False
2022-02-28,76790.25757489589,39413.153970321044,2,0,-0.3535727355326247,0.5,True,False
2022-03-01,76422.06618699778,39413.153970321044,2,0,-0.35667220360573654,0.5,True,False
2022-03-02,78226.95984387443,40145.82650328778,2,0,-0.3414784471825165,0.5,True,False
2022-03-03,77513.80589341803,40145.82650328778,2,0,-0.34748184099699886,0.5,True,False
2022-03-04,76768.4537637915,47595.8737400565,2,0,-0.3537562819669289,0.5,True,False
2022-03-07,74570.33688804912,47595.8737400565,2,0,-0.3722602266578274,0.5,True,False
2022-03-08,74865.210774957,47595.8737400565,2,0,-0.36977795187328444,0.5,True,False
