date,value,cash,positions,drawdown,leverage,in_protection,risk_on,regime_score,universe_size,in_crash_mode,har_forecast
2014-02-18,256920.91445605864,40073.66071555611,5,-0.04998447717937485,0.9459689692316718,False,True,0.7060277684135252,40,False,0.08423170837628029
2014-02-19,253091.3689793281,50176.119857891805,5,-0.06414497343926089,0.9374387723216012,False,True,0.5939586089839549,40,False,0.078378222697055
2014-02-20,253774.1290892198,50184.98032350163,5,-0.06162033388575055,0.9288591144876376,False,True,0.6139186162614627,40,False,0.07946949632668178
2014-02-21,253177.89947474658,50193.842353757165,5,-0.06382500994380569,0.945409631206566,False,True,0.6788159883365624,40,False,0.07525721840548673
2014-02-24,255184.35509117163,54278.80822645332,5,-0.05640574637201719,1.0,False,True,0.7560650873709789,40,False,0.07797192596810543
2014-02-25,253890.6784079292,45325.893636210545,5,-0.06118936989754224,1.0,False,True,0.7423151634912467,40,False,0.09086424542533279
2014-02-26,254008.74449423392,46923.60165595252,5,-0.0607527973633613,1.0,False,True,0.8135135078474255,40,False,0.08726686286174505
2014-02-27,254335.92756721657,46931.8877681497,5,-0.05954297371472708,1.0,False,True,0.8203080811185313,40,False,0.08729077720282047
2014-02-28,254552.5106819869,46940.17534356908,5,-0.058742115125817444,1.0,False,True,0.8240670910979713,40,False,0.08899430428251658
2014-03-03,253265.63688177988,51149.35081953535,5,-0.06350058365570012,1.0,False,True,0.7827511436356467,40,False,0.09390162470523107
2014-03-04,257083.42462909216,47571.77920368572,5,-0.049383563908748485,1.0,False,True,0.6613067761423853,40,False,0.11032991807095706
2014-03-05,256832.491410547,47926.32792356857,5,-0.0503114387503664,1.0,False,True,0.7385169019183344,40,False,0.11838383028369431
2014-03-06,256143.2649041398,47934.657975802904,5,-0.05285998907454896,1.0,False,True,0.7596362094937134,40,False,0.11812354783460917
2014-03-07,254921.31360756594,47942.98947587965,5,-0.057378393900927915,1.0,False,True,0.7531678692458514,40,False,0.11775368604189708
2014-03-10,255877.16214972903,50120.908067281074,5,-0.05384395625328476,1.0,False,True,0.7453889050583484,40,False,0.11855894526800269
2014-03-11,254686.038204913,48182.96207435302,5,-0.05824837089416487,1.0,False,True,0.6994264119039556,40,False,0.10982614586982173
2014-03-12,255046.2309565586,48174.32097604433,5,-0.056916487477840956,1.0,False,True,0.6928616459541886,40,False,0.10933885940269118
2014-03-13,251057.0735477516,48182.69413183302,5,-0.07166718019339918,1.0,False,True,0.5879165575180573,40,False,0.12055439551448156
2014-03-14,250220.5735727213,48191.06874295593,5,-0.07476030308220852,1.0,False,True,0.580944504774831,40,False,0.11831769954950551
2014-03-17,252265.45501535843,48485.9465490949,5,-0.06719895247380814,1.0,False,True,0.575217960703034,40,False,0.12411763538302914
2014-03-18,253574.45191866442,48438.969409313286,5,-0.062358679426759225,1.0,False,True,0.6752743637175618,40,False,0.12469474883273582
2014-03-19,252312.02267513433,48133.49311679526,5,-0.06702675940909715,1.0,False,True,0.6462418018486699,40,False,0.12554461113526122
2014-03-20,253709.73154915753,48141.85917631318,5,-0.061858456433384064,1.0,False,True,0.6208670005073315,40,False,0.11968124507674793
2014-03-21,251422.20401372897,48150.226689931915,5,-0.07031703860890569,1.0,False,True,0.6108205678476883,40,False,0.12016060217247367
2014-03-24,248184.03228811725,51999.38423287935,5,-0.0822908143188475,1.0,False,True,0.5920123939534742,40,False,0.1152425518628379
2014-03-25,250182.84493737208,56934.84011562809,5,-0.07489981211872462,1.0,False,True,0.5962898889771349,40,False,0.11342706126053193
2014-03-26,243956.3671417943,53696.95081431986,5,-0.09792343622040721,1.0,False,True,0.5677359773283313,40,False,0.11453383998289347
2014-03-27,242512.6822643319,53706.283855770926,5,-0.10326174449536564,0.9869530220185374,True,True,0.6242027451216727,40,False,0.11106672084834318
2014-03-28,243338.35193161364,58249.4825769196,5,-0.10020866879578516,0.9991653248168594,True,True,0.6247764679770298,40,False,0.11222639916509401
2014-03-31,243559.9296147548,55906.140076928496,5,-0.09938934180973422,1.0,False,True,0.646931895042119,40,False,0.11535841770744669
2014-04-01,247121.73030074826,47982.264065240044,5,-0.08621888448028367,1.0,False,True,0.6527473445889528,40,False,0.11635147696899532
2014-04-02,248752.19402595554,50440.59210852735,5,-0.0801899247452529,1.0,False,True,0.7068459900356977,40,False,0.1170885301588155
2014-04-03,246719.48623227683,50449.07893831069,5,-0.08770626089656111,1.0,False,True,0.7077497118759195,40,False,0.11654609894297858
2014-04-04,243017.64662845788,52307.82744189595,5,-0.10139453961869543,0.9944218415252183,True,True,0.5707180304206005,40,False,0.12452222140607569
2014-04-07,241093.04017914785,88777.75849071896,4,-0.10851114982552204,0.9659554006979119,True,False,0.49926398398643257,40,False,0.12516239276723623
2014-04-08,243407.79704412952,48584.186561390175,5,-0.09995188185800787,1.0,False,True,0.5130671059834614,40,False,0.11992240981810995
2014-04-09,248361.04404881573,49559.72721190183,5,-0.08163627858071422,1.0,False,True,0.508913287940964,40,False,0.12656851159130306
2014-04-10,242306.4276813033,81392.39049683002,4,-0.10402441131034612,0.9839023547586155,True,False,0.4377323489457568,40,False,0.14756310371441606
2014-04-11,241276.41333106143,70422.25469783369,4,-0.1078330915944307,0.9686676336222773,True,False,0.42103720821181356,40,False,0.1402051297146627
2014-04-14,242699.8998765672,70434.10352163999,4,-0.10256947061744688,0.9897221175302124,True,False,0.4251687238686876,40,False,0.1351469842777575
2014-04-15,243546.99708814154,61064.769115312614,4,-0.09943716236594663,1.0,False,False,0.4295719453078692,40,False,0.13741554794869507
2014-04-16,245979.0742385999,61075.04350503678,4,-0.09044407960923724,1.0,False,False,0.43655260072560526,40,False,0.13931490911548408
2014-04-17,246588.33476895973,61085.31962346779,4,-0.08819121918131452,1.0,False,False,0.4340734453278111,40,False,0.10836440796413117
2014-04-21,246656.76200400564,65593.12004919324,4,-0.08793819604532369,1.0,False,False,0.45474785639829135,40,False,0.10434995513817726
2014-04-22,249548.7565678556,65604.15635193167,4,-0.07724447835641118,1.0,False,False,0.49012713011359316,40,False,0.1005709694631564
2014-04-23,247550.5654977082,49127.01138288895,4,-0.08463318214574893,1.0,False,False,0.48465904627050044,40,False,0.09690089362547391
2014-04-24,248259.93400935142,29480.578054239224,5,-0.08201015280269988,1.0,False,True,0.5056075333304177,40,False,0.08737957798011062
2014-04-25,247329.5206296463,29485.53827848327,5,-0.08545053894343602,1.0,False,True,0.5890271581550477,40,False,0.09516552047203654
2014-04-28,247807.78442791375,43669.30127681484,5,-0.08368206465118469,1.0,False,True,0.6929616301533335,40,False,0.09323336698462521
2014-04-29,250117.28230390462,43676.64881004554,5,-0.07514224282796818,1.0,False,True,0.7059063425023231,40,False,0.09288446874282309
2014-04-30,250924.58200979576,50917.81725079238,5,-0.07215709366722797,1.0,False,True,0.7226483311298905,40,False,0.09376975861546484
2014-05-01,250765.35231957157,42707.72639065105,5,-0.07274587670860538,1.0,False,True,0.7890154351944327,40,False,0.09374874257705605
2014-05-02,250479.53348765118,42714.7765550076,5,-0.07380274795481633,1.0,False,True,0.7809357483261637,40,False,0.08716367872550773
2014-05-05,251271.62956419116,43701.22124460853,5,-0.07087381719855049,1.0,False,True,0.7970180286537374,40,False,0.0863825124168905
2014-05-06,249082.61084951638,43708.43541446479,5,-0.07896814366896934,1.0,False,True,0.7464594928394424,40,False,0.09529182624036359
2014-05-07,249816.7112612498,48586.57920734084,5,-0.07625366326969056,1.0,False,True,0.7099247631198691,40,False,0.09919106915602569
2014-05-08,245678.13769743554,43842.70683478592,5,-0.09155685155345737,1.0,False,True,0.7014683757950513,40,False,0.09899935640604003
2014-05-09,246263.55577890086,43849.94436099356,5,-0.08939215326134133,1.0,False,True,0.789589466625217,40,False,0.10190224732021452
2014-05-12,247058.0784540813,43885.20945137792,5,-0.08645424968018513,1.0,False,True,0.7394861357235675,40,False,0.11935809917618849
2014-05-13,248322.07226027257,43892.45399389053,5,-0.0817803844202348,1.0,False,True,0.7461938810686759,40,False,0.11353143490204656
2014-05-14,248286.74328561994,46830.760698568454,5,-0.08191102024019671,1.0,False,True,0.7076758279513289,40,False,0.11383028440849757
2014-05-15,246302.82916652295,45596.00824931312,5,-0.08924693220001306,1.0,False,True,0.619155530057206,40,False,0.12022863055069806
2014-05-16,247135.1403562925,45603.53520940507,5,-0.08616929816709504,1.0,False,True,0.6171667749879111,40,False,0.12208196730010451
2014-05-19,248494.11433471856,44941.36107707262,5,-0.08114422507272516,1.0,False,True,0.6123203018503646,40,False,0.11562167897091073
2014-05-20,245370.1868756243,44948.77996842503,5,-0.0926955601774923,1.0,False,True,0.6320893480920792,40,False,0.11860607955972376
2014-05-21,247836.8188189527,51169.86042104209,5,-0.08357470428995813,1.0,False,True,0.6153659299420835,40,False,0.12186211589549457
2014-05-22,248327.9736640864,49868.639645780866,5,-0.08175856282100284,1.0,False,True,0.6165445359928445,40,False,0.11513470134402123
2014-05-23,248378.11559958995,49876.87192915096,5,-0.08157315317004667,1.0,False,True,0.6162778458691246,40,False,0.11536056506984259
2014-05-27,248847.36821089746,47962.45720903861,5,-0.07983799951075787,1.0,False,True,0.6762590329619071,40,False,0.11793212641264604
2014-05-28,248129.33144551623,47970.37482102232,5,-0.08249308142385275,1.0,False,True,0.6696928194756516,40,False,0.11387560006065953
2014-05-29,250036.4193826275,49185.64387777999,5,-0.07544124935531349,1.0,False,True,0.691945129741115,40,False,0.10998414570079391
2014-05-30,250070.73913120205,49423.76815178112,5,-0.07531434534691794,1.0,False,True,0.7973053245184518,40,False,0.1085390186019928
2014-06-02,250889.09464770468,49432.103509505134,5,-0.07228831515583999,1.0,False,True,0.797700953968178,40,False,0.10650557970041537
2014-06-03,250371.8843819321,48760.177237180156,5,-0.07420080165810246,1.0,False,True,0.7884420824565214,40,False,0.10243797618317513
2014-06-04,250650.21021296887,48768.40067976976,5,-0.07317163725376932,1.0,False,True,0.8382060183666884,40,False,0.10208698455639448
2014-06-05,252965.15761884412,50298.95993405902,5,-0.06461166472389197,1.0,False,True,0.8451039050629098,40,False,0.10421704163026188
2014-06-06,253779.95699888223,50055.541516007586,5,-0.06159878404557252,1.0,False,True,0.8499603501391202,40,False,0.1055231063138324
2014-06-09,254848.23635344708,50063.98342281088,5,-0.057648611395385345,1.0,False,True,0.8482539722051745,40,False,0.10478410646240255
2014-06-10,255223.82373633905,49749.86653746844,5,-0.056259803307579896,1.0,False,True,0.8443565713784859,40,False,0.10445858153112439
2014-06-11,254347.35368927158,49758.25689194401,5,-0.05950072338512318,1.0,False,True,0.8272066730905676,40,False,0.10655461784726358
2014-06-12,252450.4024970257,42858.5794001123,5,-0.06651507284936228,1.0,False,True,0.8041591629839238,40,False,0.10653285052186114
2014-06-13,252568.91966904374,45535.86007851322,5,-0.06607683233719412,1.0,False,True,0.8088399062649398,40,False,0.1045747129923219
2014-06-16,252333.59395451884,45543.53973745504,5,-0.0669469953684554,1.0,False,True,0.806578323787208,40,False,0.10600181966951733
2014-06-17,251608.25148252404,47306.67276420776,5,-0.06962909156609293,1.0,False,True,0.7987583143282241,40,False,0.10635697794701045
2014-06-18,253205.04155097943,47314.65107211442,5,-0.06372464678809539,1.0,False,True,0.7761432703959432,40,False,0.10897969548641878
2014-06-19,253996.37637069583,54106.481423774225,5,-0.06079853092839328,1.0,False,True,0.7943742987692148,40,False,0.10516231876770324
2014-06-20,255629.10487384122,50892.46037071035,5,-0.05476119673228953,1.0,False,True,0.8178299961681641,40,False,0.10599234661154452
2014-06-23,255685.1618759231,50901.04342454272,5,-0.054553914961347184,1.0,False,True,0.8128911416783666,40,False,0.10625183832474745
2014-06-24,254109.5880275095,49771.8886431614,5,-0.06037990860033195,1.0,False,True,0.7495309261008465,40,False,0.10751580148324288
2014-06-25,257015.7859988684,49780.28271168257,5,-0.04963367102358159,1.0,False,True,0.7527354047376313,40,False,0.10469664023524766
2014-06-26,257735.28619177965,43307.64619304584,5,-0.04697317779987782,1.0,False,True,0.8153908443422068,40,False,0.10333421043833975
2014-06-27,257458.1610132067,45831.665335227415,5,-0.04799790255600028,1.0,False,True,0.8165397928934859,40,False,0.10214831308285086
2014-06-30,257476.16367494216,45839.394881960536,5,-0.047931334179747286,1.0,False,True,0.8114692708942899,40,False,0.10188738399947041
2014-07-01,258169.26158176933,47230.60624302445,5,-0.04536846859243477,1.0,False,True,0.79234328314022,40,False,0.10096714661258123
2014-07-02,258160.29266083607,47238.40304151536,5,-0.045401632938465476,1.0,False,True,0.8231859760964175,40,False,0.09950282420984158
