date,reason,positions_before,portfolio_value
2004-10-21,drift_threshold,0,163026.79155631023
2004-10-22,drift_threshold,0,163062.17872098534
2004-10-25,drift_threshold,0,163097.573566922
2004-10-26,drift_threshold,0,163132.9760957875
2004-10-27,drift_threshold,0,163168.38630924956
2004-10-28,drift_threshold,0,163203.80420897622
2005-10-12,drift_threshold,0,171602.20661523283
2005-10-13,drift_threshold,0,171638.6380360817
2005-10-14,drift_threshold,0,171675.07719137907
2005-10-17,drift_threshold,0,171711.52408276693
2005-10-18,drift_threshold,0,171747.97871188767
2005-10-19,drift_threshold,0,171784.44108038404
2005-10-20,drift_threshold,0,171820.91118989914
2005-10-21,drift_threshold,0,171857.38904207636
2005-10-24,drift_threshold,0,171893.8746385595
2005-10-25,drift_threshold,0,171930.36798099268
2006-06-13,drift_threshold,0,178018.18683183184
2006-06-14,drift_threshold,0,178059.7950508969
2006-06-15,drift_threshold,0,178101.41299505762
2006-06-16,drift_threshold,0,178143.040666587
2006-06-19,drift_threshold,0,178184.67806775868
2006-06-20,drift_threshold,0,178226.32520084674
2006-06-21,drift_threshold,0,178267.98206812583
2006-06-22,drift_threshold,0,178309.6486718711
2006-06-23,drift_threshold,0,178351.3250143583
2006-06-26,drift_threshold,0,178393.01109786364
2006-06-27,drift_threshold,0,178434.7069246639
2006-06-28,drift_threshold,0,178476.41249703636
2006-06-29,drift_threshold,0,178518.12781725888
2006-06-30,drift_threshold,0,178559.85288760983
2006-07-17,drift_threshold,0,178975.08414006335
2006-07-18,drift_threshold,0,179016.631927453
2006-07-19,drift_threshold,0,179058.18935986474
2006-07-20,drift_threshold,0,179099.75643953757
2006-07-21,drift_threshold,0,179141.33316871102
2006-07-24,drift_threshold,0,179182.9195496252
2006-07-25,drift_threshold,0,179224.51558452065
2007-08-16,drift_threshold,0,190004.09044277322
2007-08-17,drift_threshold,0,190047.7461445059
2007-08-20,drift_threshold,0,190091.41187665577
2007-08-21,drift_threshold,0,190135.08764152744
2007-08-22,drift_threshold,0,190178.77344142602
2007-11-12,drift_threshold,0,192636.68480609628
2007-11-13,drift_threshold,0,192678.26986821316
2007-11-14,drift_threshold,0,192719.8639074228
2007-11-15,drift_threshold,0,192761.46692566315
2007-11-16,drift_threshold,0,192803.0789248725
2007-11-19,drift_threshold,0,192844.6999069896
2007-11-20,drift_threshold,0,192886.32987395365
2007-11-21,drift_threshold,0,192927.96882770423
2007-11-23,drift_threshold,0,192969.6167701813
2007-11-26,drift_threshold,0,193011.27370332534
2007-11-27,drift_threshold,0,193052.93962907715
2007-11-28,drift_threshold,0,193094.61454937802
2007-11-29,drift_threshold,0,193136.29846616962
2007-11-30,drift_threshold,0,193177.99138139407
2007-12-03,drift_threshold,0,193219.69329699385
2007-12-04,drift_threshold,0,193261.78758731927
2007-12-05,drift_threshold,0,193303.89104818652
2007-12-06,drift_threshold,0,193346.00368159343
2007-12-18,drift_threshold,0,193683.2352001655
2007-12-19,drift_threshold,0,193725.43047640554
2007-12-20,drift_threshold,0,193767.6349451879
2007-12-21,drift_threshold,0,193809.84860851523
2007-12-24,drift_threshold,0,193852.07146839064
2008-01-02,drift_threshold,0,194063.32378612796
2008-01-03,drift_threshold,0,194104.36971929384
2008-01-04,drift_threshold,0,194145.42433400033
2008-01-07,drift_threshold,0,194186.48763208368
2008-01-08,drift_threshold,0,194227.55961538045
2008-01-09,drift_threshold,0,194268.64028572768
2008-01-10,drift_threshold,0,194309.72964496273
2008-01-11,drift_threshold,0,194350.82769492336
2008-01-14,drift_threshold,0,194391.93443744772
2008-01-15,drift_threshold,0,194433.04987437438
2008-01-16,drift_threshold,0,194474.17400754226
2008-01-17,drift_threshold,0,194515.30683879068
2008-01-18,drift_threshold,0,194556.44836995937
2008-01-22,drift_threshold,0,194597.5986028884
2008-01-23,drift_threshold,0,194638.7575394183
2008-01-24,drift_threshold,0,194679.92518138993
2008-01-25,drift_threshold,0,194721.10153064458
2008-01-28,drift_threshold,0,194762.2865890239
2008-01-29,drift_threshold,0,194803.4803583699
2008-01-30,drift_threshold,0,194844.68284052509
2008-01-31,drift_threshold,0,194885.89403733224
2008-02-01,drift_threshold,0,194927.11395063458
2008-02-04,drift_threshold,0,194969.88962286263
2008-02-05,drift_threshold,0,195012.6746819743
2008-02-06,drift_threshold,0,195055.46913002952
2008-02-07,drift_threshold,0,195098.2729690886
2008-02-08,drift_threshold,0,195141.08620121237
2008-02-11,drift_threshold,0,195183.90882846207
2008-02-12,drift_threshold,0,195226.7408528994
2008-02-13,drift_threshold,0,195269.5822765866
2008-02-14,drift_threshold,0,195312.43310158618
2008-02-15,drift_threshold,0,195355.29332996125
2008-02-19,drift_threshold,0,195398.16296377534
2008-02-20,drift_threshold,0,195441.0420050924
2008-02-21,drift_threshold,0,195483.93045597686
2008-02-22,drift_threshold,0,195526.8283184936
2008-02-25,drift_threshold,0,195569.73559470792
2008-02-26,drift_threshold,0,195612.65228668565
2008-02-27,drift_threshold,0,195655.57839649302
2008-02-28,drift_threshold,0,195698.5139261967
2008-02-29,drift_threshold,0,195741.45887786383
2008-03-03,drift_threshold,0,195784.41325356203
2008-03-04,drift_threshold,0,195827.22167090437
2008-03-05,drift_threshold,0,195870.03944834115
2008-03-06,drift_threshold,0,195912.86658791895
2008-03-07,drift_threshold,0,195955.7030916848
2008-03-10,drift_threshold,0,195998.54896168617
2008-03-11,drift_threshold,0,196041.40419997106
2008-03-12,drift_threshold,0,196084.2688085878
2008-03-13,drift_threshold,0,196127.14278958522
2008-03-14,drift_threshold,0,196170.02614501264
2008-03-17,drift_threshold,0,196212.91887691975
2008-03-18,drift_threshold,0,196255.82098735674
2008-03-19,drift_threshold,0,196298.7324783742
2008-03-20,drift_threshold,0,196341.65335202325
2008-03-24,drift_threshold,0,196384.5836103554
2008-03-25,drift_threshold,0,196427.52325542257
2008-03-26,drift_threshold,0,196470.4722892772
2008-03-27,drift_threshold,0,196513.43071397222
2008-03-28,drift_threshold,0,196556.39853156087
2008-03-31,drift_threshold,0,196599.37574409693
2008-04-01,drift_threshold,0,196642.36235363464
2008-04-02,drift_threshold,0,196685.67049296253
2008-04-03,drift_threshold,0,196728.98817039252
2008-04-04,drift_threshold,0,196772.31538802528
2008-04-07,drift_threshold,0,196815.65214796193
2008-04-08,drift_threshold,0,196858.99845230405
2008-04-09,drift_threshold,0,196902.35430315367
2008-04-10,drift_threshold,0,196945.71970261328
2008-04-11,drift_threshold,0,196989.0946527859
2008-04-14,drift_threshold,0,197032.4791557749
2008-04-15,drift_threshold,0,197075.87321368422
2008-04-16,drift_threshold,0,197119.27682861817
2008-04-17,drift_threshold,0,197162.6900026816
2008-04-18,drift_threshold,0,197206.1127379798
2008-04-21,drift_threshold,0,197249.5450366185
2008-04-22,drift_threshold,0,197292.98690070395
2008-04-23,drift_threshold,0,197336.4383323428
2008-04-24,drift_threshold,0,197379.89933364218
2008-04-25,drift_threshold,0,197423.3699067097
2008-04-28,drift_threshold,0,197466.85005365344
2008-04-29,drift_threshold,0,197510.3397765819
2008-04-30,drift_threshold,0,197553.83907760412
2008-05-01,drift_threshold,0,197597.34795882954
2008-05-02,drift_threshold,0,197641.02324566012
2008-05-05,drift_threshold,0,197684.7081861156
2008-05-06,drift_threshold,0,197728.40278232977
2008-05-07,drift_threshold,0,197772.10703643682
2008-05-08,drift_threshold,0,197815.82095057145
2008-05-09,drift_threshold,0,197859.54452686885
2008-05-12,drift_threshold,0,197903.27776746466
2008-05-13,drift_threshold,0,197947.02067449503
2008-05-14,drift_threshold,0,197990.7732500965
2008-05-15,drift_threshold,0,198034.53549640614
2008-05-16,drift_threshold,0,198078.3074155615
2008-05-23,drift_threshold,0,198297.31217887072
2008-05-27,drift_threshold,0,198341.142180015
2008-05-28,drift_threshold,0,198384.981868981
2008-05-29,drift_threshold,0,198428.83124790998
2008-05-30,drift_threshold,0,198472.69031894376
2008-06-02,drift_threshold,0,198516.55908422457
2008-06-03,drift_threshold,0,198561.30408643087
2008-06-04,drift_threshold,0,198606.05917401862
2008-06-05,drift_threshold,0,198650.824349261
2008-06-06,drift_threshold,0,198695.5996144318
2008-06-09,drift_threshold,0,198740.3849718052
2008-06-10,drift_threshold,0,198785.18042365598
2008-06-11,drift_threshold,0,198829.9859722594
2008-06-12,drift_threshold,0,198874.80161989125
2008-06-13,drift_threshold,0,198919.6273688278
2008-06-16,drift_threshold,0,198964.46322134585
2008-06-17,drift_threshold,0,199009.30917972274
2008-06-18,drift_threshold,0,199054.16524623625
2008-06-19,drift_threshold,0,199099.03142316476
2008-06-20,drift_threshold,0,199143.90771278713
2008-06-23,drift_threshold,0,199188.7941173827
2008-06-24,drift_threshold,0,199233.69063923138
2008-06-25,drift_threshold,0,199278.59728061355
2008-06-26,drift_threshold,0,199323.51404381014
2008-06-27,drift_threshold,0,199368.44093110255
2008-06-30,drift_threshold,0,199413.37794477274
2008-07-01,drift_threshold,0,199458.32508710315
2008-07-02,drift_threshold,0,199503.20321024774
2008-07-03,drift_threshold,0,199548.09143097003
2008-07-07,drift_threshold,0,199592.989751542
2008-07-08,drift_threshold,0,199637.8981742361
2008-07-09,drift_threshold,0,199682.8167013253
2008-07-10,drift_threshold,0,199727.7453350831
2008-07-11,drift_threshold,0,199772.6840777835
2008-07-14,drift_threshold,0,199817.632931701
2008-07-15,drift_threshold,0,199862.59189911062
2008-07-16,drift_threshold,0,199907.56098228792
2008-07-17,drift_threshold,0,199952.54018350894
2008-07-18,drift_threshold,0,199997.52950505025
2008-07-21,drift_threshold,0,200042.52894918888
2008-07-22,drift_threshold,0,200087.53851820246
2008-07-23,drift_threshold,0,200132.55821436906
2008-07-24,drift_threshold,0,200177.5880399673
2008-07-25,drift_threshold,0,200222.6279972763
2008-07-28,drift_threshold,0,200267.67808857566
2008-07-29,drift_threshold,0,200312.73831614558
2008-07-30,drift_threshold,0,200357.8086822667
2008-07-31,drift_threshold,0,200402.8891892202
2008-08-01,drift_threshold,0,200447.9798392878
2008-08-04,drift_threshold,0,200492.84200620418
2008-08-05,drift_threshold,0,200537.71421370082
2008-08-06,drift_threshold,0,200582.59646402483
2008-08-07,drift_threshold,0,200627.48875942393
2008-08-08,drift_threshold,0,200672.39110214627
2008-08-11,drift_threshold,0,200717.30349444057
2008-08-12,drift_threshold,0,200762.225938556
2008-08-13,drift_threshold,0,200807.15843674223
2008-08-14,drift_threshold,0,200852.1009912495
2008-08-15,drift_threshold,0,200897.05360432848
2008-08-18,drift_threshold,0,200942.0162782304
2008-08-19,drift_threshold,0,200986.98901520696
2008-08-20,drift_threshold,0,201031.97181751035
2008-08-21,drift_threshold,0,201076.9646873933
2008-08-22,drift_threshold,0,201121.96762710906
2008-08-25,drift_threshold,0,201166.9806389113
2008-08-26,drift_threshold,0,201212.0037250543
2008-08-27,drift_threshold,0,201257.03688779275
2008-08-28,drift_threshold,0,201302.08012938194
2008-08-29,drift_threshold,0,201347.13345207757
2008-09-02,drift_threshold,0,201392.1968581359
2008-09-03,drift_threshold,0,201437.3502673521
2008-09-04,drift_threshold,0,201482.51380024935
2008-09-05,drift_threshold,0,201527.68745909742
2008-09-08,drift_threshold,0,201572.87124616661
2008-09-09,drift_threshold,0,201618.06516372776
2008-09-10,drift_threshold,0,201663.26921405218
2008-09-11,drift_threshold,0,201708.4833994117
2008-09-12,drift_threshold,0,201753.70772207863
2008-09-15,drift_threshold,0,201798.94218432583
2008-09-16,drift_threshold,0,201844.18678842668
2008-09-17,drift_threshold,0,201889.44153665504
2008-09-18,drift_threshold,0,201934.70643128527
2008-09-19,drift_threshold,0,201979.9814745923
2008-09-22,drift_threshold,0,202025.2666688515
2008-09-23,drift_threshold,0,202070.56201633875
2008-09-24,drift_threshold,0,202115.8675193305
2008-09-25,drift_threshold,0,202161.1831801037
2008-09-26,drift_threshold,0,202206.50900093574
2008-09-29,drift_threshold,0,202251.8449841046
2008-09-30,drift_threshold,0,202297.19113188874
2008-10-01,drift_threshold,0,202342.54744656713
2008-10-02,drift_threshold,0,202392.9724941054
2008-10-03,drift_threshold,0,202443.4101078857
2008-10-06,drift_threshold,0,202493.86029103957
2008-10-07,drift_threshold,0,202544.3230466994
2008-10-08,drift_threshold,0,202594.79837799835
2008-10-09,drift_threshold,0,202645.28628807032
2008-10-10,drift_threshold,0,202695.78678005005
2008-10-13,drift_threshold,0,202746.29985707303
2008-10-14,drift_threshold,0,202796.8255222755
2008-10-15,drift_threshold,0,202847.36377879453
2008-10-16,drift_threshold,0,202897.91462976797
2008-10-17,drift_threshold,0,202948.47807833445
2008-10-20,drift_threshold,0,202999.05412763334
2008-10-21,drift_threshold,0,203049.64278080483
2008-10-22,drift_threshold,0,203100.2440409899
2008-10-23,drift_threshold,0,203150.85791133027
2008-10-24,drift_threshold,0,203201.4843949685
2008-10-27,drift_threshold,0,203252.12349504788
2008-10-28,drift_threshold,0,203302.7752147125
2008-10-29,drift_threshold,0,203353.43955710728
2008-10-30,drift_threshold,0,203404.11652537787
2008-10-31,drift_threshold,0,203454.8061226707
2008-11-03,drift_threshold,0,203505.508352133
2008-11-04,drift_threshold,0,203554.9311184471
2008-11-05,drift_threshold,0,203604.365887433
2008-11-06,drift_threshold,0,203653.81266200566
2008-11-07,drift_threshold,0,203703.27144508073
2008-11-10,drift_threshold,0,203752.74223957452
2008-11-11,drift_threshold,0,203802.22504840413
2008-11-12,drift_threshold,0,203851.71987448732
2008-11-13,drift_threshold,0,203901.22672074256
2008-11-14,drift_threshold,0,203950.74559008903
2008-11-17,drift_threshold,0,204000.27648544664
2008-11-18,drift_threshold,0,204049.81940973597
2008-11-19,drift_threshold,0,204099.37436587832
2008-11-20,drift_threshold,0,204148.94135679575
2008-11-21,drift_threshold,0,204198.520385411
2008-11-24,drift_threshold,0,204248.11145464744
2008-11-25,drift_threshold,0,204297.7145674293
2008-11-26,drift_threshold,0,204347.32972668138
2008-11-28,drift_threshold,0,204396.95693532928
2008-12-01,drift_threshold,0,204446.59619629927
2008-12-02,drift_threshold,0,204487.5666451402
2008-12-03,drift_threshold,0,204528.54530432902
2008-12-04,drift_threshold,0,204569.53217551103
2008-12-05,drift_threshold,0,204610.52726033193
2008-12-08,drift_threshold,0,204651.53056043768
2008-12-09,drift_threshold,0,204692.5420774746
2008-12-10,drift_threshold,0,204733.56181308933
2008-12-11,drift_threshold,0,204774.58976892885
2008-12-12,drift_threshold,0,204815.62594664047
2008-12-15,drift_threshold,0,204856.67034787184
2008-12-16,drift_threshold,0,204897.72297427093
2008-12-17,drift_threshold,0,204938.783827486
2008-12-18,drift_threshold,0,204979.85290916573
2008-12-19,drift_threshold,0,205020.93022095904
2008-12-22,drift_threshold,0,205062.01576451524
2008-12-23,drift_threshold,0,205103.10954148392
2008-12-24,drift_threshold,0,205144.21155351505
2008-12-26,drift_threshold,0,205185.3218022589
2008-12-29,drift_threshold,0,205226.4402893661
2008-12-30,drift_threshold,0,205267.56701648756
2008-12-31,drift_threshold,0,205308.7019852746
2009-01-02,drift_threshold,0,205349.84519737877
2009-01-05,drift_threshold,0,205390.99665445206
2009-01-06,drift_threshold,0,205432.1563581467
2009-01-07,drift_threshold,0,205473.32431011528
2009-01-08,drift_threshold,0,205514.50051201077
2009-01-09,drift_threshold,0,205555.68496548638
2009-01-12,drift_threshold,0,205596.87767219573
2009-01-13,drift_threshold,0,205638.07863379273
2009-01-14,drift_threshold,0,205679.28785193164
2009-01-15,drift_threshold,0,205720.50532826706
2009-01-16,drift_threshold,0,205761.73106445387
2009-01-20,drift_threshold,0,205802.96506214733
2009-01-21,drift_threshold,0,205844.20732300304
2009-01-22,drift_threshold,0,205885.4578486769
2009-01-23,drift_threshold,0,205926.71664082512
2009-01-26,drift_threshold,0,205967.98370110433
2009-01-27,drift_threshold,0,206009.25903117142
2009-01-28,drift_threshold,0,206050.54263268362
2009-01-29,drift_threshold,0,206091.8345072985
2009-01-30,drift_threshold,0,206133.13465667397
2009-02-02,drift_threshold,0,206174.44308246826
2009-02-03,drift_threshold,0,206217.55972195417
2009-02-04,drift_threshold,0,206260.68537829284
2009-02-05,drift_threshold,0,206303.82005336997
2009-02-06,drift_threshold,0,206346.9637490716
2009-02-09,drift_threshold,0,206390.1164672842
2009-02-10,drift_threshold,0,206433.27820989463
2009-02-11,drift_threshold,0,206476.4489787901
2009-02-12,drift_threshold,0,206519.6287758583
2009-02-13,drift_threshold,0,206562.8176029872
2009-02-17,drift_threshold,0,206606.0154620653
2009-02-18,drift_threshold,0,206649.22235498138
2009-02-19,drift_threshold,0,206692.43828362465
2009-02-20,drift_threshold,0,206735.66324988476
2009-02-23,drift_threshold,0,206778.8972556517
2009-02-24,drift_threshold,0,206822.14030281588
