config,bull,mild_bull,mild_bear,bear,cagr,sharpe,sortino,max_dd,trades,win_rate,cagr_delta,sharpe_delta,dd_delta,is_cagr,is_sharpe,is_max_dd,oos_cagr,oos_sharpe,oos_max_dd,oos_sharpe_delta,passes_kill
b5/mb5/mbr5/br2,5,5,5,2,0.1123256192580171,0.8018074164115684,1.1199103004093562,-0.3171475412156916,5491,0.5538153341832089,0.0039348000829859675,0.02538038180040414,-0.03221359693207815,0.09430891979000111,0.6999438140498927,-0.3171475412156916,0.5735299150409583,3.6716447969379202,-0.31509719503075123,0.16354494590731683,True
b5/mb5/mbr5/br3,5,5,5,3,0.10914631560028298,0.7831575992362226,1.0961395457346121,-0.33359455763637424,5266,0.5518420053171288,0.0007554964252518559,0.006730564625058388,-0.01576658051139551,0.08747795054311425,0.6543112170302404,-0.33359455763637424,0.5544664955125405,3.5463826437838732,-0.27143859228925565,0.038282792753269845,True
b5/mb5/mbr5/br4,5,5,5,4,0.11106175727429823,0.8034428313274399,1.1331588368816727,-0.37567649049998175,5173,0.5538372317803982,0.002670938099267106,0.02701579671627563,0.026315352352211996,0.08455425450716558,0.6375314173810313,-0.37567649049998175,0.5659303774194784,3.6517058161284575,-0.23562330825161076,0.14360596509785406,False
b6/mb4/mbr3/br2,6,4,3,2,0.10339478213556297,0.7500282635831979,1.034709149208198,-0.330419656349416,5837,0.5336645537090972,-0.00499603703946816,-0.026398771027966395,-0.018941481798353754,0.08280389156330314,0.6275077842941723,-0.330419656349416,0.5204292505311836,3.3478791906427436,-0.2262380400686325,-0.16022066038785976,False
b6/mb4/mbr3/br3,6,4,3,3,0.09936550434368874,0.7308112030686532,1.0170616054837165,-0.39986569242815634,5583,0.5360917069675801,-0.00902531483134239,-0.04561583154251103,0.05050455428038658,0.07679815372119791,0.5911185426738206,-0.39986569242815634,0.4969260725344429,3.2281674335767487,-0.2285253656845047,-0.27993241745385467,False
b6/mb4/mbr4/br2,6,4,4,2,0.0999937701526572,0.7250810197564957,1.0085585405280724,-0.32571486978599745,5520,0.5311594202898551,-0.008397049022373926,-0.0513460148546685,-0.023646268361772305,0.08237608353618153,0.6218519572453001,-0.32571486978599745,0.500572389971534,3.2446991262904117,-0.22562748563258142,-0.2634007247401917,False
b6/mb4/mbr4/br3,6,4,4,3,0.0908858004551969,0.6737818945789642,0.9346705295153819,-0.37304515972414864,5304,0.5290346907993967,-0.01750501871983423,-0.10264514003220004,0.02368402157637889,0.06892086904327299,0.5342627088435139,-0.37304515972414864,0.44837182250181473,2.9412454216291555,-0.20745584845446466,-0.5668544294014479,False
b6/mb4/mbr4/br4,6,4,4,4,0.09917036145759539,0.7153326037570523,1.0069065960199666,-0.3452486708187874,5208,0.5312980030721967,-0.009220457717435737,-0.061094430854111925,-0.00411246732898235,0.0775533768647203,0.5795095843740913,-0.3452486708187874,0.49579488701824603,3.2360575081755316,-0.2018879272290474,-0.2720423428550718,False
b6/mb5/mbr3/br2,6,5,3,2,0.09621070622211358,0.6899296850196726,0.9489776333207501,-0.31904923938985813,5551,0.5408034588362457,-0.012180112952917543,-0.08649734959149169,-0.030311898757911626,0.08278263608166547,0.6189191626612877,-0.31904923938985813,0.47871869152151625,3.057989896915884,-0.2561004338088187,-0.45010995411471955,False
b6/mb5/mbr3/br3,6,5,3,3,0.09950403504154104,0.7227617514942575,1.0106618886682457,-0.3943860507049924,5289,0.5403667990168274,-0.008886784133490089,-0.05366528311690677,0.04502491255722263,0.08353753139904296,0.6353344302225921,-0.3943860507049924,0.497729491146774,3.1886989138898914,-0.21783965115764398,-0.31940093714071205,False
