date,hydra_value,combined_value,in_commodity
2013-05-08,481751.6728720813,316072.05236534093,False
2013-05-09,482748.6073144937,316726.1302503401,False
2013-05-10,483580.21228336217,317271.7372592384,False
2013-05-13,487307.2427200338,319717.0015430631,False
2013-05-14,492643.1784213569,323217.8511371121,False
2013-05-15,494711.8126198193,324575.0596192397,False
2013-05-16,490067.4933793803,321527.9720908998,False
2013-05-17,493262.9077467619,323624.44883219426,False
2013-05-20,491015.772230091,322150.12756940996,False
2013-05-21,493803.39434362407,323979.0562317446,False
2013-05-22,490287.5320124602,321672.33705375006,False
2013-05-23,489911.0357527875,321425.3219374492,False
2013-05-24,488204.08079076966,320305.4072832381,False
2013-05-28,489661.7863786317,321261.7921239033,False
2013-05-29,487963.76569217286,320147.7391510756,False
2013-05-30,494286.9729202652,324296.3268958766,False
2013-05-31,490815.7988526823,322018.9272033807,False
2013-06-03,489350.5871546125,321057.6176851435,False
2013-06-04,487376.6462882196,319762.5364721006,False
2013-06-05,480497.92099006975,319280.18465583527,True
2013-06-06,486562.0838183076,321781.4374237812,True
2013-06-07,494991.5578176712,318365.01782685274,True
2013-06-10,495511.5508923087,318858.5987966481,True
2013-06-11,491803.65260194725,316922.4623755228,True
2013-06-12,487482.4135099879,317763.21668107127,True
2013-06-13,492882.5966695786,318309.2868915175,True
2013-06-14,488921.50025545416,320193.1051101648,True
2013-06-17,493147.12690570566,319396.40619205375,True
2013-06-18,496463.2913103325,318536.7290142987,True
2013-06-19,492075.7027444721,317410.9390318244,True
2013-06-20,480750.8394287698,303713.8943924381,True
2013-06-21,483261.7696389378,304861.75473797414,True
2013-06-24,482145.3944241439,303290.7144757882,True
2013-06-25,485420.2790678461,303222.2097832176,True
2013-06-26,489220.8255248119,297438.20569015143,True
2013-06-27,493657.2535142679,297029.5715396168,True
2013-06-28,491350.096267335,300851.3484253433,True
2013-07-01,496406.5458951793,302724.7882356196,True
2013-07-02,494570.58052059467,302543.37164709833,True
2013-07-03,494564.8627000456,305916.3013412694,True
2013-07-05,498343.7267613467,308253.74219906406,False
2013-07-08,503449.91266763216,311412.2065870995,False
2013-07-09,504928.1335802593,312326.56971368194,False
2013-07-10,506140.51231296005,313076.4944368169,False
2013-07-11,510076.7516870796,315511.28081438225,False
2013-07-12,509693.90013629344,315274.4655061943,False
2013-07-15,510227.6885121165,315604.6437658047,False
2013-07-16,507304.3916958537,313796.41957278067,False
2013-07-17,507670.82391373697,314023.07859617984,False
2013-07-18,513616.00908926135,317700.5114201701,False
2013-07-19,513496.7626365506,317626.7507539509,False
2013-07-22,515561.6111738671,318903.97620000714,False
2013-07-23,513507.9654154914,317633.6803054755,False
2013-07-24,513253.45069672976,317476.2485765504,False
2013-07-25,512849.0300091546,317226.0915390013,False
2013-07-26,515071.1479385134,318600.59698684554,False
2013-07-29,512280.7494938705,316874.5779429668,False
2013-07-30,510944.15313628496,316047.81760284374,False
2013-07-31,512289.5670496948,316880.0320992728,False
2013-08-01,516605.14555137744,319549.4611528758,False
2013-08-02,515603.9477876857,318930.16378688905,False
2013-08-05,517803.2644016077,320290.56533328333,False
2013-08-06,514158.2225802464,318035.90108937124,False
2013-08-07,511853.717111711,316610.4342951751,False
2013-08-08,513786.9888082646,317806.2720335632,False
2013-08-09,513381.1014588552,317555.2077828304,False
2013-08-12,514305.1563328676,318126.78791440494,False
2013-08-13,516567.2953101664,319526.04864084854,False
2013-08-14,515917.32189787365,319124.0033738775,False
2013-08-15,508224.6577794682,314365.6561234976,False
2013-08-16,510625.4554560916,315219.10856478853,True
2013-08-19,508381.52346276346,315025.5956142886,True
2013-08-20,514644.6761991329,313023.9424243357,True
2013-08-21,511257.1282241616,311723.94294624025,True
2013-08-22,513794.4728150469,312409.7325175274,True
2013-08-23,517732.38591019926,317573.16154684906,True
2013-08-26,518054.524964201,320306.8154051058,True
2013-08-27,509418.53930519504,322881.07256189163,True
2013-08-28,512690.2076091456,323048.2807008032,True
2013-08-29,516442.74706404185,319636.84680654726,True
2013-08-30,512689.82914725447,317452.79390744603,True
2013-09-03,516663.9628822885,321417.74394480383,True
2013-09-04,520373.1594617689,317313.94387578685,True
2013-09-05,521603.9517290064,315951.2982979506,True
2013-09-06,521891.5225694671,320302.3399765921,True
2013-09-09,528759.7494307507,318682.476549802,True
2013-09-10,535855.8892159523,314411.4592249811,True
2013-09-11,538201.3081040216,315296.27695797995,True
2013-09-12,536850.9556004457,311308.84063971794,True
2013-09-13,537763.484806345,311885.6460935659,True
2013-09-16,537113.9429142382,307482.58105133765,True
2013-09-17,537291.1408950669,307584.0218968437,False
2013-09-18,544618.1395521289,311778.52194316406,False
2013-09-19,543569.5516316168,311178.23493793583,False
2013-09-20,540939.3964280649,309672.54527706833,False
2013-09-23,537635.4872628982,307781.1504788759,False
2013-09-24,539232.3873761431,308695.33074728894,False
2013-09-25,538814.3291861587,308456.00422638614,False
2013-09-26,540102.1193706214,309193.2277801496,False
2013-09-27,538582.2565279298,308323.1491760098,False
2013-09-30,535897.678262848,306786.3038476184,False
2013-10-01,541470.2328272287,309976.4341414037,False
2013-10-02,541316.703669903,309888.5430296872,False
2013-10-03,537419.2207993639,307657.3440290906,False
2013-10-04,541419.4080184054,309947.3383720523,False
2013-10-07,537099.1824458834,307474.1310995776,False
2013-10-08,528921.451271853,302792.610685321,False
2013-10-09,524092.48814376,299053.52206464164,True
2013-10-10,534856.1543759771,299239.4869542732,True
2013-10-11,538325.4136390227,296708.0340804506,True
2013-10-14,543488.2129040296,297025.31554632337,True
2013-10-15,539767.305760203,296901.2863042605,True
2013-10-16,544444.7607818163,297917.84450661525,True
2013-10-17,547985.8048070855,300221.6543368255,True
2013-10-18,552791.6246034151,300468.05503731756,True
2013-10-21,558026.150376729,300452.3058332391,True
2013-10-22,554132.2568597383,302045.4779666361,True
2013-10-23,549549.8735575458,299350.7082583425,True
2013-10-24,557408.7422902727,300125.3995972267,True
2013-10-25,555399.456376725,300744.4256266695,True
2013-10-28,551764.0369051036,301002.1022107644,True
2013-10-29,556353.3241305142,300052.9734596019,True
2013-10-30,555891.1434232725,299452.0133520838,True
2013-10-31,554535.9598328127,295318.6370751704,True
2013-11-01,555106.6266419725,292879.8182484738,True
2013-11-04,557121.3705382589,291744.7640517845,True
2013-11-05,556728.0284000138,291138.14104346803,True
2013-11-06,551537.2365431329,292353.43951236724,True
2013-11-07,542430.4384651609,287526.19746117434,False
2013-11-08,549465.7283499734,291255.39480183413,False
2013-11-11,551720.5771686396,292450.62290982046,False
2013-11-12,549576.7881317086,291314.26427977777,False
2013-11-13,553263.1061816427,293268.27153373853,False
2013-11-14,554904.2848527092,294138.2113991733,False
2013-11-15,557416.5904585177,295469.9096713839,False
2013-11-18,551950.2817301871,292802.96188789146,True
2013-11-19,547883.6815468157,292776.77121034084,True
2013-11-20,547348.9821826575,290034.37615512667,True
2013-11-21,554537.7478914778,292130.644454922,True
2013-11-22,554385.681338835,291489.28821217123,True
2013-11-25,553282.0896558842,291803.9700669095,True
2013-11-26,554337.8671536713,290751.99461541796,True
2013-11-27,557044.1650118816,289221.0172227274,True
2013-11-29,557138.1988734413,291357.3828188848,True
2013-12-02,554800.1146232174,287686.07215175126,True
2013-12-03,553460.114772393,289573.6261245135,True
2013-12-04,553315.8847371464,292926.40679639415,True
2013-12-05,555704.1151322626,290749.132143497,True
2013-12-06,558865.4814843897,291706.7028627467,True
2013-12-09,558399.4220899802,292941.3533022195,True
2013-12-10,559661.2512856836,296525.3292044244,True
2013-12-11,556569.0249558353,295171.9006688139,True
2013-12-12,557413.9490009111,291066.6261064774,True
2013-12-13,558212.9025024312,291187.7176967147,True
2013-12-16,559489.1500728115,292785.5844552678,True
2013-12-17,560240.4735961799,291377.787074681,True
2013-12-18,568567.1914003454,295708.4642065905,False
2013-12-19,568125.3684660515,295478.6746877308,False
2013-12-20,571766.644691478,297372.48111317866,False
2013-12-23,573755.4955631325,298406.8707960311,False
2013-12-24,573154.0386224901,298094.05656599137,False
2013-12-26,576350.186844307,299756.3545253976,False
2013-12-27,572568.6249169742,297789.5863285209,False
2013-12-30,572038.4070459935,297513.82312112156,False
2013-12-31,574996.0521204934,299052.076991336,False
2014-01-02,573071.9119205009,298051.34294958354,False
2014-01-03,570637.8544121307,296785.4039040717,False
2014-01-06,561700.9408148616,292137.3675161708,False
2014-01-07,565282.8914844397,294000.3190676944,False
2014-01-08,572185.7929162792,297590.47764851444,False
2014-01-09,569938.6348544162,296421.7439098224,False
2014-01-10,569473.0648684235,296179.6036885418,False
2014-01-13,562819.2077358522,292718.9715882677,False
2014-01-14,570676.3702321594,296805.4357563498,False
2014-01-15,568902.9419623556,295883.08610625373,False
2014-01-16,568873.2631716663,295867.6503411463,False
2014-01-17,566287.5599224848,294522.84123454575,False
2014-01-21,572386.1779613248,297694.69673610275,False
2014-01-22,573153.8624915848,298093.96496133966,False
2014-01-23,574435.2487954734,298760.40646853426,False
2014-01-24,558385.433736909,298429.13348906825,True
2014-01-27,558819.3898751511,296004.08380808216,True
2014-01-28,564086.7835973183,297052.1096948274,True
2014-01-29,562715.9933914836,298233.4258454632,True
2014-01-30,565308.281371821,295666.0406902043,True
2014-01-31,559787.7466710922,296025.9833495811,True
2014-02-03,548547.4856764195,297414.01671708946,True
2014-02-04,551478.6332537971,298985.8415639488,True
2014-02-05,550263.0500098856,300745.34973400296,True
2014-02-06,558865.5100343153,300964.5262751827,True
2014-02-07,567412.505647663,303996.4547119728,True
2014-02-10,562036.5638424943,304130.3098163703,True
2014-02-11,567422.7480448566,305748.4508774872,True
2014-02-12,565978.7854696389,306646.78079098044,True
2014-02-13,573674.568648021,308603.69704114133,True
2014-02-14,578325.1151292995,312671.5531150887,True
2014-02-18,580933.6839305811,317896.2547920417,True
2014-02-19,576794.9044095126,317557.8672738067,True
2014-02-20,579177.2408657438,319524.2390577732,True
2014-02-21,580435.0490389302,318947.41685206455,True
2014-02-24,582573.2970727661,321523.08413834474,True
2014-02-25,582561.6618643318,321516.6626492048,False
2014-02-26,580003.8558206438,320105.00562351116,False
2014-02-27,578383.7488214744,319210.86611930723,False
2014-02-28,576429.282673214,318132.19329480565,False
2014-03-03,575541.5419511049,317642.24784704496,False
2014-03-04,587310.3196698489,324137.4540772004,False
2014-03-05,586595.5489777082,323742.97105069796,False
2014-03-06,590310.6936265149,325793.3650037102,False
2014-03-07,586634.9363933437,323764.7090249838,False
2014-03-10,588115.1828318234,324581.65927412186,False
2014-03-11,585536.805750484,323158.6490616227,False
2014-03-12,587293.6481948243,324128.25306490896,False
2014-03-13,578704.1236219477,319387.6814564433,False
2014-03-14,577488.0218365603,318716.5130410206,False
2014-03-17,580939.7706284436,320621.538422056,False
2014-03-18,585756.9918896278,323280.1701249768,False
2014-03-19,581402.6938106712,320877.0264267703,False
2014-03-20,581981.9122908809,321196.69798240584,False
2014-03-21,570099.0044644583,321428.33442892425,True
2014-03-24,565962.0684510397,319639.2470732582,True
2014-03-25,565522.8748737248,320167.4598626743,True
2014-03-26,561240.4902907828,319677.7662175466,True
2014-03-27,556208.293192552,321213.9067594805,True
2014-03-28,555067.1495830736,321591.94479578175,True
2014-03-31,557454.1581888209,320705.77839745564,True
2014-04-01,571446.3256852406,318223.9644166315,True
2014-04-02,571242.4608354877,318123.6726719578,True
2014-04-03,566489.735603135,318999.9381632531,True
2014-04-04,558138.1719153342,321606.3678265146,True
2014-04-07,549718.9160899571,321232.5067727387,True
2014-04-08,553439.6607339421,324330.0347191267,True
2014-04-09,561590.0805787578,325050.6632080626,True
2014-04-10,551298.6488792117,326030.26001642254,True
2014-04-11,545132.1632622425,324888.47244212124,True
2014-04-14,547710.290024938,327075.61404189176,True
2014-04-15,549213.9286202098,324312.72865915886,True
2014-04-16,557164.8085082188,324322.6256869818,True
2014-04-17,558166.8295857494,325191.15466779,True
2014-04-21,559777.5541581085,323069.2990370394,True
2014-04-22,564145.1043957141,323002.1863621474,True
2014-04-23,565943.7604764118,323184.6711945575,True
2014-04-24,568011.4960526485,325033.03934844205,True
2014-04-25,561259.3536252443,324275.68727106444,True
2014-04-28,553443.9318450921,323413.2844602063,True
2014-04-29,561118.2167866331,324130.27056692477,True
2014-04-30,564153.5694558315,321470.62214689126,True
2014-05-01,565849.7627040403,319792.4660816145,True
2014-05-02,566752.6416497967,321612.0789540548,True
2014-05-05,571177.8544230316,322712.26821369305,True
2014-05-06,568769.2913234137,322613.2006698197,True
2014-05-07,565583.9260866919,321578.41515699937,True
2014-05-08,565083.701408933,320406.98612050386,True
2014-05-09,564351.1615906203,318938.1562473465,True
2014-05-12,569508.1234079672,321163.3849550067,True
2014-05-13,571701.2157966741,322219.2340549051,True
2014-05-14,568107.8117311861,324150.0113263826,True
2014-05-15,560682.6225680662,322157.9789597448,True
2014-05-16,558737.3686697937,321390.216590054,True
2014-05-19,562794.8410147027,321687.96921172517,True
2014-05-20,557824.8853170539,322041.1459232621,True
2014-05-21,564355.1598668456,325811.1769035278,False
2014-05-22,565188.0011265278,326212.11697899003,True
2014-05-23,569361.5697026786,326116.666043575,True
2014-05-27,571312.6037698897,322228.3898907995,True
2014-05-28,575159.6277945391,320827.8962701237,True
2014-05-29,574267.4921396114,321731.53164255386,True
2014-05-30,574973.2844782643,319161.9255190606,True
2014-06-02,577942.4835312921,317797.80665541685,True
2014-06-03,578168.5141982454,318266.505537479,True
2014-06-04,581201.2577596126,317416.5030131316,True
2014-06-05,578644.1156077962,318621.9230342518,True
2014-06-06,581959.0100097982,319759.9229460718,True
2014-06-09,579163.2565534952,320859.67317220336,True
2014-06-10,580406.2024971347,321623.42254606885,True
2014-06-11,581282.5046517206,321364.19258279493,True
2014-06-12,575579.7178864795,325438.7301598271,True
2014-06-13,576979.7865667677,326822.4398080072,True
2014-06-16,576925.0540511091,326268.8023412739,True
2014-06-17,580587.2485702117,325877.9239849883,True
2014-06-18,584298.0174233245,326792.02591572766,True
2014-06-19,582271.5276413755,333630.0014117894,True
2014-06-20,583894.1849224238,334359.6123185958,True
2014-06-23,583185.5648631112,333953.8300134605,False
2014-06-24,582101.0864162159,333332.81716141436,False
2014-06-25,582707.5889746739,333680.1231725938,False
2014-06-26,585144.4600570032,335075.56654469436,False
2014-06-27,584355.7210870058,334623.90515973995,False
2014-06-30,584064.0210587451,334456.866831767,False
2014-07-01,590729.5640874031,338273.8056547682,False
2014-07-02,585466.2532134027,335259.8373214873,False
2014-07-03,586487.2670161572,335844.50794859126,False
2014-07-07,577353.5940376206,334207.8802483018,True
2014-07-08,571556.5091249028,334082.6509845168,True
2014-07-09,573512.6877245505,332702.9712115779,True
2014-07-10,573375.4889678037,332998.83025393495,True
2014-07-11,573695.6159416884,330914.5387527639,True
2014-07-14,577490.6225014315,328954.4907923607,True
2014-07-15,580322.5696812449,325950.5135516858,True
2014-07-16,587441.2587639184,327165.97214510327,True
2014-07-17,574329.0684351949,330639.70343216544,True
2014-07-18,579510.5219606616,328857.2412171046,True
2014-07-21,579378.8252402194,330300.9925631478,True
2014-07-22,584161.6019988927,329268.8492603302,True
2014-07-23,583691.2906499656,330435.63224671397,True
2014-07-24,586555.2425625093,327505.3191784084,True
2014-07-25,584642.7485521428,329575.3982940841,True
2014-07-28,581101.4875906891,329207.1683358389,True
2014-07-29,581279.45482727,327774.86753129767,True
2014-07-30,581910.1458070847,326524.18497209466,True
2014-07-31,572232.9416966165,324083.0932802963,True
2014-08-01,570358.168901007,323177.0217591771,True
2014-08-04,575750.1522109491,323875.30049432,True
2014-08-05,571282.9571923526,321477.88528247684,True
2014-08-06,571005.1287537667,323707.07111617504,True
2014-08-07,569472.9681034237,323334.3542148612,True
2014-08-08,571339.1972067911,322199.89101897,True
2014-08-11,573802.9070891305,323137.8379453893,True
2014-08-12,574452.1262886717,321227.37888658897,True
2014-08-13,581732.528823381,320876.6084552326,True
2014-08-14,581925.3250007422,318796.9532463703,True
2014-08-15,586592.0264909868,318971.2481701451,True
2014-08-18,591653.4886035229,317373.82155593944,True
2014-08-19,593928.4859806364,315403.6642573988,True
2014-08-20,597714.4163067068,315543.0608589724,True
2014-08-21,599313.5367676702,315427.59313982265,True
2014-08-22,602174.9046265807,315373.61571204464,True
2014-08-25,605526.0923948815,314559.61305989465,True
2014-08-26,603596.8487348896,316109.15509177384,True
2014-08-27,603062.7024109095,316327.33403942466,True
2014-08-28,603638.3434958202,318029.1580520353,True
2014-08-29,604306.7010409379,318919.7599356013,True
2014-09-02,601497.6701843726,314593.5339935379,True
2014-09-03,602870.5958274365,316007.2037068457,True
2014-09-04,603425.132544754,316297.8756994841,False
2014-09-05,605218.5302786728,317237.9225469374,False
2014-09-08,607936.0771143778,318662.3814315424,False
2014-09-09,603560.9257501385,316369.0545418641,False
2014-09-10,606760.4499210151,318046.1519047625,False
2014-09-11,604305.3380736895,316759.25379589706,False
2014-09-12,599212.8500186225,314089.919910101,False
2014-09-15,592290.4467459313,310461.39777570846,False
2014-09-16,596060.3530624725,312437.47284318117,False
2014-09-17,594405.2641504043,311569.9234509753,False
2014-09-18,598622.7801838856,313780.62249245035,False
2014-09-19,597248.8568245543,310766.4695047063,True
2014-09-22,592178.703599172,309033.2123550563,True
2014-09-23,592012.6769932391,309722.8363949631,True
2014-09-24,598251.4162229503,311277.2905235675,True
2014-09-25,591695.0414631878,309654.98755838675,True
2014-09-26,594877.5697164428,310663.3802356435,True
2014-09-29,596886.3201049638,312145.2413566852,True
2014-09-30,595488.3138069222,306709.5473228646,True
2014-10-01,587856.0265054984,307010.105158436,True
2014-10-02,587662.427424432,307345.45235062204,True
2014-10-03,593479.4269827855,303263.6042827099,True
2014-10-06,590807.8593199693,308750.1796641716,True
2014-10-07,585475.0388648901,307080.53816067416,True
2014-10-08,594281.2044787364,307340.36813100264,True
2014-10-09,585467.7221075485,304989.9629441989,True
2014-10-10,568277.4407880185,304886.0224920842,True
2014-10-13,560782.5202348805,305338.05851687986,True
2014-10-14,565311.3941372967,302650.61055215076,True
2014-10-15,563643.3023749542,300941.22625347704,True
2014-10-16,567957.0550085949,302634.89255622536,True
2014-10-17,569780.3145660334,302105.38580717513,True
2014-10-20,573627.0521470652,301792.4545578591,True
2014-10-21,583747.4903688232,303250.0711296358,True
2014-10-22,585266.5777763342,299089.93627565046,True
2014-10-23,590606.2749835292,300806.7570311591,True
2014-10-24,597986.6639924832,299506.7088949616,True
2014-10-27,602781.6140575439,298465.05756973795,True
2014-10-28,603945.6803627044,299623.0302917206,True
2014-10-29,597449.3743359384,300188.19601992564,True
2014-10-30,607603.4613447759,295725.61146325094,True
2014-10-31,604635.0927069425,292762.8767981432,True
2014-11-03,604051.6776943968,290143.22733136796,True
2014-11-04,597681.7442030502,287698.7376455855,True
2014-11-05,596332.8968066138,284949.3524167068,True
2014-11-06,599933.5922504468,284891.78721182485,True
2014-11-07,598655.5439411297,288341.7273831666,True
2014-11-10,601923.6857241456,284985.45882626035,True
2014-11-11,605080.0074042142,287553.8581457283,True
2014-11-12,605747.99919445,286465.13156978413,True
2014-11-13,602430.8240236405,283957.9417560769,True
2014-11-14,599861.1778787747,289514.11874436477,True
2014-11-17,600922.8463687071,288076.53910346597,True
2014-11-18,605340.7239199065,290194.4264209862,False
2014-11-19,606418.3309304025,290711.0206892408,False
2014-11-20,603624.9970791367,289371.92374310887,False
2014-11-21,605374.3857746287,290210.56358512753,False
2014-11-24,607288.3518863346,291128.10023189243,False
2014-11-25,610718.1927066238,292772.3323977277,False
2014-11-26,611217.038816857,293011.4743472302,False
2014-11-28,617983.1324670804,296255.07351105753,False
2014-12-01,611797.4832465806,293289.7337335509,False
2014-12-02,619199.0236122834,296837.9598418956,False
2014-12-03,621486.3578762962,297934.4855315601,False
2014-12-04,622878.8742555953,298602.04427328124,False
2014-12-05,615781.0525887142,295199.41794059204,False
2014-12-08,614217.2829687537,294449.7620691344,False
2014-12-09,615383.1260499841,295008.655847276,False
2014-12-10,607905.184769656,291423.8038872057,False
2014-12-11,611266.3804093063,293035.12822438363,False
2014-12-12,607448.0738975571,291204.6694029428,False
2014-12-15,605536.9430317464,290288.4919453483,False
2014-12-16,598492.8794418846,288998.0440569727,True
2014-12-17,606223.2908392581,289131.8151455167,True
2014-12-18,609807.1094746371,289312.2639842373,True
2014-12-19,608505.3639425118,293820.74506514875,True
2014-12-22,608246.5544557958,286980.2478096589,True
2014-12-23,609227.4711739474,289761.2151922666,True
2014-12-24,612054.5507887893,287290.0673006754,True
2014-12-26,613068.0023688062,288714.5074209152,True
2014-12-29,614334.7328234743,285387.2271913193,True
2014-12-30,612623.234990508,287502.095084472,True
2014-12-31,610555.2732305015,284104.0952882263,True
2015-01-02,609284.6560173134,281982.9281081074,True
2015-01-05,605281.3794725654,281052.2170875402,True
2015-01-06,605181.930893024,280527.36268171784,True
2015-01-07,611376.2318978792,280647.5396697016,True
2015-01-08,618916.3765866023,280237.5885103429,True
2015-01-09,612971.4047327782,280296.05051749694,True
2015-01-12,609796.2471152805,276965.65898764774,True
2015-01-13,609347.8423756561,278150.19095619454,True
2015-01-14,603041.3138519658,280041.86563396984,True
2015-01-15,599420.1469382421,277961.8165646979,True
2015-01-16,603638.7011932125,279918.0354371829,False
2015-01-20,602065.8517721544,277666.5892861455,True
2015-01-21,601595.3585953212,279244.1718725738,True
2015-01-22,606935.2605098274,279012.13126614405,True
2015-01-23,606932.1388061242,275994.87709035876,True
2015-01-26,608488.551100625,273726.3558341929,True
2015-01-27,604894.0667859777,276382.45076049503,True
2015-01-28,600647.8477233334,272460.4111566718,True
2015-01-29,603344.2703840919,267828.7144872768,True
2015-01-30,595697.5723500673,274826.50752528163,True
2015-02-02,596680.1738460467,276814.68263742846,True
2015-02-03,595376.8561969439,281772.64924108965,True
2015-02-04,597097.8159152449,276957.0836389466,True
2015-02-05,597588.4354830752,280100.1460793241,True
2015-02-06,594571.8458760501,278678.3081460291,True
2015-02-09,588986.3736763147,281851.3293167449,True
2015-02-10,596875.5704234273,277323.7249353003,True
2015-02-11,597276.6461147841,274362.3498861307,True
2015-02-12,599052.6455964356,277851.9889597203,True
2015-02-13,598172.0435356768,281885.4404662286,True
2015-02-17,600485.9216025479,279019.39209037717,True
2015-02-18,601781.408746665,276328.4464101988,True
2015-02-19,602366.0461836414,276596.90261759376,False
2015-02-20,610308.6452267512,280244.01770314074,False
2015-02-23,611700.6704798116,280883.2135472647,False
2015-02-24,615793.7701701347,282762.69978926185,False
