symbol,strategy,entry_date,exit_date,exit_reason,pnl_pct,hold_days
F,RATTLESNAKE,2010-03-31,2010-04-13,TIME,0.017501813126318932,8
C,RATTLESNAKE,2010-04-27,2010-04-29,PROFIT,0.05069119128830546,2
GOOG,RATTLESNAKE,2010-04-22,2010-05-04,STOP,-0.07437935871233337,8
F,RATTLESNAKE,2010-04-30,2010-05-05,STOP,-0.05222686812613775,3
C,RATTLESNAKE,2010-04-30,2010-05-06,STOP,-0.0755146140847297,4
BKNG,RATTLESNAKE,2010-05-06,2010-05-10,PROFIT,0.07142861419873969,2
C,RATTLESNAKE,2010-05-06,2010-05-10,PROFIT,0.04455433575074408,2
F,RATTLESNAKE,2010-05-06,2010-05-11,PROFIT,0.044992268676633085,3
AMZN,RATTLESNAKE,2010-05-04,2010-05-14,TIME,-0.01001310301372249,8
AXP,RATTLESNAKE,2010-05-06,2010-05-18,STOP,-0.06258806823945573,8
CMCSA,RATTLESNAKE,2010-05-11,2010-05-20,STOP,-0.07134971837968795,7
AIG,RATTLESNAKE,2010-05-18,2010-05-20,STOP,-0.07861301455686198,2
LOW,RATTLESNAKE,2010-05-18,2010-05-28,TIME,0.0020242144565794096,8
USB,RATTLESNAKE,2010-05-18,2010-05-28,TIME,-0.016420686453871958,8
AXP,RATTLESNAKE,2010-05-18,2010-05-28,TIME,0.0007526026311914791,8
NFLX,RATTLESNAKE,2010-06-24,2010-06-30,STOP,-0.057266950623647506,4
AVGO,RATTLESNAKE,2010-06-24,2010-07-07,TIME,0.020244936176559536,8
SBUX,RATTLESNAKE,2010-06-30,2010-07-09,PROFIT,0.04115220875195513,6
NFLX,RATTLESNAKE,2010-07-22,2010-07-29,STOP,-0.0534956709520682,5
AVGO,RATTLESNAKE,2010-08-11,2010-08-23,TIME,0.00840329596982925,8
AIG,RATTLESNAKE,2010-08-13,2010-08-24,STOP,-0.06544879035761719,7
NFLX,RATTLESNAKE,2010-08-24,2010-09-01,PROFIT,0.11238501763365116,6
CRM,RATTLESNAKE,2010-10-11,2010-10-12,PROFIT,0.0556500045369519,1
NFLX,RATTLESNAKE,2010-10-06,2010-10-18,TIME,0.018167317509130143,8
AIG,RATTLESNAKE,2010-11-12,2010-11-24,TIME,-0.0011961118236815116,8
TSLA,RATTLESNAKE,2010-12-02,2010-12-06,STOP,-0.06306023060416333,2
TSLA,RATTLESNAKE,2010-12-06,2010-12-07,PROFIT,0.04124034900508433,1
TSLA,RATTLESNAKE,2010-12-07,2010-12-14,STOP,-0.09600766746864753,5
TSLA,RATTLESNAKE,2010-12-14,2010-12-16,PROFIT,0.07991585403367396,2
CRM,RATTLESNAKE,2010-12-15,2010-12-28,TIME,-0.01768354735608213,8
TSLA,RATTLESNAKE,2010-12-27,2010-12-29,PROFIT,0.08532330650050701,2
AXP,RATTLESNAKE,2010-12-20,2010-12-31,TIME,0.009882355763474626,8
