date,value,cash,positions,drawdown,leverage,regime_score,regime_label,dd_leverage,universe_size
2003-05-23 00:00:00-04:00,284190.84256653197,126138.43047120234,8,-0.2547359368150329,0.25,0.5,MILD,0.25,50
2003-05-27 00:00:00-04:00,290877.572972519,122434.18775036407,8,-0.23720060799590786,0.2819984800102303,0.5,MILD,0.2819984800102303,50
2003-05-28 00:00:00-04:00,292123.3558452062,117197.05823913467,8,-0.23393365823369747,0.2901658544157563,0.5,MILD,0.2901658544157563,50
2003-05-29 00:00:00-04:00,291629.9647544525,117213.33560833454,8,-0.23522753049824185,0.28693117375439536,0.5,MILD,0.28693117375439536,50
2003-05-30 00:00:00-04:00,295219.3294049616,111939.53357391771,8,-0.22581475540833149,0.31046311147917127,0.5,MILD,0.31046311147917127,50
2003-06-02 00:00:00-04:00,293904.37670394924,111314.35911695109,8,-0.22926309661455138,0.30184225846362156,0.5,MILD,0.30184225846362156,50
2003-06-03 00:00:00-04:00,294275.15356116195,111329.81944460623,8,-0.2282907687779266,0.30427307805518355,0.5,MILD,0.30427307805518355,50
2003-06-04 00:00:00-04:00,297891.706966964,111345.2819195291,8,-0.21880669370502032,0.3279832657374492,0.5,MILD,0.3279832657374492,50
2003-06-05 00:00:00-04:00,298581.39011848357,111360.74654201792,8,-0.21699806376054437,0.33250484059863905,0.5,MILD,0.33250484059863905,50
2003-06-06 00:00:00-04:00,292304.4913880027,114533.02773268505,8,-0.23345864711302722,0.29135338221743196,0.5,MILD,0.29135338221743196,50
2003-06-09 00:00:00-04:00,291020.8761160755,116681.49388717982,8,-0.23682480882493667,0.2829379779376583,0.5,MILD,0.2829379779376583,50
2003-06-10 00:00:00-04:00,292556.30815717275,116697.69965021971,8,-0.23279828104748151,0.2930042973812962,0.5,MILD,0.2930042973812962,50
2003-06-11 00:00:00-04:00,296369.04802639864,114180.77872494225,8,-0.2227997252138558,0.3180006869653605,0.5,MILD,0.3180006869653605,50
2003-06-12 00:00:00-04:00,297508.19511434186,109589.45865034318,8,-0.21981241788312386,0.32546895529219033,0.5,MILD,0.32546895529219033,50
2003-06-13 00:00:00-04:00,294397.4974079896,109604.67940848906,8,-0.22796993341402463,0.3050751664649384,0.5,MILD,0.3050751664649384,50
2003-06-16 00:00:00-04:00,301213.8402823829,109619.90228062913,8,-0.21009470794667692,0.3497632301333077,0.5,MILD,0.3497632301333077,50
2003-06-17 00:00:00-04:00,302008.5764265132,109635.127267057,8,-0.20801058629593852,0.35497353426015366,0.5,MILD,0.35497353426015366,50
2003-06-18 00:00:00-04:00,301082.09889683255,104193.45311661849,8,-0.21044018748218268,0.3488995312945433,0.5,MILD,0.3488995312945433,50
2003-06-19 00:00:00-04:00,298221.9877087699,101814.05582138244,8,-0.2179405631660942,0.3301485920847645,0.5,MILD,0.3301485920847645,50
2003-06-20 00:00:00-04:00,297160.3857267041,101828.19666246875,8,-0.22072451566609205,0.32318871083476985,0.5,MILD,0.32318871083476985,50
2003-06-23 00:00:00-04:00,295081.6963140413,106491.27191708956,8,-0.2261756853934134,0.30956078651646646,0.5,MILD,0.30956078651646646,50
2003-06-24 00:00:00-04:00,293864.3569380579,111152.4312660586,8,-0.22936804472993227,0.30157988817516934,0.5,MILD,0.30157988817516934,50
2003-06-25 00:00:00-04:00,293408.2939785043,111167.86910373444,8,-0.2305640274408302,0.29858993139792445,0.5,MILD,0.29858993139792445,50
2003-06-26 00:00:00-04:00,299605.22620623116,111183.3090855544,8,-0.21431314880727123,0.3392171279818219,0.5,MILD,0.3392171279818219,50
2003-06-27 00:00:00-04:00,299650.8507616393,111198.75121181628,8,-0.21419350265246412,0.3395162433688397,0.5,MILD,0.3395162433688397,50
2003-06-30 00:00:00-04:00,300285.97273880057,109951.07685914251,8,-0.21252795431514757,0.34368011421213107,0.5,MILD,0.34368011421213107,50
2003-07-01 00:00:00-04:00,304020.17617993645,102542.20084347394,8,-0.20273535296259454,0.3681616175935136,0.5,MILD,0.3681616175935136,50
2003-07-02 00:00:00-04:00,306854.62542175315,102556.44281581331,8,-0.19530227334690167,0.3867443166327458,0.5,MILD,0.3867443166327458,50
2003-07-03 00:00:00-04:00,305162.08096887177,95117.31242959344,8,-0.19974081381739642,0.3756479654565089,0.5,MILD,0.3756479654565089,50
2003-07-07 00:00:00-04:00,314607.3338410002,86580.99508499933,8,-0.17497151629281493,0.43757120926796267,0.5,MILD,0.43757120926796267,50
2003-07-08 00:00:00-04:00,317274.558655702,86593.02022320559,8,-0.1679769671902447,0.4550575820243882,0.5,MILD,0.4550575820243882,50
2003-07-09 00:00:00-04:00,317278.59239926864,86605.04703156992,8,-0.16796638907276146,0.45508402731809633,0.5,MILD,0.45508402731809633,50
2003-07-10 00:00:00-04:00,311415.35697172745,86617.0755103243,8,-0.18334217887188708,0.4166445528202823,0.5,MILD,0.4166445528202823,50
2003-07-11 00:00:00-04:00,311592.4157707156,86720.67061065498,8,-0.18287785863283615,0.4178053534179096,0.5,MILD,0.4178053534179096,50
2003-07-14 00:00:00-04:00,317269.8022381112,82852.33206727635,8,-0.16798944045316866,0.45502639886707835,0.5,MILD,0.45502639886707835,50
2003-07-15 00:00:00-04:00,315464.18521804403,82863.83933561904,8,-0.1727245032186628,0.44318874195334296,0.5,MILD,0.44318874195334296,50
2003-07-16 00:00:00-04:00,311726.127011799,82944.0880203606,8,-0.18252721333433403,0.4186819666641649,0.5,MILD,0.4186819666641649,50
2003-07-17 00:00:00-04:00,304606.5127490936,88317.4820142238,8,-0.20119773982215114,0.37200565044462214,0.5,MILD,0.37200565044462214,50
2003-07-18 00:00:00-04:00,301510.80917398655,88329.74833117022,8,-0.2093159346378774,0.3517101634053065,0.5,MILD,0.3517101634053065,50
2003-07-21 00:00:00-04:00,300346.29207260226,88342.01635177177,8,-0.21236977247018848,0.3440755688245288,0.5,MILD,0.3440755688245288,50
2003-07-22 00:00:00-04:00,301742.53675685654,88354.28607626508,8,-0.20870825059569614,0.35322937351075967,0.5,MILD,0.35322937351075967,50
2003-07-23 00:00:00-04:00,312092.5326799569,87150.29376525107,8,-0.1815663485346127,0.4210841286634682,0.5,MILD,0.4210841286634682,50
2003-07-24 00:00:00-04:00,312354.8257491967,87497.34974317296,8,-0.18087850934612384,0.42280372663469035,0.5,MILD,0.42280372663469035,50
2003-07-25 00:00:00-04:00,316133.3659919432,87509.50215285951,8,-0.17096963885337413,0.4475759028665647,0.5,MILD,0.4475759028665647,50
2003-07-28 00:00:00-04:00,316571.0099238475,80785.1806524673,8,-0.16982195833005512,0.45044510417486217,0.5,MILD,0.45044510417486217,50
2003-07-29 00:00:00-04:00,313724.6887589881,81451.24723622412,8,-0.17728617096018542,0.4317845725995364,0.5,MILD,0.4317845725995364,50
2003-07-30 00:00:00-04:00,311694.73233061703,81462.55990945137,8,-0.18260954296694562,0.41847614258263593,0.5,MILD,0.41847614258263593,50
2003-07-31 00:00:00-04:00,314555.5459688476,81473.87415388324,8,-0.1751073251727761,0.4372316870680597,0.5,MILD,0.4372316870680597,50
2003-08-01 00:00:00-04:00,309163.2684417193,81485.18996973794,8,-0.18924807166339463,0.4018798208415134,0.5,MILD,0.4018798208415134,50
