date,value,c_alloc,r_alloc,recycled_pct
2004-03-30,160682.03232550982,0.75,0.25000000000000006,0.44434596520030756
2004-03-31,160975.58085627144,0.75,0.24999999999999992,0.4440729760201941
2004-04-01,161963.6504202569,0.75,0.2500000000000001,0.44389913514524926
2004-04-02,163065.6150773075,0.75,0.25,0.4432887452956179
2004-04-05,164735.42051616195,0.75,0.2500000000000001,0.442609936453216
2004-04-06,164328.08963694697,0.75,0.2500000000000001,0.44158341289956077
2004-04-07,164411.12491855866,0.75,0.25,0.441850512838613
2004-04-08,163958.74527869505,0.75,0.24999999999999994,0.4420507487082235
2004-04-12,164661.01099835406,0.75,0.24999999999999994,0.44192033173187156
2004-04-13,162836.94826953002,0.75,0.25,0.4402404961039274
2004-04-14,162771.11799702793,0.75,0.24999999999999992,0.4411303348966845
2004-04-15,161315.81653106533,0.75,0.24999999999999992,0.4411859606460814
2004-04-16,162158.02615687394,0.75,0.25,0.4426320584701469
2004-04-19,162292.5230808286,0.5819300895264,0.4180699104736,0.2743181945242277
2004-04-20,158866.5625382284,0.5896157979671677,0.4103842020328324,0.2816154457256067
2004-04-21,159315.20153491196,0.5864901561780952,0.4135098438219048,0.27734380634561523
2004-04-22,162323.92242732705,0.5846699907682159,0.41533000923178415,0.27487150759692686
2004-04-23,162054.95656985906,0.7238669741707409,0.2761330258292591,0.4117523302000222
2004-04-26,160303.57614565585,0.7297792066423051,0.2702207933576949,0.41823270564000886
2004-04-27,161010.87398725929,0.7273255211750219,0.2726744788249781,0.4153408929864941
2004-04-28,159101.3926132784,0.7311888738840714,0.26881112611592867,0.4184760413081842
2004-04-29,158182.90401414875,0.736285590038125,0.26371440996187495,0.42397240619657145
2004-04-30,157688.46479436447,0.5895963710305713,0.41040362896942867,0.2765519297658648
2004-05-03,159354.29607403156,0.5859805487517243,0.4140194512482757,0.27228292992893194
2004-05-04,159232.95055875945,0.5840136781418643,0.4159863218581355,0.2712524693030045
2004-05-05,160740.60310797463,0.5796736649762738,0.42032633502372624,0.2682612027400464
2004-05-06,158728.50429284628,0.7291780097811001,0.2708219902188999,0.4186127526408558
2004-05-07,157325.20222903258,0.75,0.25000000000000006,0.44041183763529285
2004-05-10,157313.0045738997,0.75,0.24999999999999992,0.4409898890744095
2004-05-11,158236.90292272897,0.7292637374504309,0.2707362625495691,0.41962387669708495
2004-05-12,159250.44159012334,0.75,0.24999999999999992,0.44035877030904785
2004-05-13,158780.1295401994,0.7223464843733586,0.2776535156266413,0.4122062253998343
2004-05-14,158938.2361429417,0.719148692666416,0.28085130733358393,0.40879321706654176
2004-05-17,158250.92604489913,0.75,0.25,0.44051131927043363
2004-05-18,159260.92170946897,0.75,0.25000000000000006,0.4407859068492449
2004-05-19,159062.18015786845,0.75,0.24999999999999994,0.4403309134190069
2004-05-20,160326.2861174312,0.75,0.24999999999999994,0.4402133161952205
2004-05-21,160924.23348768498,0.75,0.25000000000000006,0.43938426607048564
2004-05-24,160793.0211977258,0.75,0.2500000000000001,0.43903835988213075
2004-05-25,162987.60850005585,0.75,0.25,0.4373148964331485
2004-05-26,163006.07226265146,0.75,0.2500000000000001,0.4359120510880495
2004-05-27,163611.25466547656,0.75,0.2500000000000001,0.43591265452816064
2004-05-28,163207.21116158913,0.75,0.2500000000000001,0.43553781251296325
2004-06-01,163944.26890659108,0.75,0.2500000000000001,0.435809821226947
2004-06-02,163876.17565089063,0.75,0.25000000000000006,0.43535138948849067
2004-06-03,162935.30576585117,0.75,0.2500000000000001,0.43540746129623564
2004-06-04,162715.74331358075,0.75,0.25,0.4360255553954057
2004-06-07,164252.3799578948,0.75,0.2500000000000001,0.4361792532464069
2004-06-08,164337.6457895732,0.75,0.25,0.43521295682261935
2004-06-09,162782.93785446903,0.75,0.2500000000000001,0.4351709999542522
2004-06-10,162883.6371612131,0.75,0.25000000000000006,0.4361859025138152
2004-06-14,161870.07575328904,0.75,0.2500000000000001,0.4361336781491299
2004-06-15,163282.29438280393,0.75,0.24999999999999992,0.43680131018449303
2004-06-16,163525.55023469747,0.75,0.25000000000000006,0.43591068573967723
2004-06-17,162436.86503748174,0.75,0.24999999999999992,0.4357673876845911
2004-06-18,161815.88516833133,0.75,0.25000000000000006,0.4364819579528126
2004-06-21,161231.96135269123,0.75,0.25,0.43689549608652933
2004-06-22,162491.5524074054,0.75,0.24999999999999992,0.43728594960099576
2004-06-23,163538.40983493213,0.75,0.2500000000000001,0.43649023746821564
2004-06-24,163697.07299109452,0.75,0.24999999999999992,0.4358336426492607
2004-06-25,165344.01333249093,0.75,0.25000000000000006,0.43574459571901714
2004-06-28,165847.54135301986,0.75,0.24999999999999992,0.434713541811551
2004-06-29,166770.426737185,0.75,0.25000000000000006,0.4344069358651943
2004-06-30,167019.27142410463,0.75,0.25,0.43383724006701097
2004-07-01,166185.97317831498,0.75,0.25,0.4336927488627031
2004-07-02,166341.183209073,0.75,0.25,0.43423404503312624
2004-07-06,165709.29235391924,0.75,0.25000000000000006,0.43414835185104406
2004-07-07,165356.07265348762,0.75,0.24999999999999992,0.4345624071408391
2004-07-08,164225.898644978,0.75,0.24999999999999992,0.4347995549741063
2004-07-09,165108.4869148851,0.7238166653660412,0.27618333463395883,0.409351865878729
2004-07-12,165575.97345497427,0.75,0.2500000000000001,0.43545211131623507
2004-07-13,165519.53186773992,0.75,0.24999999999999994,0.4354595538345956
2004-07-14,165365.29259292324,0.75,0.25,0.4357366501534628
2004-07-15,164747.53324025264,0.75,0.25000000000000006,0.43580241260213554
2004-07-16,162352.5444215061,0.75,0.25,0.4358559833043947
2004-07-19,159442.73641990818,0.75,0.2500000000000001,0.43674109473781975
2004-07-20,160318.00075730888,0.75,0.24999999999999992,0.43819307327755286
2004-07-21,159241.3639136582,0.75,0.25000000000000006,0.4376259891069469
2004-07-22,159240.3253215715,0.75,0.25,0.43834245951700024
2004-07-23,157609.47499555175,0.75,0.25,0.43835550452128164
2004-07-26,157483.85926723908,0.75,0.24999999999999992,0.4394429040962105
2004-07-27,158620.66815044874,0.75,0.25000000000000006,0.4395378087400907
2004-07-28,159172.9866415998,0.75,0.24999999999999994,0.44023715089108284
2004-07-29,158653.65221367968,0.75,0.2500000000000001,0.43987767362585967
2004-07-30,158787.8352634572,0.75,0.2500000000000001,0.44022840357078447
2004-08-02,159404.72330086684,0.75,0.25,0.4401534286077894
2004-08-03,159345.08620892977,0.75,0.2500000000000001,0.43976597978665277
2004-08-04,159034.52731852198,0.75,0.25,0.4398169983854884
2004-08-05,157831.77217468026,0.75,0.24999999999999992,0.4400312372984099
2004-08-06,156783.57182717673,0.75,0.25,0.44083100247139834
2004-08-09,157271.02731593174,0.75,0.2500000000000001,0.4415323518467553
2004-08-10,158458.73034506495,0.75,0.2500000000000001,0.4412333842374389
2004-08-11,158699.92913347413,0.75,0.24999999999999992,0.4409796501957332
2004-08-12,158078.94722825452,0.75,0.2500000000000001,0.44092751647104406
2004-08-13,158021.17441942048,0.75,0.2500000000000001,0.4407891999367092
2004-08-16,158582.35246711865,0.75,0.25,0.4408962724341847
2004-08-17,157921.50510335696,0.75,0.2500000000000001,0.44085561087144254
2004-08-18,158952.8674904327,0.75,0.25,0.44117751493904056
2004-08-19,158768.06967419374,0.75,0.25,0.44092097391535107
2004-08-20,159100.16232413013,0.75,0.2500000000000001,0.4410400483772709
2004-08-23,159094.88576664863,0.75,0.24999999999999992,0.4408373172009915
2004-08-24,159387.43791981187,0.75,0.2500000000000001,0.4408530038755143
2004-08-25,159678.60520738456,0.75,0.2500000000000001,0.4406761049150004
2004-08-26,159394.78443057078,0.75,0.24999999999999992,0.4405003442094227
2004-08-27,159798.8853680404,0.75,0.25,0.44069634774188715
2004-08-30,159574.50988584195,0.75,0.25,0.4404478673210284
2004-08-31,160083.49234860312,0.75,0.25000000000000006,0.4406052540465634
2004-09-01,159552.00179296228,0.75,0.24999999999999994,0.4402895876480831
2004-09-02,160444.0028320607,0.75,0.25000000000000006,0.4406458152553187
2004-09-03,160095.2192145101,0.75,0.24999999999999994,0.4400847300009899
2004-09-07,161186.36028044572,0.75,0.24999999999999992,0.4403221155996021
2004-09-08,161311.0950951535,0.75,0.25,0.4396355394742131
2004-09-09,161234.13588329483,0.75,0.24999999999999992,0.4395678489130471
2004-09-10,161245.58819346328,0.75,0.25000000000000006,0.43962956466981984
2004-09-13,161511.5574860451,0.75,0.24999999999999992,0.43963453216333054
2004-09-14,161661.08927810215,0.75,0.24999999999999994,0.4394764631070791
2004-09-15,161213.36155765198,0.75,0.2500000000000001,0.43939303233386096
2004-09-16,161453.20736234574,0.75,0.25000000000000006,0.4396929352978847
2004-09-17,162274.21090045752,0.75,0.25000000000000006,0.43955157253645105
2004-09-20,161658.452889126,0.75,0.25,0.4390402728774001
2004-09-21,163005.73942378844,0.75,0.25000000000000006,0.43944747536947926
2004-09-22,160974.87125419633,0.75,0.24999999999999992,0.4386040968150023
2004-09-23,160406.95270491496,0.75,0.2500000000000001,0.4399261391914939
2004-09-24,160476.04351228545,0.75,0.24999999999999992,0.44030442464789427
2004-09-27,161698.56816194145,0.75,0.2500000000000001,0.4402722637722127
2004-09-28,162136.4571198512,0.75,0.25000000000000006,0.43950389443807314
2004-09-29,162204.39588843446,0.75,0.2500000000000001,0.4392366590050256
2004-09-30,160389.35403454414,0.75,0.25000000000000006,0.4402306618532203
2004-10-01,162660.81744335755,0.75,0.2500000000000001,0.4413981519665547
2004-10-04,162842.30333443696,0.75,0.25,0.43997374547871637
