date,value,cash,positions,drawdown,leverage,in_protection,risk_on,universe_size,hmm_pb
2006-03-16,125729.30747351077,24590.340614837663,4,-0.12670242810165022,1.0,False,True,40,0.6112984367411977
2006-03-17,124976.55243347291,24595.736828472585,4,-0.13193095565746932,1.0,False,True,40,0.534333522474555
2006-03-20,125823.60212782996,36635.161032954,4,-0.12604747108077188,1.0,False,True,40,0.532790025792275
2006-03-21,125414.21911697861,57727.531121280655,3,-0.12889098622085363,1.0,False,True,40,0.49097424882736956
2006-03-22,125652.46508159422,57740.19910727671,3,-0.12723616423388592,1.0,False,True,40,0.46246463349106604
2006-03-23,125686.08831972218,36286.54169189658,3,-0.1270026220884104,1.0,False,True,40,0.364790052780343
2006-03-24,126571.2644082376,36294.50457187897,3,-0.1208543170962282,1.0,False,True,40,0.40453238749401244
2006-03-27,126450.98100133304,36941.064152682346,3,-0.12168978823100358,1.0,False,True,40,0.47577408430762624
2006-03-28,124125.65273367053,36949.17066398252,3,-0.1378411818147478,1.0,False,True,40,0.40953382685714357
2006-03-29,126909.76539853215,36957.278954211564,3,-0.1185031382116098,1.0,False,True,40,0.4305749962214445
2006-03-30,126581.5098950111,37124.014145378125,3,-0.12078315342801113,1.0,False,True,40,0.4643544756049974
2006-03-31,125913.37574214699,37132.160804037805,3,-0.12542391654938212,1.0,False,True,40,0.4716964185970353
2006-04-03,126871.02920061658,21694.97682084457,4,-0.11877219423573024,1.0,False,True,40,0.5414205239347238
2006-04-04,128043.74202180107,21700.004545631626,4,-0.11062670071592985,1.0,False,True,40,0.6195389937534732
2006-04-05,131833.159696543,21705.033435573947,4,-0.08430595402003284,1.0,False,True,40,0.6546173735917054
2006-04-06,133403.04918522068,33447.480923289826,5,-0.0734017288543944,1.0,False,True,40,0.961699004580304
2006-04-07,131464.05937973032,91913.41027412776,3,-0.08686967139775996,1.0,False,True,40,0.41896679784053903
2006-04-10,132485.60476915195,47700.72550192088,3,-0.07977416497930759,1.0,False,True,40,0.417458649832902
2006-04-11,131769.47204804356,47711.77995576736,2,-0.084748319208485,0.77,False,True,40,0.008384626394755824
2006-04-12,133421.02373188586,47722.83697143965,2,-0.07327688025485858,0.77,False,True,40,0.10238144557822668
2006-04-13,127886.9460925569,34734.21780124369,3,-0.11171578254612545,1.0,False,True,40,0.3165293141897799
2006-04-17,126053.06448004427,71879.57851422718,2,-0.12445365879422081,0.77,False,True,40,0.03458056622954556
2006-04-18,127077.72877580077,28039.47088408864,5,-0.1173364889037908,1.0,False,True,40,0.9999423876896718
2006-04-19,128861.58718059438,28045.968920198287,4,-0.10494606661625112,1.0,False,True,40,0.5785147863557369
2006-04-20,128635.95762104557,69587.67652781944,3,-0.10651325687969848,1.0,False,True,40,0.4910093817863882
2006-04-21,128652.0609178647,93114.10495794039,2,-0.10640140571075232,0.77,False,True,40,0.022244855457188455
2006-04-24,128699.28943385338,55880.6184292429,3,-0.10607336327445745,1.0,False,True,40,0.41734798989509503
2006-04-25,127429.86393109098,32891.13144008733,3,-0.11489060908249477,1.0,False,True,40,0.4930267180316748
2006-04-26,127241.29681300315,32898.753829278205,3,-0.11620036899189905,1.0,False,True,40,0.31974426144410883
2006-04-27,127113.67600863625,11845.298989052597,5,-0.11708680462744736,1.0,False,True,40,0.9995534838633937
2006-04-28,127094.21880846187,11848.044090088155,5,-0.11722195152366172,1.0,False,True,40,0.9997918905746812
2006-05-01,126043.96771354042,55761.111432545586,3,-0.12451684361770846,0.77,False,True,40,0.005764924115541472
2006-05-02,126909.70161236421,30713.129830466016,5,-0.11850358126110004,1.0,False,True,40,0.9209115598062882
2006-05-03,126538.94471592922,30720.381541675986,5,-0.12107880500111358,1.0,False,True,40,0.9451911603823697
2006-05-04,126241.75635686805,26403.266273543988,5,-0.12314303232869393,1.0,False,True,40,0.9657191450186307
2006-05-05,126672.51350657741,26409.500378080797,5,-0.12015105551375527,1.0,False,True,40,0.9993231395284348
2006-05-08,125955.48176814403,26415.735954558953,5,-0.12513145418715008,1.0,False,True,40,0.9990607624436321
2006-05-09,126724.00969370303,25604.55860622905,5,-0.11979337045143752,1.0,False,True,40,0.9989745698594431
2006-05-10,126874.09464887131,25610.604127011076,5,-0.11875090207583987,1.0,False,True,40,0.9986823870053384
2006-05-11,125469.22806052901,42351.8675926609,3,-0.12850890206083881,0.77,False,True,40,0.0007967122962176672
2006-05-12,123369.958550868,69644.15558481237,2,-0.14309012423080458,0.77,False,True,40,0.11305588108302564
2006-05-15,122442.6076946671,69660.59934376989,2,-0.14953136905503725,0.77,False,True,40,0.03515489910993134
2006-05-16,123148.08706269899,46868.3362956071,2,-0.14463121147438376,0.77,False,True,40,7.527541897175127e-08
2006-05-17,121877.24571078084,87160.81098656051,2,-0.15345829156572965,0.3,True,True,40,0.0012011964956827575
2006-05-18,121205.21353468217,87181.39062248789,2,-0.15812612979229573,0.3,True,True,40,0.009866436235403989
2006-05-19,120857.42309124072,87201.97511749598,2,-0.1605418318739354,0.3,True,True,40,0.07062874976436587
2006-05-22,120603.5055865339,87222.56447273206,2,-0.16230550611010883,0.3,True,True,40,0.29506470143984087
2006-05-23,120921.36652651323,87243.15868934368,2,-0.1600976900275796,0.33,True,True,40,0.3908343978696763
2006-05-24,120738.30307797686,82899.81034719099,2,-0.16136922224486974,0.33,True,True,40,0.39557384608823404
2006-05-25,121818.55153459676,82919.38391352296,2,-0.15386597281822473,0.33,True,True,40,0.3818807702949487
2006-05-26,122580.28588627392,82938.96210139143,2,-0.14857507626340688,0.33,True,True,40,0.362640335850113
2006-05-30,121846.44389822173,82958.54491188758,2,-0.15367223649757153,0.33,True,True,40,0.3999999972425279
2006-05-31,122447.54754909595,82978.1323461029,2,-0.14949705754115925,0.33,True,True,40,0.39999844534179946
2006-06-01,122698.2977240808,84233.67367732113,2,-0.1477553831188016,0.33,True,True,40,0.39999582511091003
2006-06-02,121744.91937367398,84253.36162724016,2,-0.15437741115062018,0.33,True,True,40,0.3999998517765968
2006-06-05,120430.69561324656,84273.05417882685,2,-0.16350581917238705,0.33,True,True,40,0.39999811660314416
2006-06-06,120339.1011447802,84292.75133315673,2,-0.16414202109315115,0.33,True,True,40,0.3999996980665695
2006-06-07,119974.09471865778,69658.57920455547,2,-0.16667730289868532,0.33,True,True,40,0.39999990613878683
