date,portfolio_value,cash,positions_value,positions_count
2005-06-13,136626.1509846061,16511.121765578795,120115.0292190273,17
2005-06-14,136974.8074434766,16553.970658477356,120420.83678499925,17
2005-06-15,137300.01162849303,16543.429718880285,120756.58190961275,17
2005-06-16,137597.58506314422,16543.429718880285,121054.15534426394,17
2005-06-17,137473.66472794992,16520.139726001053,120953.52500194887,17
2005-06-20,137291.81613340945,16520.139726001053,120771.67640740839,17
2005-06-21,137540.0222409617,16570.417427216187,120969.6048137455,17
2005-06-22,137474.83790808148,16570.417427216187,120904.4204808653,17
2005-06-23,136912.38700928417,16514.535433321646,120397.85157596253,17
2005-06-24,135690.14644617646,16562.57339448193,119127.57305169452,17
2005-06-27,135232.17668604362,16562.57339448193,118669.6032915617,17
2005-06-28,136099.65922227307,16591.87748712448,119507.7817351486,17
2005-06-29,136038.40172147707,16631.800742898497,119406.60097857857,17
2005-06-30,134908.89393674553,16631.800742898497,118277.09319384705,17
2005-07-01,134619.50649533607,16564.65331199953,118054.85318333656,17
2005-07-05,135469.1924933121,16564.65331199953,118904.53918131256,17
2005-07-06,134772.64429766458,16564.65331199953,118207.99098566503,17
2005-07-07,134710.11322335067,16564.65331199953,118145.45991135115,17
2005-07-08,135718.23814174478,16564.65331199953,119153.58482974525,17
2005-07-11,135994.0709161113,16564.65331199953,119429.41760411175,17
2005-07-12,135963.68075369793,16564.65331199953,119399.02744169839,17
2005-07-13,136484.58504325076,16564.65331199953,119919.93173125124,17
2005-07-14,136888.3459685405,16564.65331199953,120323.69265654097,17
2005-07-15,137362.75254749967,16564.65331199953,120798.09923550015,17
2005-07-18,136571.26347185182,16564.65331199953,120006.61015985231,17
2005-07-19,137153.52250597684,16564.65331199953,120588.86919397733,17
2005-07-20,137365.93098843144,16564.65331199953,120801.27767643191,17
2005-07-21,136584.4272355673,16564.65331199953,120019.77392356776,17
2005-07-22,137401.91471152974,16564.65331199953,120837.2613995302,17
2005-07-25,137188.61125584744,16564.65331199953,120623.9579438479,17
2005-07-26,137485.71950306854,16564.65331199953,120921.06619106901,17
2005-07-27,137420.19037373667,16564.65331199953,120855.53706173712,17
2005-07-28,138026.3598702217,16564.65331199953,121461.70655822218,17
2005-07-29,136822.75613136555,16564.65331199953,120258.10281936602,17
2005-08-01,137036.07621913933,16564.65331199953,120471.42290713979,17
2005-08-02,137138.60525247763,16564.65331199953,120573.9519404781,17
2005-08-03,136930.95557860678,16564.65331199953,120366.30226660725,17
2005-08-04,135955.97897264094,16564.65331199953,119391.3256606414,17
2005-08-05,135407.95633371474,16564.65331199953,118843.30302171521,17
2005-08-08,134737.47044494486,16564.65331199953,118172.81713294535,17
2005-08-09,135516.30686065476,14309.922473906312,121206.38438674845,18
2005-08-10,135014.81492957,14343.481552281728,120671.33337728829,18
2005-08-11,135853.0499396432,14343.481552281728,121509.56838736148,18
2005-08-12,136268.602390449,14365.333956562781,121903.26843388623,18
2005-08-15,136882.68623202253,14365.333956562781,122517.35227545975,18
2005-08-16,135899.77544308596,14332.279368536427,121567.49607454953,18
2005-08-17,136131.65288646094,14282.89970424555,121848.75318221538,18
2005-08-18,136325.125393285,14282.89970424555,122042.22568903945,18
2005-08-19,135807.99850704166,14262.29676560481,121545.70174143686,18
2005-08-22,135818.79740388115,14262.29676560481,121556.50063827635,18
2005-08-23,135628.7396857883,14283.036358671383,121345.70332711693,18
2005-08-24,135055.07142583464,14283.036358671383,120772.03506716325,18
2005-08-25,135045.3371917092,14257.051592310927,120788.28559939827,18
2005-08-26,134295.78016405512,14257.051592310927,120038.72857174418,18
2005-08-29,134909.8878942188,14269.889721304553,120639.99817291425,18
2005-08-30,134714.29072797546,14293.804040677003,120420.48668729844,18
2005-08-31,135890.36950144218,14293.804040677003,121596.56546076517,18
2005-09-01,135837.06705499176,14397.229099931847,121439.83795505992,18
2005-09-02,135660.84059016284,14381.233001470675,121279.60758869216,18
2005-09-06,137798.84518326566,14373.158096976827,123425.68708628883,18
2005-09-07,138173.22018008638,14373.158096976827,123800.06208310956,18
