date,value,cash,positions,shorts,drawdown,leverage,in_protection,risk_on,protection_stage
2019-01-04,725313.6345092993,306174.52652506914,2,0,-0.050117994070390956,1.0,False,False,0
2019-01-07,728695.3810179159,306210.975873465,2,0,-0.0456892062959499,1.0,False,False,0
2019-01-08,727827.1675412221,306247.429561069,2,0,-0.046826232155631975,1.0,False,False,0
2019-01-09,733407.5791755046,309478.689013826,2,0,-0.0395180383689932,1.0,False,False,0
2019-01-10,733756.3622468656,318000.517209725,2,0,-0.0390612666392258,1.0,False,False,0
2019-01-11,736324.0864623152,318038.37441415474,2,0,-0.03569853510847865,1.0,False,False,0
2019-01-14,730734.1165766633,318076.2361253945,2,0,-0.04301924652963007,1.0,False,False,0
2019-01-15,735863.503058131,318114.10234398086,2,0,-0.036301722291303865,1.0,False,False,0
2019-01-16,734714.1014620228,313359.6100072044,2,0,-0.03780699648137008,1.0,False,False,0
2019-01-17,735469.4742163208,315495.7555481647,2,0,-0.03681774858509606,1.0,False,False,0
2019-01-18,710114.3209221538,298790.3702724869,2,0,-0.07002325131635254,1.0,False,False,0
2019-01-22,705657.6247093582,298825.9405546622,2,0,-0.07585980992632978,1.0,False,False,0
2019-01-23,708436.6607736367,298861.5150713949,2,0,-0.07222034111491907,1.0,False,False,0
2019-01-24,709802.5495424911,298897.09382318915,2,0,-0.07043155195957121,1.0,False,False,0
2019-01-25,711858.2884085838,309674.97298245865,2,0,-0.06773932439774863,1.0,False,False,0
2019-01-28,711367.5762520839,303011.16970875487,2,0,-0.06838196866275763,1.0,False,False,0
2019-01-29,711531.6119327887,303047.2424670535,2,0,-0.06816714498646292,1.0,False,False,0
2019-01-30,716288.7056070194,303083.3195197282,2,0,-0.06193718119330979,1.0,False,False,0
2019-01-31,717508.1875440336,303119.40086729004,2,0,-0.06034012869986024,1.0,False,False,0
2019-02-01,730223.8773607209,311696.2411127491,2,0,-0.04368746373510321,1.0,False,False,0
2019-02-04,736501.6012465861,314754.02674115624,2,0,-0.03546605898871086,1.0,False,False,0
2019-02-05,733617.1427154172,314791.4974586254,2,0,-0.03924359070085232,1.0,False,False,0
2019-02-06,739518.6886099312,71209.83632530786,5,0,-0.03151483449711837,1.3203186827959197,False,True,0
2019-02-07,730984.2025746756,71185.59477682732,5,0,-0.04269173002070981,1.2314815202289837,False,True,0
2019-02-08,732459.4227450957,170755.74978864033,5,0,-0.04075975876304207,1.231726825105383,False,True,0
2019-02-11,734113.388693728,548144.8899785393,2,0,-0.03859369925681338,1.0,False,False,0
2019-02-12,735123.6018301051,548210.1453225844,2,0,-0.03727070843636994,1.0,False,False,0
2019-02-13,734112.5902185994,371668.7051188129,2,0,-0.03859474495224877,1.0,False,False,0
2019-02-14,730587.6001892368,88582.13626717149,5,0,-0.04321112666722659,1.2447517091128166,False,True,0
2019-02-15,733874.3317295079,121898.4813654807,5,0,-0.03890677197170655,1.2205378602686452,False,True,0
2019-02-19,735686.7528384714,121873.67606099918,5,0,-0.036533197125376546,1.289378075283601,False,True,0
2019-02-20,734232.7960755865,121830.68135140458,5,0,-0.03843732149413801,1.490080926406086,False,True,0
2019-02-21,733829.603872287,222546.19689291812,5,0,-0.038965348268520106,1.4530848556063196,False,True,0
2019-02-22,739211.5599270627,120392.67037659968,5,0,-0.03191705499247548,1.446872952386969,False,True,0
2019-02-25,741161.4737502314,119521.8651399125,5,0,-0.02936341755121263,1.4754759008471914,False,True,0
2019-02-26,738971.9675728065,119471.91163300708,5,0,-0.03223082886247895,1.5741617602477673,False,True,0
2019-02-27,736782.5308428898,119421.58771878776,5,0,-0.03509814922420944,1.5820343864005082,False,True,0
2019-02-28,739074.6338453724,159505.61339644142,5,0,-0.03209637551666238,1.8083588750848552,False,True,0
2019-03-01,731468.6079680247,80923.50742506748,5,0,-0.042057345190719846,1.8593684434459452,False,True,0
2019-03-04,735198.522618142,80854.87409207033,5,0,-0.037172591008211485,1.8085357154852042,False,True,0
2019-03-05,735683.6732688075,80784.06766036035,5,0,-0.03653723017765991,1.848872155135869,False,True,0
2019-03-06,727787.1703622639,80717.85659341853,5,0,-0.04687861308268568,1.777924215417527,False,True,0
2019-03-07,721338.0427643713,110915.1581206741,5,0,-0.05532449079367987,1.662937289658657,False,True,0
2019-03-08,719733.7191877567,92633.37220772238,5,0,-0.05742553787815366,1.8109446772446935,False,True,0
2019-03-11,728742.3499704003,92582.00693655094,5,0,-0.04562769502595632,1.5614032106005735,False,True,0
2019-03-12,728299.4102004151,110386.02825499242,5,0,-0.046207775831281675,1.5570052364929352,False,True,0
2019-03-13,729734.7140694903,110328.45367765152,5,0,-0.044328079582088585,1.6862192852733289,False,True,0
