date,portfolio_value,cash,positions,drawdown,leverage,in_protection,risk_on,universe_size
2015-02-11,190624.79928567196,37165.64065229614,5,-0.0730845601817826,0.9842317880504126,False,True,40
2015-02-12,192118.86531143796,37866.81956309993,5,-0.06581964568702707,0.9827543297235972,False,True,40
2015-02-13,192516.97630847536,36196.888969622814,5,-0.0638838260491929,1.021033313027923,False,True,40
2015-02-17,194238.49181355757,36194.602732381274,5,-0.05551293565336447,1.0589253901141813,False,True,40
2015-02-18,194571.1375668364,37513.9906639242,5,-0.053895441571484605,1.0575949310503268,False,True,40
2015-02-19,195580.13735508575,37511.70000608291,5,-0.048989167644868964,1.0588555151227048,False,True,40
2015-02-20,197322.81939583516,37784.79061573557,5,-0.040515354708054716,1.1191899279058142,False,True,40
2015-02-23,196694.9709624366,37542.40788210551,5,-0.04356827546633793,1.1382573588655986,False,True,40
2015-02-24,195921.25917207767,37537.05607549557,5,-0.04733045859854596,1.137804030118799,False,True,40
2015-02-25,196972.79882482803,37704.47777115289,5,-0.04221733405563315,1.246938298193118,False,True,40
2015-02-26,197623.63467538328,37691.43057539392,5,-0.03905263669764242,1.3959523400426284,False,True,40
2015-02-27,196155.95654725927,37567.74046956914,5,-0.04618923971435127,1.4057385793916397,False,True,40
2015-03-02,198664.7235400288,37819.88894683412,5,-0.03399032924090598,1.625433419141508,False,True,40
2015-03-03,197579.03037934555,37800.96400500485,5,-0.03926952563777255,1.6911053569046168,False,True,40
2015-03-04,196919.91134008655,37791.19913793473,5,-0.042474500103092526,1.9033767438541707,False,True,40
2015-03-05,198273.30385763483,37768.35763592546,5,-0.03589361227868107,1.9615471493808085,False,True,40
2015-03-06,195625.02434354436,37904.14873281576,5,-0.04877090410935243,1.7060972732895832,False,True,40
2015-03-09,196172.97338774754,37337.954155863015,5,-0.046106495117401614,1.7026953370056896,False,True,40
2015-03-10,192718.2971729986,37324.60838085868,5,-0.06290490086011251,1.4230955216761159,False,True,40
2015-03-11,190975.95740970215,36700.09341017844,5,-0.07137704946858626,1.5307627818550333,False,True,40
2015-03-12,192431.30831741495,36687.77416239276,5,-0.06430038771330833,1.379756841094229,False,True,40
2015-03-13,191322.6082002547,36828.45499816699,5,-0.06969145572006867,1.4332580281717933,False,True,40
2015-03-16,193411.3289799739,36861.91470145775,5,-0.05953502514311382,1.304752535744713,False,True,40
2015-03-17,193002.6597943517,36851.52596647899,5,-0.06152218410328402,1.3028255522755228,False,True,40
2015-03-18,194064.21270592342,36989.595530711056,5,-0.05636036996573717,1.2153421957116621,False,True,40
2015-03-19,193895.47607726144,36982.04470656938,5,-0.057180853905684954,1.2046991726915874,False,True,40
2015-03-20,199115.29013453078,37205.636348082386,5,-0.03179944361282812,1.1836239034090847,False,True,40
2015-03-23,196889.5074900608,38494.8590728189,5,-0.04262233919918285,1.1817626586468788,False,True,40
2015-03-24,195465.8607827761,38488.3188543042,5,-0.049544838888486084,1.172462120444631,False,True,40
2015-03-25,191818.00599136754,36610.7307437292,5,-0.06728257784502276,1.0907327436535945,False,True,40
2015-03-26,191164.6435861457,36607.25626405147,5,-0.07045956060627041,1.0901790866507093,False,True,40
2015-03-27,192026.69740693504,36584.295933631394,5,-0.06626781326049906,1.0879822739231182,False,True,40
2015-03-30,193836.04057460173,41644.826707498556,5,-0.057469859771107926,1.0457418819056226,False,True,40
2015-03-31,191587.99092823593,41643.89590353688,5,-0.06840102892907053,1.0284367459170616,False,True,40
2015-04-01,190467.54356660668,38469.90307516554,5,-0.0738492180570829,1.029761627534507,False,True,40
2015-04-02,191114.11267709453,38469.1076845978,5,-0.07070526777534343,1.0247890212546302,False,True,40
2015-04-06,191834.77513682604,37865.61864309338,5,-0.0672010376682132,1.0741098268570413,False,True,40
