date,portfolio_value,cash,positions_count,closed_count
2011-06-03,256374.8871990829,2.035750518262802e-48,547,13818
2011-06-06,253646.21607034712,4.1532609260926036e-48,545,13825
2011-06-07,253143.11301104113,2.9308431842914595e-48,545,13830
2011-06-08,252046.7298088386,3.0611063087288054e-48,546,13834
2011-06-09,253150.03781744355,2.937803380950102e-48,546,13839
2011-06-10,250065.21461113522,3.6021654889284993e-48,545,13845
2011-06-13,250789.69171419347,3.908727733320914e-48,544,13851
2011-06-14,253572.27061082865,3.785825938067876e-48,544,13856
2011-06-15,249222.80642234805,3.0898705826780514e-48,545,13860
2011-06-16,249257.51901867983,4.0404083395643106e-48,544,13866
2011-06-17,249675.91294525936,2.1368157309389802e-48,546,13869
2011-06-20,250439.26864488475,3.9485470382695117e-48,545,13875
2011-06-21,254829.76040497646,2.1506752897704835e-48,546,13879
2011-06-22,251283.53053095788,3.955683081651899e-48,545,13885
2011-06-23,252524.10495084344,2.9111737726688443e-48,545,13890
2011-06-24,250628.3271137163,3.5267703180107255e-48,545,13895
2011-06-27,254629.69249986517,2.52106246842275e-48,546,13899
2011-06-28,256283.69898518248,3.3371259338421237e-48,546,13904
2011-06-29,257817.07235240992,3.426134022535169e-48,545,13910
2011-06-30,259327.3818287527,3.406018376096361e-48,545,13915
2011-07-01,263204.86157550506,4.0965853583920813e-48,544,13921
2011-07-05,263915.53410943865,2.5773762119661326e-48,546,13924
2011-07-06,264181.01397055486,1.6007019617659903e-48,548,13927
2011-07-07,267195.5250388095,1.7025208291540793e-48,549,13931
2011-07-08,266285.1760818975,1.3332546267218928e-48,550,13935
2011-07-11,261692.21590093736,1.826251874290607e-48,549,13941
2011-07-12,260824.58390169524,8.462208773131928e-49,551,13944
2011-07-13,262021.540867557,2.2440169759688342e-48,548,13952
2011-07-14,259942.65708558497,8.552535847957979e-49,550,13955
2011-07-15,260798.27251103517,2.2254281192547673e-48,548,13962
2011-07-18,260112.2884299931,2.098835106868239e-48,547,13968
2011-07-19,264768.2805559009,1.7356758757360563e-48,548,13972
2011-07-20,265092.3094435787,2.221045788977285e-48,547,13978
2011-07-21,267286.2665916071,1.3163481941989462e-48,549,13981
2011-07-22,268622.0211379062,2.424142298737322e-48,547,13988
2011-07-25,267585.4903382224,3.723272160348768e-49,551,13989
2011-07-26,267641.67897147796,2.5262273694465232e-48,548,13997
2011-07-27,265177.65485708846,1.2153397089970159e-48,549,14001
