symbol,strategy,entry_date,exit_date,exit_reason,pnl,return
SLB,COMPASS,2007-05-25,2007-06-04,hold_expired,249.32319430318546,0.012614870662717265
CVX,COMPASS,2007-05-25,2007-06-04,hold_expired,617.45410468569,0.02465235524108783
HAL,COMPASS,2007-05-25,2007-06-04,hold_expired,204.42672272024245,0.011402911013258103
RIG,COMPASS,2007-06-05,2007-06-07,regime_reduce,-546.818306628925,-0.03756248284122462
VLO,COMPASS,2007-06-01,2007-06-08,hold_expired,-1085.5137886251716,-0.03228810052109303
AAPL,COMPASS,2007-06-05,2007-06-12,hold_expired,-280.15604906340207,-0.018667950319471015
SLB,COMPASS,2007-06-05,2007-06-12,hold_expired,-80.90068219115533,-0.005807861521120807
QCOM,COMPASS,2007-06-05,2007-06-12,hold_expired,-226.98352544930313,-0.016003891837602962
AAPL,COMPASS,2007-06-12,2007-06-19,hold_expired,483.0846545598381,0.02724721453609577
VLO,COMPASS,2007-06-08,2007-06-20,trailing_stop,678.040123356481,0.020291419919059552
RIG,COMPASS,2007-06-12,2007-06-26,trailing_stop,1220.0492711333247,0.06288867936471976
HAL,COMPASS,2007-06-12,2007-06-26,hold_expired,-147.86111743048707,-0.007208750448911549
AAPL,COMPASS,2007-06-20,2007-06-27,hold_expired,86.57970025216794,0.0027974555873730425
VLO,COMPASS,2007-06-20,2007-06-27,hold_expired,-358.1690426580521,-0.010410907582536679
VLO,COMPASS,2007-06-27,2007-07-05,hold_expired,232.64166244692558,0.00998083568410611
RIG,COMPASS,2007-06-27,2007-07-05,hold_expired,191.32561892910957,0.01023822799630934
SLB,COMPASS,2007-06-27,2007-07-05,hold_expired,193.4424628344334,0.011613269379346296
SLB,COMPASS,2007-07-05,2007-07-10,regime_reduce,-133.9277034257446,-0.008069872489215993
AAPL,COMPASS,2007-06-27,2007-07-12,hold_expired,1744.7640118778595,0.09992597138082306
RIG,COMPASS,2007-07-05,2007-07-12,hold_expired,277.27076527661217,0.016491681882925765
VLO,COMPASS,2007-07-05,2007-07-12,hold_expired,736.7691111025978,0.029780794283157812
CVX,COMPASS,2007-07-05,2007-07-12,hold_expired,1908.0408836000822,0.07774087023695692
RIG,COMPASS,2007-07-13,2007-07-20,hold_expired,71.49879232853662,0.009454636340839779
SLB,COMPASS,2007-07-13,2007-07-20,hold_expired,735.407384322919,0.07853727213617438
CVX,COMPASS,2007-07-13,2007-07-20,hold_expired,-131.24137535228002,-0.012964191907991092
VLO,COMPASS,2007-07-13,2007-07-20,hold_expired,-660.6336354062607,-0.05333286012462016
COP,COMPASS,2007-07-20,2007-07-26,regime_reduce,-1155.8261692589856,-0.052027875358528215
AAPL,COMPASS,2007-07-13,2007-07-27,hold_expired,291.8626140038089,0.04443460760123764
CVX,COMPASS,2007-07-20,2007-07-27,position_stop,-2494.143967255648,-0.0751194527736003
NVDA,COMPASS,2007-07-20,2007-07-27,hold_expired,-422.15493133783013,-0.01884719967127048
SLB,COMPASS,2007-07-27,2007-08-03,hold_expired,-605.1735185910479,-0.05676124672860789
NVDA,COMPASS,2007-07-27,2007-08-03,hold_expired,-415.66712003204975,-0.038644675470479305
CVX,COMPASS,2007-07-27,2007-08-03,hold_expired,-454.64222381844536,-0.049061429437936975
AAPL,COMPASS,2007-08-03,2007-08-09,regime_reduce,-405.2721023368254,-0.041410462403633726
RIG,COMPASS,2007-08-03,2007-08-10,hold_expired,105.35964588776952,0.007095578834442782
NVDA,COMPASS,2007-08-07,2007-08-10,trailing_stop,194.48882217889096,0.00940844876282233
NVDA,COMPASS,2007-08-10,2007-08-17,hold_expired,735.0065155295578,0.024777699352339876
AAPL,COMPASS,2007-08-10,2007-08-17,hold_expired,-551.8632967803956,-0.02352003848944217
IBM,COMPASS,2007-08-17,2007-08-24,hold_expired,426.20464638240577,0.02110002495351254
NVDA,COMPASS,2007-08-17,2007-08-28,trailing_stop,247.71723806820265,0.02772937256548029
AMZN,COMPASS,2007-08-22,2007-08-29,hold_expired,232.54367566273154,0.0070064083877661686
IBM,COMPASS,2007-08-24,2007-08-31,hold_expired,1075.319568275318,0.030466544064767866
AAPL,COMPASS,2007-08-30,2007-09-06,trailing_stop,-335.36471885046956,-0.009101165315916843
CSCO,COMPASS,2007-09-04,2007-09-11,hold_expired,-187.66306512870236,-0.004950622375682193
NVDA,COMPASS,2007-08-28,2007-09-12,hold_expired,2571.2856316457683,0.07554461752545881
AAPL,COMPASS,2007-09-07,2007-09-14,hold_expired,1918.2048658394003,0.05342644653940503
NVDA,COMPASS,2007-09-12,2007-09-19,hold_expired,902.1092750633932,0.03431644110743014
CSCO,COMPASS,2007-09-17,2007-09-24,hold_expired,437.2484725219102,0.012063712317041479
SLB,COMPASS,2007-09-12,2007-09-26,trailing_stop,1163.263311660736,0.031857566129936586
CSCO,COMPASS,2007-09-25,2007-10-02,hold_expired,665.5317959627336,0.017570668863973318
NVDA,COMPASS,2007-09-20,2007-10-04,hold_expired,1347.5632869277226,0.05327878773760929
SLB,COMPASS,2007-09-27,2007-10-04,hold_expired,422.48238988379836,0.011044288531211638
CSCO,COMPASS,2007-10-03,2007-10-10,hold_expired,664.0380297040856,0.02527021242733715
EBAY,COMPASS,2007-10-03,2007-10-10,hold_expired,22.80045505781355,0.0012711702016367514
NVDA,COMPASS,2007-10-05,2007-10-12,hold_expired,-318.1828357462555,-0.021662916088494584
EBAY,COMPASS,2007-10-10,2007-10-17,hold_expired,523.9929414263248,0.030980123903944057
PG,COMPASS,2007-10-10,2007-10-17,hold_expired,-249.51096693268002,-0.006434517584247328
CSCO,COMPASS,2007-10-10,2007-10-17,hold_expired,-557.7375110561638,-0.024346656554344284
SLB,COMPASS,2007-10-05,2007-10-19,trailing_stop,-1403.105600415231,-0.053463771307387546
CSCO,COMPASS,2007-10-18,2007-10-19,regime_reduce,-493.33678212677074,-0.036107660186565506
PG,COMPASS,2007-10-18,2007-10-25,hold_expired,182.31277015843523,0.00634654344888763
SLB,COMPASS,2007-10-23,2007-10-30,hold_expired,-1501.0753378040588,-0.03933137763896282
GOOGL,COMPASS,2007-10-18,2007-11-01,hold_expired,979.8846640428735,0.09941832767284965
GOOG,COMPASS,2007-10-18,2007-11-01,hold_expired,979.883474542977,0.0994184961235588
NVDA,COMPASS,2007-10-25,2007-11-01,hold_expired,692.6620916105659,0.019596403610178968
PG,COMPASS,2007-10-31,2007-11-07,hold_expired,-56.090482217127374,-0.001438339681389006
AAPL,COMPASS,2007-11-02,2007-11-08,position_stop,-1463.756505859512,-0.0660028846656396
GOOG,COMPASS,2007-11-02,2007-11-09,position_stop,-2079.5813865697987,-0.06647428628084572
GOOGL,COMPASS,2007-11-08,2007-11-12,position_stop,-3326.992730325777,-0.08902622927050896
GOOG,COMPASS,2007-11-09,2007-11-16,hold_expired,-1691.4898099443405,-0.045694992624695174
GOOGL,COMPASS,2007-11-12,2007-11-19,hold_expired,-271.9973954161758,-0.009840694146392846
NEM,COMPASS,2007-11-16,2007-11-26,hold_expired,386.4651473193171,0.015094025271957448
PG,COMPASS,2007-11-19,2007-11-27,hold_expired,107.68885486749994,0.004256948930440141
JNJ,COMPASS,2007-11-26,2007-12-03,hold_expired,127.97798715631833,0.005046515114942373
PG,COMPASS,2007-11-27,2007-12-04,hold_expired,55.62670681014047,0.002188074881569377
JNJ,COMPASS,2007-12-03,2007-12-10,hold_expired,41.760945762220224,0.0011815664834499736
PG,COMPASS,2007-12-04,2007-12-11,hold_expired,270.31481887184026,0.007504287598189389
GOOG,COMPASS,2007-12-06,2007-12-13,hold_expired,-1079.319183109824,-0.029653578112202372
JNJ,COMPASS,2007-12-11,2007-12-18,hold_expired,62.63270148167965,0.002369311589687708
PG,COMPASS,2007-12-11,2007-12-18,hold_expired,-298.4883221853475,-0.01354294543416411
GOOG,COMPASS,2007-12-13,2007-12-20,hold_expired,-228.05773724892722,-0.006281950990999724
JNJ,COMPASS,2007-12-20,2007-12-28,hold_expired,25.93589049759016,0.0007426955749668462
GOOGL,COMPASS,2007-12-18,2008-01-02,trailing_stop,448.2975352349646,0.0175837620834192
AAPL,COMPASS,2007-12-18,2008-01-03,hold_expired,1577.5202188516423,0.06530761375829292
JNJ,COMPASS,2007-12-28,2008-01-07,hold_expired,-285.841951585507,-0.007717410631792176
GOOG,COMPASS,2008-01-02,2008-01-08,position_stop,-2835.5989739819233,-0.07809496849205874
AAPL,COMPASS,2008-01-07,2008-01-14,hold_expired,109.70960839864327,0.006417100035180723
GOOGL,COMPASS,2008-01-07,2008-01-14,hold_expired,196.2038916972383,0.007039101599056028
GOOG,COMPASS,2008-01-08,2008-01-15,hold_expired,324.26105724289096,0.00945087308496045
PG,COMPASS,2008-01-14,2008-01-22,position_stop,-2429.9095504018974,-0.06873402153947672
JNJ,COMPASS,2008-01-15,2008-01-23,hold_expired,-1834.9482534463757,-0.052538680498060375
GOOG,COMPASS,2008-01-22,2008-01-23,position_stop,-2083.49588860858,-0.061144844788006636
JNJ,COMPASS,2008-01-23,2008-01-30,hold_expired,-758.7439728390768,-0.03146468033600544
GOOG,COMPASS,2008-01-23,2008-01-30,hold_expired,-7.200223055232605,-0.0006379129109649509
MSFT,COMPASS,2008-01-30,2008-02-04,position_stop,-892.3783055970528,-0.06242226157670601
WMT,COMPASS,2008-01-30,2008-02-06,hold_expired,-105.49948874263151,-0.006712868850840495
MSFT,COMPASS,2008-02-04,2008-02-07,position_stop,-1928.8241088741026,-0.06856555819538271
WMT,COMPASS,2008-02-06,2008-02-13,hold_expired,1219.7165437392634,0.037477621854645635
MA,COMPASS,2008-02-07,2008-02-14,hold_expired,218.97751318735314,0.006720296891979688
WMT,COMPASS,2008-02-13,2008-02-21,hold_expired,-573.7977745176831,-0.01717375993470093
MA,COMPASS,2008-02-14,2008-02-22,hold_expired,201.72680081771958,0.006180702888759848
QCOM,COMPASS,2008-02-15,2008-02-25,hold_expired,1186.8832104611952,0.03601903135837732
MA,COMPASS,2008-02-22,2008-02-28,regime_reduce,-587.8639368386326,-0.04314843965931114
WMT,COMPASS,2008-02-22,2008-02-29,hold_expired,-204.15087076182127,-0.007604816522158328
QCOM,COMPASS,2008-02-25,2008-03-03,hold_expired,-1061.2498820357148,-0.05644177344248022
MSFT,COMPASS,2008-02-25,2008-03-03,hold_expired,-725.1164929486696,-0.030531912193932448
MA,COMPASS,2008-02-29,2008-03-06,regime_reduce,-3.59664594676822,-5.2119034597142954e-05
WMT,COMPASS,2008-03-03,2008-03-10,hold_expired,-679.6854319709046,-0.020845802327493838
RIG,COMPASS,2008-03-04,2008-03-11,hold_expired,663.8099828700451,0.020314317706393994
WMT,COMPASS,2008-03-10,2008-03-17,hold_expired,871.8742991509276,0.027383796390494538
MA,COMPASS,2008-03-11,2008-03-17,trailing_stop,950.6850296804803,0.029003198599034104
IBM,COMPASS,2008-03-17,2008-03-25,hold_expired,417.5169642092938,0.020942943686281478
WMT,COMPASS,2008-03-17,2008-03-28,trailing_stop,1095.7743497920983,0.04344343013897368
IBM,COMPASS,2008-03-25,2008-04-01,hold_expired,-424.82609910561587,-0.012545346327679922
IBM,COMPASS,2008-04-01,2008-04-08,hold_expired,-65.06383623323671,-0.001888225935159132
WMT,COMPASS,2008-03-28,2008-04-11,hold_expired,1714.5163709062417,0.0514199627815662
MA,COMPASS,2008-04-07,2008-04-14,hold_expired,126.78635835311975,0.0037570756027146546
HAL,COMPASS,2008-04-09,2008-04-16,hold_expired,2308.2146611834128,0.06736238119377962
WMT,COMPASS,2008-04-14,2008-04-21,hold_expired,773.521754489253,0.022302646659892067
MA,COMPASS,2008-04-15,2008-04-22,hold_expired,1286.431283100729,0.044240449223123875
HAL,COMPASS,2008-04-17,2008-04-24,trailing_stop,1361.0702542946667,0.03831686967873047
WMT,COMPASS,2008-04-22,2008-04-29,hold_expired,1318.1459645807518,0.036427917992703424
CMCSA,COMPASS,2008-04-22,2008-04-29,hold_expired,339.79285707869514,0.01757901013356859
HAL,COMPASS,2008-04-25,2008-05-02,hold_expired,-722.3031811003764,-0.035812871124738806
