symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl_pct,pnl_dollar,hold_days,exit_reason
BIIB,2006-10-02,2006-10-03,44.2400016784668,44.880001068115234,854,0.01446653176688173,529.6297822906494,1,mean_reverted_sma
AMD,2006-09-27,2006-10-04,25.31999969482422,25.030000686645508,1520,-0.011453357491074234,-459.1448925476074,5,mean_reverted_sma
QCOM,2006-09-28,2006-10-04,23.60452651977539,22.83939552307129,1627,-0.03241458777252282,-1263.2349838703155,4,mean_reverted_ibs
AMGN,2006-10-02,2006-10-04,47.87961959838867,49.69810104370117,789,0.03798028181021085,1417.8060960342407,2,mean_reverted_sma
COP,2006-10-03,2006-10-04,22.253252029418945,22.55113410949707,1711,0.013386002175516776,490.9221780769348,1,mean_reverted_ibs
VLO,2006-10-03,2006-10-04,24.66673469543457,25.655038833618164,1543,0.040066273480717784,1506.3379859062195,1,mean_reverted_ibs
MRK,2006-10-05,2006-10-06,20.151126861572266,20.36518669128418,1935,0.010622722549582075,394.65595714759826,1,mean_reverted_sma
AMD,2006-10-09,2006-10-11,23.0,24.270000457763672,1699,0.05521741120711621,2138.2704315849305,2,mean_reverted_sma
PG,2006-10-12,2006-10-13,35.94438552856445,35.783119201660156,1099,-0.004486551224422541,-195.19539880752563,1,mean_reverted_ibs
JNJ,2006-10-13,2006-10-16,36.79889678955078,36.99832534790039,1073,0.005419416769206986,196.00395923843382,1,mean_reverted_sma
UNH,2006-10-16,2006-10-18,36.98058319091797,37.33840560913086,1069,0.00967595390168885,364.48476526412963,2,mean_reverted_ibs
GOOGL,2006-10-16,2006-10-19,10.475157737731934,10.582206726074219,3775,0.01021931993985059,380.66162082195285,3,mean_reverted_sma
CSCO,2006-10-18,2006-10-19,15.645705223083496,15.632765769958496,2536,-0.0008270290754237575,-53.7508936126709,1,mean_reverted_ibs
HD,2006-10-17,2006-10-20,21.942459106445312,22.083585739135742,1795,0.0064316689394661175,233.9269555797577,3,mean_reverted_sma
INTC,2006-10-17,2006-10-20,12.433530807495117,12.68934440612793,3168,0.02057449348809315,788.1636267333985,3,mean_reverted_sma
GS,2006-10-19,2006-10-20,132.21226501464844,132.4693603515625,299,0.0019445649530742681,60.445544540405265,1,mean_reverted_ibs
CAT,2006-10-20,2006-10-23,36.18588638305664,37.056793212890625,1086,0.02406758316252744,927.7245071914673,1,mean_reverted_ibs
TXN,2006-10-20,2006-10-23,19.533308029174805,19.85088348388672,2013,0.016258150142187233,619.3973148319244,1,mean_reverted_sma
BA,2006-10-20,2006-10-23,58.830440521240234,59.593353271484375,668,0.012967993159403557,492.4682983123779,1,mean_reverted_sma
AMD,2006-10-19,2006-10-25,21.010000228881836,20.829999923706055,1883,-0.008567363313415899,-358.4635187034607,4,mean_reverted_sma
