date,value,cash,positions,drawdown,leverage,in_protection,risk_on,regime_score,universe_size,overlay_scalar,damped_scalar,bso_scalar,m2_scalar,fomc_scalar,fed_emergency,cash_rate_daily,v_recovery_boost
2004-08-04,90470.28936944579,16027.651331631958,4,-0.1572083600414725,0.77116655983411,True,True,0.638568527556721,40,0.7662208276637081,0.941555206915927,1.0,0.7662208276637081,1.0,0,5.793650793650794e-05,0.0
2004-08-05,89590.61758064688,32715.986498734695,3,-0.16540309485081497,0.7383876205967401,True,False,0.42290551510154173,40,0.7662208276637081,0.941555206915927,1.0,0.7662208276637081,1.0,0,5.7539682539682534e-05,0.0
2004-08-06,88766.81840485867,36690.01097898019,3,-0.1730773386627676,0.7076906453489297,True,False,0.3554175089057156,40,0.7662208276637081,0.941555206915927,1.0,0.7662208276637081,1.0,0,5.595238095238095e-05,0.0
2004-08-09,89078.93447331074,32538.958828247072,3,-0.170169767403501,0.719320930385996,True,False,0.3553925148524325,40,0.7662208276637081,0.941555206915927,1.0,0.7662208276637081,1.0,0,5.9126984126984124e-05,0.0
2004-08-10,89843.31438856208,42969.19967550819,2,-0.16304905399785113,0.7478037840085955,True,False,0.34281744365303995,40,0.7662208276637081,0.941555206915927,1.0,0.7662208276637081,1.0,0,5.873015873015873e-05,0.0
2004-08-11,89967.81708152064,42971.62095580737,2,-0.16188922761165153,0.7524430895533939,True,False,0.34691124097210996,40,0.7662208276637081,0.941555206915927,1.0,0.7662208276637081,1.0,0,5.634920634920634e-05,0.0
2004-08-12,89611.9850350621,42974.02532031323,2,-0.1652040426307563,0.7391838294769748,True,False,0.3244390920116956,40,0.7662208276637081,0.941555206915927,1.0,0.7662208276637081,1.0,0,5.595238095238095e-05,0.0
2004-08-13,89550.50056539352,40395.449973846284,2,-0.1657768118501887,0.7368927525992452,True,False,0.3323062703632589,40,0.7662208276637081,0.941555206915927,1.0,0.7662208276637081,1.0,0,5.595238095238095e-05,0.0
2004-08-16,89872.22390684238,37702.97446204744,2,-0.16277974237641518,0.7488810304943393,True,False,0.3105879050880285,40,0.7662208276637081,0.941555206915927,1.0,0.7662208276637081,1.0,0,5.833333333333333e-05,0.0
2004-08-17,89397.55552935619,37705.15884072659,2,-0.1672015978063719,0.7311936087745124,True,False,0.3031956999407599,40,0.5746656207477812,0.8936664051869453,1.0,0.7662208276637081,0.75,0,5.793650793650794e-05,0.0
2004-08-18,90049.9796940016,37707.34334596101,2,-0.16112382757370838,0.7555046897051665,True,False,0.32360751249183906,40,0.5883481355274901,0.8970870338818725,1.0,0.7662208276637081,0.7678571428571428,0,5.793650793650794e-05,0.0
2004-08-19,89904.53899654342,22625.22164379609,3,-0.16247870556494523,0.7500851777402191,True,False,0.3614528615716273,40,0.6020306503071993,0.9005076625767998,1.0,0.7662208276637081,0.7857142857142857,0,5.7539682539682534e-05,0.0
2004-08-20,90145.45482150234,29851.66845306758,3,-0.16023441249785944,0.7590623500085623,True,False,0.4937422020924518,40,0.5746656207477812,0.8936664051869453,1.0,0.7662208276637081,0.75,0,5.793650793650794e-05,0.0
2004-08-23,90144.61728358772,33119.83441472812,3,-0.16024221472727096,0.7590311410909162,True,False,0.4618232046534487,40,0.6157131650869083,0.903928291271727,1.0,0.7662208276637081,0.8035714285714286,0,6.0317460317460316e-05,0.0
