date,ief_blend,tlt_blend,edv_blend,zroz_blend
2014-05-23,171298.6802182748,174621.09377581626,177379.4769060545,175880.12835896644
2014-05-27,171446.0669884611,174795.64016638725,177570.8471430601,176067.19553947818
2014-05-28,172235.0179677123,175629.9327157973,178445.53637887005,176965.20173681958
2014-05-29,172075.74077007384,175449.65521863266,178255.64501524568,176770.18638385573
2014-05-30,172109.80093019924,175485.83459820368,178279.25594928904,176798.0816099517
2014-06-02,172624.53605270732,175998.13177311336,178789.4965616614,177294.92170637765
2014-06-03,172618.01498877085,175959.4832855464,178725.54094179932,177224.26527095752
2014-06-04,173226.93861685324,176582.43148693992,179356.87817165835,177853.33628610912
2014-06-05,172921.64923748907,176266.76209057798,179037.72548917067,177540.22557510156
2014-06-06,173743.06060793626,177107.491214737,179898.62178219677,178384.76266881326
2014-06-09,173167.85781290417,176521.2586284327,179294.7806300501,177793.86011755813
2014-06-10,173475.74145893057,176826.6098506323,179598.32163210225,178090.0138590447
2014-06-11,173590.65285363904,176945.66461877926,179730.0266412425,178208.3205894151
2014-06-12,172632.2590854043,175990.87702094374,178773.13157383472,177280.83372723093
2014-06-13,172997.0405089802,176368.947159997,179163.43597777063,177662.2515644308
2014-06-16,172957.2308180672,176339.36574427606,179137.70524926804,177641.14773830725
2014-06-17,173710.5516097464,177090.95941697736,179892.92330566965,178377.0554405647
2014-06-18,174776.81451320642,178188.75731816288,181007.7767652108,179451.17341824557
2014-06-19,175185.2039475847,178568.4666430708,181380.10412480053,179845.1412671866
2014-06-20,175500.14959898233,178912.35605313824,181729.5620037757,180207.23017358588
2014-06-23,175353.81694811882,178754.41054837345,181561.26530445972,180037.0508816069
2014-06-24,175116.07599989747,178533.69134764266,181358.39233967246,179835.39326772155
2014-06-25,175297.4052484027,178724.2946021686,181551.7855830363,180035.5254232375
2014-06-26,175777.60671990147,179221.63310722966,182074.28142960308,180550.71539716626
2014-06-27,175593.68299283786,179028.7316885807,181878.89987477416,180340.96786753007
2014-06-30,175751.71097760904,179195.93769011906,182046.03545631774,180529.92849617457
2014-07-01,177184.93913682253,180638.96487877946,183494.1759709001,181963.3873297973
2014-07-02,176002.44070898418,179409.5274504825,182232.3306489956,180699.2523327973
2014-07-03,176142.75720911525,179546.98267819957,182364.6812036625,180828.69804611726
2014-07-07,174040.84590361913,177421.96385054794,180205.90281729214,178706.74183530407
2014-07-08,172710.12861826626,176088.93218087105,178874.41772263343,177390.3569881974
2014-07-09,173281.0501244219,176673.15250916692,179466.74745166427,177989.64197403108
2014-07-10,173296.13687602742,176681.94073786197,179472.98968468962,177989.33240454868
2014-07-11,173457.3324394492,176867.19587130373,179676.63283957247,178191.43091640077
2014-07-14,173788.78533616936,177195.91329279734,180012.3805078585,178516.09437192048
2014-07-15,174129.83851493616,177538.50380705585,180358.36289336358,178864.9476585622
2014-07-16,175864.1660446743,179323.9246040275,182173.713253437,180664.15448672036
2014-07-17,173318.4283721825,176758.5860905574,179606.71786192094,178113.27564617404
2014-07-18,174390.883521934,177847.0276155463,180709.10820406294,179203.93166453385
2014-07-21,174377.4412107113,177854.1622216646,180735.84686204197,179220.9529797187
2014-07-22,175386.6774860003,178887.22607508008,181778.3259327534,180271.84110480594
2014-07-23,175290.88794870366,178784.13546325467,181676.52492444313,180167.6857941239
2014-07-24,175640.35364353427,179125.255369011,182006.80937182205,180487.6920506146
2014-07-25,175498.47566514846,179016.1391414975,181933.35442144793,180425.80873488312
2014-07-28,174684.0465389457,178184.3662228041,181083.8341179063,179577.6457757623
2014-07-29,174617.38933066634,178126.55923240245,181036.6538634819,179539.9581510762
2014-07-30,174589.79963340593,178067.8505289698,180939.24670074726,179441.96067993756
2014-07-31,171897.09187389078,175305.57699855888,178140.73865458803,176643.29629198232
2014-08-01,171655.9154729618,175067.75193007762,177889.72906568428,176407.37313256584
2014-08-04,172895.22273129458,176313.03068985805,179140.6538128121,177656.29593221194
2014-08-05,171689.38653137183,175099.55064824072,177924.87314085462,176436.48838585714
2014-08-06,172024.94029987362,175440.26505282108,178274.67003373464,176787.72022826626
2014-08-07,171813.05951050107,175252.24804666324,178100.84583707992,176615.76625924296
2014-08-08,172329.08488331904,175771.03060730547,178634.85726916036,177159.81265550322
2014-08-11,172873.63810943617,176328.1861430096,179204.36569315096,177698.72752835823
2014-08-12,172966.3437844243,176393.05119301585,179252.31643840374,177739.48784247992
2014-08-13,174727.6615168621,178203.65914096095,181094.7053525401,179582.26135600312
2014-08-14,174910.43358808453,178416.9688916375,181332.80299429147,179818.4423707141
2014-08-15,175812.30433814708,179367.637616361,182353.88431380384,180860.32346943425
2014-08-18,176877.30112096158,180423.7078952679,183378.03281457344,181845.4460079503
2014-08-19,177359.79439364382,180906.6851123753,183875.14083888088,182331.51688070837
2014-08-20,178062.60349198699,181629.57293819002,184601.46078282647,183051.8361187011
2014-08-21,178348.1737685473,181941.99941389178,184941.46519509552,183402.89657046643
2014-08-22,178963.95402457076,182603.41518664817,185616.9248052937,184090.1511109898
2014-08-25,179774.0138191489,183448.1122906696,186505.39850673877,184952.80586871092
2014-08-26,179434.09382167103,183082.68381270996,186131.13847061963,184577.1410530915
2014-08-27,179392.34350916106,183075.1416791645,186152.50800101095,184602.18802615063
2014-08-28,179637.58812518945,183343.27881546985,186444.50008093732,184901.06168431957
2014-08-29,179776.0768563279,183487.2678566386,186580.42168774892,185045.2838442402
2014-09-02,178765.52533662258,182389.42030217344,185430.23048071234,183886.1418541263
2014-09-03,179236.55638622947,182895.09385051735,185946.627575234,184397.02675592105
2014-09-04,179113.1182508608,182716.5109347823,185741.87790570693,184172.7954781789
2014-09-05,179620.2324540358,183220.51359313886,186246.2678534016,184642.6594205454
2014-09-08,179871.7397696072,183486.16904925965,186494.37998188476,184934.9606395812
2014-09-09,178835.9226096547,182438.9293745983,185453.00221059122,183880.1083614855
2014-09-10,179495.33311805234,183088.52918726686,186085.23839811928,184535.3295517155
2014-09-11,178788.2968372085,182354.84522383657,185331.45089348202,183777.02681231647
2014-09-12,177393.85182367053,180891.9169116444,183817.76731299277,182249.10568311458
2014-09-15,175936.2812056311,179403.48703557835,182286.8595286558,180739.80041784
2014-09-16,176877.41708980402,180340.69236479353,183249.43156049395,181688.1123905016
2014-09-17,176325.35790395577,179777.4943528502,182627.98918442248,181090.7770684494
2014-09-18,177416.8824782933,180913.59830288452,183798.59477708736,182242.44707939902
2014-09-19,177065.12860728704,180608.71386733843,183527.96235706963,182015.72261346976
2014-09-22,175847.15651293658,179358.10758205788,182266.78882427452,180738.95535687398
2014-09-23,175887.8232073663,179435.9574200519,182414.5726546048,180850.02471306594
2014-09-24,177212.16910963526,180762.44461448814,183696.0520561472,182176.29287942714
2014-09-25,175724.29663289982,179308.0016287347,182286.57464341397,180762.01925765537
2014-09-26,176461.04688384436,180065.69402371274,183058.50857419116,181556.25711114288
2014-09-29,176945.9740437406,180603.96233935258,183622.09760746738,182130.4091488075
2014-09-30,176438.65427256507,180043.02366133183,183041.94841992934,181457.52183874085
2014-10-01,174881.79506117248,178553.28463785656,181604.96926210227,180042.9926977911
2014-10-02,174747.78446610263,178365.22213434527,181371.72738042806,179813.83896797
2014-10-03,175909.7238698172,179591.8340741188,182656.30397818,181106.01634566783
2014-10-06,175538.9866151018,179203.99474980833,182253.1514463986,180696.0216378033
2014-10-07,174341.8869533771,178050.3780161232,181143.38368122006,179612.32546924308
2014-10-08,176705.0205704883,180434.57696886765,183549.26659899976,181933.20305717053
2014-10-09,174463.2602936785,178121.65165405042,181201.7625301932,179666.66823387943
2014-10-10,170678.8654803535,174311.51508238274,177337.14956379368,175882.84656455088
2014-10-13,169354.66936839852,172974.111213623,176103.50148661612,174482.0711808262
2014-10-14,170479.8295042735,174202.1537166404,177411.17250167296,175829.88409291513
2014-10-15,170380.41070697873,174139.62132381744,177282.8975758539,175762.39759675929
2014-10-16,171214.50815961507,174928.58759785592,178030.64081960326,176506.16598338293
2014-10-17,171449.8865951671,175122.33302938918,178234.31665911066,176624.1020961015
2014-10-20,172586.73748851885,176302.9784421334,179441.8908855383,177813.7720273936
2014-10-21,175050.173415444,178773.15109550624,181922.3628828393,180274.02200312627
2014-10-22,175177.96117204134,178915.82565172142,182075.87451523507,180413.89914819377
2014-10-23,176307.31969491576,180027.11416945478,183181.97997987716,181510.60115595907
2014-10-24,178016.27070313093,181773.46972728617,184959.37404113798,183255.5853972778
2014-10-27,179007.77217209898,182793.13395786795,185993.6583519869,184305.41742940035
2014-10-28,179383.4741391177,183142.11552099718,186341.13680010385,184635.72606772292
2014-10-29,177714.35520280153,181489.16571985208,184664.42235688205,182995.19958880908
2014-10-30,179845.31059189778,183663.47864506772,186890.90782583805,185185.76997096575
2014-10-31,179001.01977604534,182792.2903326991,186005.75398376802,184335.61590600415
2014-11-03,178806.9734872858,182597.542298656,185810.84001321348,184114.73006654767
2014-11-04,177420.36971324545,181210.81003904648,184407.4558100483,182742.82172947022
2014-11-05,176871.16554340988,180634.37106699607,183825.92838286096,182151.9889616201
2014-11-06,177646.09831509637,181394.99859078173,184582.28791012827,182880.30221579684
2014-11-07,177993.8219418319,181796.0989972527,185008.0450794288,183293.04350749456
2014-11-10,178276.00058679466,182037.97469212004,185233.78206011644,183512.17977496682
2014-11-11,179209.4244163639,182996.35808490252,186221.48419557768,184484.87325562266
2014-11-12,179244.77305003183,183028.24391265996,186240.52317986044,184504.33647179935
2014-11-13,178612.09290245335,182388.9513094272,185590.1520169573,183891.92860168082
2014-11-14,178535.7108967984,182336.30909228252,185571.15401408475,183877.79930002923
2014-11-17,178684.6836338408,182475.9767642877,185689.75479778205,184016.5662651249
2014-11-18,179905.398165398,183737.42096471725,186968.8270185478,185278.33800458172
2014-11-19,179839.3230497342,183635.99480294174,186870.39272667997,185136.82653056274
2014-11-20,179498.86129981655,183319.64000193012,186556.2820522103,184838.76914448026
2014-11-21,180104.13594008447,183974.7450119751,187255.42491168997,185557.87459577853
2014-11-24,180538.507882203,184415.6208776978,187719.02439031686,185983.0645862255
2014-11-25,181388.39592139545,185337.72024700497,188688.81471007862,186969.60670375644
2014-11-26,181542.83585037958,185504.9545273568,188871.98397994897,187183.00817519476
2014-11-28,182610.6101634179,186633.34314745295,190041.6588338194,188319.04019167786
2014-12-01,181778.43015509727,185751.2792339364,189136.63293979247,187413.51765867567
2014-12-02,183152.8913894582,187106.85858295998,190467.9623011155,188734.33473185473
2014-12-03,183916.13886374596,187919.57112147528,191314.50200995724,189587.72513844856
2014-12-04,184226.90778527816,188282.66237843398,191693.99425736957,189989.07041373235
2014-12-05,182427.76895668296,186441.592171395,189838.95733273655,188129.68003205353
2014-12-08,182304.49825242112,186398.50353807272,189837.82637046647,188140.76093086423
2014-12-09,182967.62819993455,187089.96666474864,190555.869881849,188846.11469370572
2014-12-10,181155.29119406056,185262.70209662433,188728.69006776763,187039.13735439704
2014-12-11,181941.87899533924,186120.87774489727,189609.0502712041,187927.2326501184
2014-12-12,180988.1531772191,185195.17554977303,188736.42000639442,187071.61325460425
2014-12-15,179982.31059027003,184180.64186239245,187721.15366036538,186059.81548156406
2014-12-16,178557.8563637092,182790.29454576422,186332.08554542926,184687.56192199263
2014-12-17,180320.24473649793,184575.2071912507,188142.31695784937,186483.24514253135
2014-12-18,181444.15274936915,185613.45218415017,189067.04937609847,187484.74456266235
2014-12-19,181317.4514028683,185574.42745445072,189049.41052326502,187479.17018545163
2014-12-22,181024.8800189505,185287.51641157953,188767.31491225646,187204.03213449087
2014-12-23,181059.07890781632,185215.51311284947,188609.87170846327,187022.59485155746
2014-12-24,181720.60845332808,185935.94760814056,189343.92113819998,187781.089550758
2014-12-26,182340.01674590775,186591.85658016673,190036.99089228723,188475.818728263
2014-12-29,182553.56750712497,186848.26197458425,190349.657069924,188779.85776745225
2014-12-30,182354.19548114034,186658.9412850924,190183.47071788492,188600.27745593456
2014-12-31,181530.01230987915,185822.54459278812,189310.81711754928,187769.54424952166
2015-01-02,181454.017896218,185800.71459048733,189358.99510888636,187773.96339781632
2015-01-05,180719.06948602683,185137.41205929007,188740.51026103698,187205.7428973711
2015-01-06,180929.79745950218,185457.8954737695,189102.7805496088,187605.82091402033
2015-01-07,182360.88239784143,186908.19958582873,190590.93209152037,189108.3079330035
2015-01-08,184074.34330314532,188578.74450561788,192246.17171146988,190693.6363363815
2015-01-09,182985.3747217641,187519.8875063329,191190.8392815109,189664.05967897296
2015-01-12,182432.3114380917,186973.76632706786,190680.03064498672,189177.6514552911
2015-01-13,182239.41352570336,186767.43620263162,190449.445558801,188991.68950364055
2015-01-14,180848.5778229032,185369.8334631851,189052.9665563638,187619.36608326115
2015-01-15,180795.82010638175,185360.24194111128,189085.63793521145,187618.62592469755
2015-01-16,182115.7398892386,186680.25747477886,190393.40822380903,188941.14670535925
2015-01-20,182264.31289884425,186900.98739251817,190670.67081167846,189185.39247912756
2015-01-21,182136.3425358874,186727.38335877698,190469.4658466116,188991.9316397802
2015-01-22,183663.81441349015,188286.40485787852,192028.37288432088,190575.21414728818
2015-01-23,183487.40853457944,188151.85698072458,191922.36269160104,190457.60212111453
2015-01-26,183541.6986171639,188202.80134001438,192003.66223163583,190503.15253960685
2015-01-27,182949.9972988835,187597.24007651024,191386.20509554,189915.30591862873
2015-01-28,181786.91845492224,186458.72029768766,190257.34148469684,188848.14229724905
2015-01-29,181820.75473392152,186474.56749599284,190262.47965909002,188817.85632072375
2015-01-30,180783.71898415827,185466.7971704415,189274.94853864712,187867.4795411588
2015-02-02,180877.82118997452,185547.7244481882,189343.4845706816,187957.7793412238
2015-02-03,180282.26474398188,184858.06224755725,188586.31704025218,187153.18531972234
2015-02-04,180756.75946851767,185344.97256207245,189068.62603174226,187641.56307555942
2015-02-05,180946.4776250673,185494.25411866154,189196.373422805,187753.13783909156
2015-02-06,179570.03419295535,184022.77566003954,187595.6513903598,186148.69150535486
2015-02-09,178334.70406473405,182746.32067352562,186326.68510827448,184849.74611771436
2015-02-10,180056.76786938208,184461.18971641356,188017.59922371537,186513.71605650507
2015-02-11,179967.8374654364,184390.5802849823,187963.92440653456,186463.87254348435
2015-02-12,180530.99161573587,184933.63770648584,188489.11662222125,187001.53468504772
2015-02-13,180390.07875133195,184725.2840242309,188238.09313227204,186769.3544684268
2015-02-17,180462.4742834557,184725.85809734405,188181.5794255893,186670.53898212995
2015-02-18,180917.62057413356,185198.82136537408,188691.79032412166,187155.01270898324
