date,value
2013-10-17,466424.47735165094
2013-10-18,471623.41488441534
2013-10-21,472906.89085485035
2013-10-22,473496.0762784173
2013-10-23,469690.97620137257
2013-10-24,474001.2465582398
2013-10-25,474222.2894803123
2013-10-28,470243.50611317786
2013-10-29,472706.5991094714
2013-10-30,471041.93067816505
2013-10-31,472651.60113082983
2013-11-01,471498.9574832642
2013-11-04,471339.5398348337
2013-11-05,472169.1172579804
2013-11-06,472934.33695725084
2013-11-07,466681.1302518434
2013-11-08,471621.8277194719
2013-11-11,471278.5003283686
2013-11-12,468675.70910995256
2013-11-13,472415.7670693012
2013-11-14,474757.6491265403
2013-11-15,475817.289000699
2013-11-18,471394.56608984165
2013-11-19,470449.905952522
2013-11-20,468715.434308011
2013-11-21,471722.9737260506
2013-11-22,473846.7987702213
2013-11-25,469391.1725734739
2013-11-26,470449.8297381609
2013-11-27,472631.02528379625
2013-11-29,472419.818086208
2013-12-02,470955.03508210805
2013-12-03,469505.28549102385
2013-12-04,470662.55984979885
2013-12-05,468869.62547157216
2013-12-06,471472.22907846014
2013-12-09,471638.9149146982
2013-12-10,471329.47545860877
2013-12-11,470921.2494533506
2013-12-12,469093.22803173796
2013-12-13,468431.16360329324
2013-12-16,471020.75821342086
2013-12-17,469636.5091179627
2013-12-18,472744.4772034418
2013-12-19,470813.69306957506
2013-12-20,473746.55745798047
2013-12-23,477209.97321071243
2013-12-24,476898.8993049334
2013-12-26,479273.90586048376
2013-12-27,476738.2087154748
2013-12-30,475073.1418246757
2013-12-31,478313.3652784695
2014-01-02,476150.3462576822
2014-01-03,474476.56436691084
2014-01-06,475653.8749867198
2014-01-07,481484.0289828497
2014-01-08,486473.16382465087
2014-01-09,485801.074491134
2014-01-10,484946.93181986373
2014-01-13,479622.6041252568
2014-01-14,484340.05839243426
2014-01-15,485535.0034504103
2014-01-16,484378.32710911025
2014-01-17,485862.6366820447
2014-01-21,488267.8370381854
2014-01-22,491873.20956027333
2014-01-23,490909.0636217435
2014-01-24,479115.1144103027
2014-01-27,477161.3506673251
2014-01-28,482517.11435311707
2014-01-29,477435.2176921674
2014-01-30,480412.1058013774
2014-01-31,472924.46545136574
2014-02-03,464088.91360809375
2014-02-04,467359.9629506131
2014-02-05,466172.20033533504
2014-02-06,469004.6015291787
2014-02-07,473638.72207019833
2014-02-10,474399.47200346953
2014-02-11,478271.4731369668
2014-02-12,477697.02780718234
2014-02-13,476787.1570375763
2014-02-14,476714.84745412046
2014-02-18,476160.4387788699
2014-02-19,470260.55581436434
2014-02-20,471441.80396017304
2014-02-21,470718.31828198745
2014-02-24,474098.46946151543
2014-02-25,472182.04440781975
2014-02-26,472125.0443168795
2014-02-27,472765.44352999446
2014-02-28,473191.98622023035
2014-03-03,470311.2231575276
2014-03-04,476962.6326207263
2014-03-05,476576.28475553554
2014-03-06,476332.97674586804
2014-03-07,474364.43372510397
2014-03-10,475277.4964221824
2014-03-11,473258.4372392411
2014-03-12,473945.5875218605
2014-03-13,467223.01886822475
2014-03-14,465578.52016564907
2014-03-17,469245.4322071245
2014-03-18,471739.4074322671
2014-03-19,469114.6706553732
2014-03-20,470817.52930158185
2014-03-21,467200.5341830976
2014-03-24,462855.7652048267
2014-03-25,465779.624122794
2014-03-26,457829.97046610096
2014-03-27,455574.8539700096
2014-03-28,455930.83977384755
2014-03-31,455392.94002076646
2014-04-01,465588.94103180565
2014-04-02,467626.0361968879
2014-04-03,463323.5666827708
2014-04-04,457167.79706998257
2014-04-07,454063.03007148526
2014-04-08,457552.3049597949
2014-04-09,465475.9391693277
2014-04-10,455788.7870237856
2014-04-11,453319.8128974795
2014-04-14,455062.57451830304
2014-04-15,456447.2971524692
2014-04-16,461515.0921659048
2014-04-17,462423.3584626847
2014-04-21,463672.27638413076
2014-04-22,468110.44076211774
2014-04-23,465134.5573323254
2014-04-24,466135.6001611438
2014-04-25,464490.6766856281
2014-04-28,465317.86905458895
2014-04-29,469368.3942201152
2014-04-30,471103.3775888432
2014-05-01,471063.36658731446
2014-05-02,470586.5157228543
2014-05-05,471660.03428691113
2014-05-06,468496.0162258896
2014-05-07,469614.88836522604
2014-05-08,463795.3869292912
2014-05-09,464923.30441680644
2014-05-12,466634.1875221347
2014-05-13,469084.6260718168
2014-05-14,469128.50581739045
2014-05-15,465972.62007244234
2014-05-16,467260.6023330917
2014-05-19,469191.31274188956
2014-05-20,464371.6337589601
2014-05-21,468385.59064202034
2014-05-22,469156.4854699387
2014-05-23,469407.95851329376
2014-05-27,470443.1323929765
2014-05-28,469210.27452836704
2014-05-29,472233.77929030947
2014-05-30,472298.1115903714
2014-06-02,473568.8973670199
2014-06-03,472679.24874406727
2014-06-04,473066.4705712989
2014-06-05,476812.1146269949
2014-06-06,478254.2876146396
2014-06-09,479703.1993254308
2014-06-10,480128.9758154538
2014-06-11,478560.86749299744
2014-06-12,475907.0516244146
2014-06-13,476128.6170828771
2014-06-16,475818.87110156356
2014-06-17,474751.62750751455
2014-06-18,477469.04688598705
2014-06-19,478954.93364475213
2014-06-20,481182.5047842838
2014-06-23,481085.6601224435
2014-06-24,478540.25998492516
2014-06-25,482627.59645024897
2014-06-26,483688.1011691735
2014-06-27,483343.8932518484
2014-06-30,483424.19863303023
2014-07-01,484998.0715809088
2014-07-02,485078.4574630599
2014-07-03,485757.60855790507
2014-07-07,485989.2378322656
2014-07-08,483392.1310799187
2014-07-09,484893.44763633574
2014-07-10,483526.42505894025
2014-07-11,482272.0415241654
2014-07-14,485629.40567754675
2014-07-15,484290.92748000904
2014-07-16,492607.68526240106
2014-07-17,486965.49881253374
2014-07-18,488060.29238963115
2014-07-21,487707.32422628824
2014-07-22,490016.40211250976
2014-07-23,490446.7143677907
2014-07-24,491330.36553063424
2014-07-25,490555.5807262294
2014-07-28,489824.94288627186
2014-07-29,489443.74967592
2014-07-30,486880.7389374385
2014-07-31,481479.20031365036
2014-08-01,480584.78853466397
2014-08-04,483096.2378024659
2014-08-05,477279.9010505402
2014-08-06,477146.37319643993
2014-08-07,475087.3177951632
2014-08-08,477652.2519665323
2014-08-11,481629.1470116864
2014-08-12,482250.8853246629
2014-08-13,487927.4769528684
2014-08-14,489320.4013007957
2014-08-15,493887.2096149508
2014-08-18,497618.00509227806
2014-08-19,500272.7664584357
