date,value,cash,compass_pos,rattle_pos,efa_value,drawdown,leverage,in_protection,risk_on
2006-10-23,155468.802877167,26885.35960177736,5,3,11496.59262084961,-0.023933507579031583,1.0,False,True
2006-10-24,154895.31300457765,18850.23599364959,5,3,19539.24668121338,-0.02768485541422748,1.0,False,True
2006-10-25,155657.16578362556,13454.699648811176,5,3,25387.487941741943,-0.02286315818532258,1.0,False,True
2006-10-26,156736.51065753732,23491.520775014782,5,3,10051.625804901123,-0.016074347831155675,1.0,False,True
2006-10-27,155275.6144336193,15256.276976555862,5,3,16480.3278465271,-0.025038964357001158,1.0,False,True
2006-10-30,155482.0467008482,19610.829783152072,5,3,24804.53004837036,-0.02384482646474925,1.0,False,True
2006-10-31,155382.9114885382,13739.809978886093,5,3,30681.340980529785,-0.024583267497903984,1.0,False,True
2006-11-01,154442.92028506854,25597.167740323508,5,2,10963.997337341309,-0.03045988576551317,1.0,False,True
2006-11-02,154730.39889475398,15373.606055938733,5,3,17583.898441314697,-0.028624341556538084,1.0,False,True
2006-11-03,153801.96502513782,9476.588627194678,5,4,21573.7589263916,-0.034064510777668505,1.0,False,True
2006-11-06,155906.81448819028,20970.90274138771,5,4,8947.45728302002,-0.021227481453979152,1.0,False,True
2006-11-07,156205.83010410395,14713.007916228835,5,4,15219.8408203125,-0.019449053721027506,1.0,False,True
2006-11-08,156750.76239804583,16570.155446653065,5,4,22281.118408203125,-0.015983080635149357,1.0,False,True
2006-11-09,156085.84131923865,18060.68917452191,5,3,29900.01530456543,-0.020164375836826686,1.0,False,True
2006-11-10,155948.65514392767,14432.425932089718,5,3,36195.88739776611,-0.020766085123991373,1.0,False,True
2006-11-13,155951.78447934988,14618.430092767187,5,3,42184.71551513672,-0.020983147262175785,1.0,False,True
2006-11-14,156727.14344509115,18862.053861593282,5,1,50726.03530883789,-0.016129406936009193,1.0,False,True
2006-11-15,156528.61336945143,16087.827898726297,5,0,57592.74948120117,-0.0172013107927178,1.0,False,True
2006-11-16,156995.14904304265,11191.538698851247,5,1,62234.85693359375,-0.014436840296202987,1.0,False,True
2006-11-17,156809.49353327468,12078.015269296797,5,1,67196.35626983643,-0.015511941392361478,1.0,False,True
2006-11-20,156855.36158447142,40806.126841693804,5,0,17437.463836669922,-0.015267958596813446,1.0,False,True
2006-11-21,157173.65916365708,28579.62017968952,5,0,29759.011810302734,-0.013399863250682535,1.0,False,True
2006-11-22,157466.5301486907,16030.185974096621,5,1,36902.81887054443,-0.011527253380114228,1.0,False,True
2006-11-24,157235.1154092275,27661.38772706868,5,1,11852.528625488281,-0.012909824448638368,1.0,False,True
2006-11-27,155034.85526015505,11624.642117659103,5,2,16707.807636260986,-0.02673770428269473,1.0,False,True
2006-11-28,156498.13291891618,20953.1495494016,5,2,25780.814933776855,-0.017513791610408613,1.0,False,True
2006-11-29,157272.4119476191,14699.922523867153,5,2,32331.237045288086,-0.012753585216490572,1.0,False,True
2006-11-30,156894.04873944283,13195.753644902921,5,2,38110.14394378662,-0.014926583018058633,1.0,False,True
2006-12-01,156148.0778697396,16548.8005770198,5,2,45144.25277709961,-0.019724980273951247,1.0,False,True
2006-12-04,157562.07633162529,13540.124783895219,5,2,51188.03649902344,-0.010882153956242408,1.0,False,True
2006-12-05,157577.02915235894,17977.15808079947,5,0,59173.18444442749,-0.010745323519776135,1.0,False,True
2006-12-06,157271.05435284408,12617.017665965159,5,0,64407.86298751831,-0.012758111373934225,1.0,False,True
2006-12-07,156860.34284895242,30303.998965159044,5,1,12966.41773223877,-0.015291200639441662,1.0,False,True
2006-12-08,158170.22183710377,19437.195774297415,5,1,21232.244064331055,-0.007068055476367137,1.0,False,True
2006-12-11,159730.22898297716,13674.558584156173,5,1,27159.675693511963,0.0,1.0,False,True
2006-12-12,159782.71376874283,19585.57165553353,5,2,8365.719818115234,0.0,1.0,False,True
2006-12-13,160312.60949473572,13744.401928709314,5,2,14242.784103393555,0.0,1.0,False,True
2006-12-14,161680.74527777632,17065.378581863486,5,3,21574.74284362793,0.0,1.0,False,True
2006-12-15,161753.26866753906,12116.126080918359,5,4,26674.347106933594,0.0,1.0,False,True
2006-12-18,161772.62693910807,12145.846965986071,5,4,31813.681159973145,0.0,1.0,False,True
2006-12-19,161606.71491805592,19522.730956812004,5,3,40295.58953857422,-0.00098622423386827,1.0,False,True
2006-12-20,161417.58336160483,13674.439404963272,5,3,46077.44896697998,-0.0022593793364019746,1.0,False,True
2006-12-21,160959.90686201525,14266.901959592149,5,3,52150.54183959961,-0.0050795778030431615,1.0,False,True
2006-12-22,160651.23800371127,17363.303322273343,5,1,59466.83478927612,-0.006889968479282258,1.0,False,True
2006-12-26,161254.0957523694,12285.81597640107,5,1,64659.298431396484,-0.003216562771528573,1.0,False,True
2006-12-27,162321.82288678866,14867.775632453191,5,0,71785.40031433105,0.0,1.0,False,True
2006-12-28,162192.42673252057,10417.681440598184,5,0,76287.62604904175,-0.0008658378021263582,1.0,False,True
2006-12-29,161698.84717322738,42076.24118478936,5,0,18001.36252593994,-0.00384162154257545,1.0,False,True
2007-01-03,162278.43324730964,24645.119780651483,5,0,28590.68868637085,0.0,1.0,False,True
2007-01-04,163092.9672654376,11670.531183007628,5,1,33461.67558288574,0.0,1.0,False,True
2007-01-05,161737.34570731147,19962.48602414076,5,2,8526.841552734375,-0.008291732583627453,1.0,False,True
2007-01-08,162309.73507567812,14014.337914652664,5,2,14491.077945709229,-0.004853855821232591,1.0,False,True
2007-01-09,162516.14209320184,18253.308071988846,5,3,22271.299041748047,-0.003497846383870457,1.0,False,True
2007-01-10,162475.15331733951,17139.873140967684,5,3,29401.424732208252,-0.003441474854030797,1.0,False,True
2007-01-11,163718.24751568364,13343.334234269845,5,3,35253.239543914795,0.0,1.0,False,True
2007-01-12,165615.17613144667,18909.63185540127,5,2,43746.74154663086,0.0,1.0,False,True
2007-01-16,165934.35219639255,17999.246213662256,5,1,51403.388671875,0.0,1.0,False,True
2007-01-17,165896.6398795512,15489.043353074812,5,0,58026.4047164917,-0.0002342836474377597,1.0,False,True
2007-01-18,165382.2342415271,24305.781011198924,5,2,10375.110622406006,-0.0031975455722136467,1.0,False,True
2007-01-19,164894.20072996113,14771.109623789656,5,2,16819.85488128662,-0.006195300627257461,1.0,False,True
2007-01-22,164593.5875998919,16552.706542193617,5,3,7035.530780792236,-0.008055347464361998,1.0,False,True
2007-01-23,163893.63442555492,9296.323945500411,5,4,11045.84750366211,-0.012305862448287085,1.0,False,True
2007-01-24,166730.94546287187,18429.88012613958,5,4,7862.584075927734,0.0,1.0,False,True
