date,hydra_value,tlt_blend_value,ief_blend_value
2008-03-20,348130.82928921585,360289.7227354736,356832.99426884565
2008-03-24,349837.07819436985,361841.0921818552,358390.0442874985
2008-03-25,352968.9787870624,365647.0183646365,362151.5889130658
2008-03-26,357183.69562067895,370023.9930011963,366546.4419408647
2008-03-27,356245.793563886,369135.8211643138,365736.45417678525
2008-03-28,355288.2835278948,367600.3735116924,364144.7498382495
2008-03-31,354975.7273591615,366584.7654707929,363116.7321191612
2008-04-01,358120.76352334913,367878.7732612302,364489.63549433375
2008-04-02,358305.155974027,369281.90876930096,365813.74991901836
2008-04-03,360237.8956277092,371121.4464812743,367608.8061886871
2008-04-04,361858.5950188005,373027.8236515059,369479.0830821709
2008-04-07,362949.2297455319,374369.1490385898,370791.1189731862
2008-04-08,364199.0628767777,375190.79275932687,371649.33044188446
2008-04-09,365964.38144304825,377747.13908401685,374126.91700075724
2008-04-10,365522.7828954736,377084.1301236871,373462.7453398574
2008-04-11,363960.8281569394,375588.71135579346,371951.4543664079
2008-04-14,365648.3314606737,377016.2732199957,373406.406958589
2008-04-15,366724.6120861612,378144.58653145854,374622.08845237765
2008-04-16,369210.1359236928,380873.72069121373,377363.77919713245
2008-04-17,368648.6551008756,380059.4009236287,376549.14832800324
2008-04-18,369580.89042677975,380208.1193478381,376694.6724146554
2008-04-21,369195.6674846174,379808.74592841894,376250.31471115694
2008-04-22,369468.80832583125,380176.15446492494,376581.00400856853
2008-04-23,367920.3403163352,378291.56232048094,374743.2521098634
2008-04-24,366384.54045982135,375924.4785753478,372406.49834256835
2008-04-25,369078.5079158686,378448.59820382186,374962.76053445274
2008-04-28,368637.662380884,378283.8268590116,374783.9927618017
2008-04-29,364570.0258243232,373803.5533550103,370320.2124118117
2008-04-30,365363.8111528547,374866.29168291495,371323.8106048435
2008-05-01,361789.970146984,370726.47313379333,367221.4815316576
2008-05-02,364017.1608596277,373005.46474913915,369520.31332276703
2008-05-05,366747.6889238986,376152.46301125933,372651.5358688979
2008-05-06,372212.4132587882,381192.35027714726,377674.57430448063
2008-05-07,368091.7417329751,377385.3878351481,373898.818163533
2008-05-08,370271.6840973105,380073.6668483554,376538.6502478933
2008-05-09,370043.8981209711,380183.3824023591,376615.14795607
2008-05-12,370290.0976319712,380177.4866099223,376607.70646936307
2008-05-13,371241.99963562086,380399.9660810119,376852.6486853087
2008-05-14,369433.1070439534,378611.19429196295,375073.23109616974
2008-05-15,372338.38265586767,382080.5387060194,378483.7450281801
2008-05-16,375400.1178959064,385565.74739746784,381954.51870419784
2008-05-19,375883.8277929921,386087.01793214097,382478.20264019957
2008-05-20,378615.0622722992,388941.25227872,385289.1258200443
2008-05-21,375860.8451277254,387051.68880062376,383392.4906078263
2008-05-22,375028.4468026162,385872.71638390824,382274.97452234756
2008-05-23,370588.9840165923,382020.75216505333,378459.3737101898
2008-05-27,371360.8248578034,381873.53224082146,378331.4975752007
2008-05-28,377326.2090094906,387088.0632402034,383415.0448230098
2008-05-29,372739.7210600079,381756.1765347491,378277.36721336894
2008-05-30,375693.6767107253,384830.4772745719,381282.01630853245
2008-06-02,376481.658713352,385923.8829759782,382391.83826691983
2008-06-03,371388.7944668876,380880.42150971317,377369.78055877564
2008-06-04,370988.58879238885,380145.91797347664,376707.00175441406
2008-06-05,380074.1645023337,388677.4385195701,384947.91491423064
2008-06-06,381081.72164400655,391030.48386173166,387224.1107014347
2008-06-09,387180.6574154247,396091.6435576043,392143.5520276386
2008-06-10,382224.827867266,390604.64690987905,386840.7915662336
2008-06-11,383612.6716710981,393201.0995317576,389077.20842473506
2008-06-12,382774.8858832323,391825.07633190654,387709.4864641218
2008-06-13,384032.8561124977,392899.89751809096,388773.01811461605
2008-06-16,385388.3816677239,394600.8407402673,390456.0952401239
2008-06-17,391411.20744961256,400150.7525053333,395907.9526772784
2008-06-18,390732.9858977544,400306.60310149175,395966.1872806187
2008-06-19,391253.1228371012,400356.31391022546,396015.3590885489
2008-06-20,388396.5508296156,398249.5740977944,393907.68845730723
2008-06-23,390151.60096352414,399087.18533610547,394820.9858987025
2008-06-24,389357.5373819855,398575.4289645367,394354.4266427191
2008-06-25,392552.5189166117,401291.20386610244,397034.1276388103
2008-06-26,388169.2821793031,399236.5581286785,394986.74846244784
2008-06-27,388912.2842768148,400393.06890005374,396041.2322688776
2008-06-30,387132.9505790481,398576.2083184561,394250.28336915927
2008-07-01,391546.9534162976,403099.80989904626,398720.2622007071
2008-07-02,385820.23782530666,398600.15948931704,394231.88855616155
2008-07-03,383810.0033318355,396404.60452361964,392093.38937857526
2008-07-07,384108.50069624494,396249.77961340646,391941.70539712184
2008-07-08,386618.0779624236,397923.26999093185,393544.8795228101
2008-07-09,382246.180624559,394381.46128420584,390046.6453933989
2008-07-10,388445.9357364719,400903.9949286124,396503.27177499013
2008-07-11,390435.35576299496,403227.2211796342,398865.46645758906
2008-07-14,396495.3193407876,408935.77791884297,404466.4477685408
2008-07-15,389006.1610502105,402025.12147312285,397684.4612989628
2008-07-16,391994.4302100411,403600.43063117063,399361.3943539628
2008-07-17,390785.61921606347,401974.0554267985,397860.5185855598
2008-07-18,380847.7415030158,392920.7094404358,388971.02869669755
2008-07-21,380519.8096642309,393267.79732794204,389200.33112298994
2008-07-22,374076.4748644358,386326.1107966789,382568.1443783763
2008-07-23,369461.14523758966,380804.76365735434,377394.59100890893
2008-07-24,364318.9164906762,376699.1981836567,373311.49481603695
2008-07-25,367381.669189888,379303.58583477075,375873.5220277758
2008-07-28,363431.0302877005,376040.8883731206,372585.6680721331
2008-07-29,362531.27462616016,374568.19331031083,371238.9789896599
2008-07-30,371906.7370792228,382729.8615304587,379302.8818926171
2008-07-31,367355.3857366826,378968.1740854022,375550.4998943875
2008-08-01,369098.45141910494,380205.04808671365,376754.7821647572
2008-08-04,359530.3092124242,370873.74228033837,367528.4146796837
2008-08-05,358081.9344149399,368911.15837463544,365618.02470869635
2008-08-06,360820.9296586941,371035.4115355978,367924.9778523396
2008-08-07,356151.8645026759,367241.31191724853,364035.34313382686
2008-08-08,353803.0867379449,364363.800892492,361125.1156338057
2008-08-11,351474.4328974846,361419.38474646455,358291.7289457978
2008-08-12,347810.3435643358,358093.39428275486,354951.6758456204
2008-08-13,348746.3294522422,359681.0574980926,356549.0771779534
2008-08-14,349078.47792845365,359444.3478328587,356254.15028894093
2008-08-15,349368.85289319203,359221.21872809407,355944.8055197179
2008-08-18,348773.4365123615,359144.5992811662,355842.11477226863
2008-08-19,347782.1661649217,358858.2059606024,355600.99762141495
2008-08-20,349409.2590488622,360394.872026304,357125.91757715103
2008-08-21,351270.57263237354,363271.4893391309,359971.0255256175
2008-08-22,352627.63311980164,363568.1268694208,360224.03129987547
2008-08-25,349976.1998180028,361288.60994929756,357905.1194521446
2008-08-26,349402.5884641151,360877.05355173285,357488.18266129354
2008-08-27,350333.0850160656,361923.09471694817,358519.9908401216
2008-08-28,352729.07224248804,363855.6298406517,360406.4392011416
2008-08-29,351995.60684480914,362960.20228686725,359577.64769006707
2008-09-02,351349.28967928136,362173.9981303192,358659.88599100726
2008-09-03,352492.8951440684,363258.6127064012,359670.0854604958
2008-09-04,349805.6078761597,361080.8278273797,357405.6770723578
2008-09-05,349408.32603986026,360849.26144513855,357115.9724031107
2008-09-08,348418.2094898499,360103.8673516183,356232.5741557939
2008-09-09,342399.18379812787,354631.77628009126,350628.55289009796
2008-09-10,345429.3123820928,356553.4688504576,352656.6676838632
2008-09-11,350142.16299746715,360396.04918816464,356413.01653415523
2008-09-12,350714.6079299828,361041.2675970699,357332.5936514243
2008-09-15,346202.5596270734,358744.62960173097,354586.09462708974
2008-09-16,349180.1118803768,361181.82474520605,356901.35380478547
2008-09-17,344479.08315363736,359268.2094221166,355153.24636932777
2008-09-18,347576.897934477,360929.9623964377,356897.8735206287
2008-09-19,350870.5774569439,363384.8035277297,359821.3275832919
2008-09-22,347284.1057260685,361578.0669791408,357995.9158610447
2008-09-23,345320.49867891765,359422.35445902,355930.13767562376
2008-09-24,345976.22291008086,359832.33282689814,356272.17324694135
2008-09-25,352124.0571826121,365140.61677485367,361492.11730235553
2008-09-26,353140.90500093385,366341.65220387676,362394.80564228294
2008-09-29,338485.10580779583,355190.49002710154,351089.20353542076
2008-09-30,340287.8759799328,355040.6468580833,351333.20858682203
2008-10-01,342278.3686522267,357440.3555165715,353513.5962209761
2008-10-02,340310.40549407504,355224.138984908,351235.50827230554
2008-10-03,338660.0115553554,354128.66638657823,349976.1144279557
2008-10-06,336464.5814874218,353183.1431365621,348689.20217760256
2008-10-07,333377.202303053,350948.1766755641,346561.2005864413
2008-10-08,332842.02288874227,351081.85729787947,346720.71047999366
2008-10-09,330056.30735049304,348624.9971649047,344266.1341407045
2008-10-10,330642.5045424385,347610.7362065451,343103.2443651264
2008-10-13,340511.940452622,355727.7706908122,351554.86151312286
2008-10-14,338118.2008024941,353418.6336797747,349499.21893675975
2008-10-15,331090.1144458923,347751.0737003902,343560.2415590654
2008-10-16,333360.80210902315,348759.9171784388,344734.12175221165
2008-10-17,331638.5044937845,346531.05596513185,342984.97928384313
2008-10-20,333135.97262637503,348427.39482454077,344622.99520694435
2008-10-21,327976.8952686592,343476.85238259204,339908.40125188767
2008-10-22,322940.01250374067,338714.2620920411,334765.4377224862
2008-10-23,321627.5561578556,337545.12306619046,333406.3898152493
2008-10-24,316061.20625384705,332593.19099184993,328728.7102179276
2008-10-27,311740.0164180964,328745.21890867315,324883.249332693
2008-10-28,321962.55216817657,337796.1420443004,334039.27492119704
2008-10-29,320229.6834724372,336128.8637176222,332607.5881630971
2008-10-30,323784.96754598775,338703.3183553287,335201.65539998066
2008-10-31,327013.9378415564,340815.9654275805,337658.7427879241
2008-11-03,327605.07904204365,341374.4597006649,338174.7572622528
2008-11-04,327681.208865293,343134.0755643591,339688.0234958285
2008-11-05,324668.9754240664,340250.6692114401,336610.65568488836
2008-11-06,323440.4216311407,338775.0933936346,335292.0107183555
2008-11-07,324944.77082978585,339958.7066890734,336561.95824907237
2008-11-10,326542.11469345586,341798.3233220643,338253.1136111948
2008-11-11,325385.1432858369,340514.59984660713,337008.5308007783
2008-11-12,320996.6814750348,336345.1770710699,332873.7704432639
2008-11-13,322733.7228528802,337603.2112384247,334674.6216591621
2008-11-14,320428.55793141,336491.83403806214,333240.5224654942
2008-11-17,316256.5857817625,332767.20739920984,329545.72907547955
2008-11-18,318258.0285794991,334953.3824535392,331542.4129225953
2008-11-19,315416.4056736894,333211.536010297,329326.3984373046
2008-11-20,313454.34119298344,333445.4633145874,328519.238866729
2008-11-21,315785.4606677369,336296.8974023339,331502.18225084106
2008-11-24,317003.99214527034,337313.1283548335,332712.0221255655
2008-11-25,321641.30110553803,342491.2324479188,337412.10709230404
2008-11-26,323450.7547346798,344071.1782777052,339128.79039789655
2008-11-28,324439.72039094946,345375.4287589743,340063.8344421881
2008-12-01,319532.8981248576,341256.0931442762,335165.8700316137
2008-12-02,322668.16398071777,344526.5186288212,338425.01014744263
2008-12-03,324471.009021941,346087.5809784425,339915.9374122422
2008-12-04,322207.5224065518,344562.9090073884,337961.1686576149
2008-12-05,323673.5674574352,345113.4724515186,338691.9542876127
2008-12-08,326981.7114489778,348425.7082919923,341888.5170616744
2008-12-09,325650.7366712308,347938.9064771614,341025.68409730785
2008-12-10,326526.65066565125,349430.32520496275,342537.3910671869
2008-12-11,326481.92621240165,349655.3460527807,342897.9312086003
2008-12-12,326897.0466584472,350067.9264735667,343398.49532022304
2008-12-15,327759.419721189,351639.3740965681,344623.3786830717
2008-12-16,331296.90451195854,356130.63637527503,348720.26269949204
2008-12-17,330656.0901805792,356437.2876938272,348666.00926523004
2008-12-18,328132.02808246505,354547.03039453767,346320.88464057515
2008-12-19,326513.1632926158,352835.88803986355,344498.1166526258
2008-12-22,326375.1916603076,352615.0652294259,344457.4095791934
2008-12-23,326358.1980931862,352377.6373522399,344253.524531171
2008-12-24,327027.3713974004,353093.1401166794,344991.72665126354
2008-12-26,329071.26763556694,355932.70088939863,347801.297327874
2008-12-29,330033.7980561124,357108.13241499517,349009.1033610639
2008-12-30,332980.1013550203,359801.9012170424,351500.1260803729
2008-12-31,334738.8444020069,361300.6154145602,353137.87056234555
2009-01-02,335902.77166742773,361793.27181641065,353810.53787500405
2009-01-05,325857.2491041913,351395.75902906776,344067.6282518603
2009-01-06,324408.5572947031,350161.52725967864,343021.50786717376
2009-01-07,324302.1691498473,349711.74545642873,342453.4723524244
2009-01-08,325874.1434287898,351861.31286951655,344618.0348360393
2009-01-09,325439.3507751701,351402.916665094,344276.6480477024
2009-01-12,324599.6587808293,350335.35741579876,343088.5370316121
2009-01-13,325050.1293303716,350811.543646784,343543.20630941057
2009-01-14,324506.8002392637,350655.14759492315,343015.8072260164
2009-01-15,325106.10285473114,351394.97779325134,343655.48058810877
2009-01-16,325684.3171231461,351891.38563648873,344354.2666587365
2009-01-20,324888.8043359228,351927.77233960456,344366.49599728157
2009-01-21,327781.03004812245,353880.86366034934,346668.2130263914
2009-01-22,326734.3080496368,352760.59142807056,345789.81708445144
2009-01-23,328481.97464169643,355873.7538469339,348980.44608635193
2009-01-26,327091.7764562277,354607.04237103,347847.08304155216
2009-01-27,331287.912656408,358663.4838142227,351531.38641716156
2009-01-28,343804.92824149143,369344.43761323916,362326.31971024635
2009-01-29,336557.5523297214,363180.6175386042,356460.3573759453
2009-01-30,334710.878108471,362163.70181665744,355511.2374760869
2009-02-02,336362.9842016327,363040.36838464736,356185.3096183662
2009-02-03,338791.209413708,364684.54266676743,358069.1949616329
2009-02-04,337449.09318960435,363685.4314698954,357059.77588135574
2009-02-05,337633.1771010039,364253.37585695914,357643.5354805867
2009-02-06,338287.8891974599,364582.75207418704,357914.3827160125
2009-02-09,338839.5559882991,364630.10317880864,357866.789000798
2009-02-10,335801.1084577748,363027.31414512545,356144.48657122464
2009-02-11,338575.15776795684,366648.9157475874,359603.84508381056
2009-02-12,340116.3058353916,368244.5102355295,361332.4034946135
2009-02-13,338443.4038640222,365969.88222983415,359439.12337178976
2009-02-17,335234.1372013382,364736.8741791113,357970.50627439853
2009-02-18,334564.54100343044,364520.1000949266,357779.98894240375
2009-02-19,334644.6929329754,363855.6624467472,357332.6212733738
2009-02-20,335211.5554616378,365327.570893261,358655.3744439934
2009-02-23,327357.4755933093,358194.4225782794,351503.79116780875
2009-02-24,325238.3439869818,355105.1511341159,348424.25159044296
2009-02-25,323034.3239039189,352262.3488418755,345678.31251748255
2009-02-26,319821.28587910463,349064.76597379206,342678.28443993046
2009-02-27,319283.7701964014,348304.3075105212,342015.79857477255
2009-03-02,310864.0409576,340146.1314501227,333893.37011030107
2009-03-03,310520.18450511154,339379.7668350768,333231.4275794951
2009-03-04,312126.3236272895,340398.3702034715,334223.0876358762
2009-03-05,313082.238844355,342905.3542420519,336415.7737659754
2009-03-06,313485.71513939905,343278.47703020595,336814.2547584992
2009-03-09,312780.35969217954,341881.7521582329,335549.5017636141
2009-03-10,311796.1180728979,339721.84224546916,333629.24004051136
2009-03-11,315017.47313457786,343305.29557089764,337087.0466531953
2009-03-12,318468.1631741999,347307.020714801,340984.07774245023
2009-03-13,320609.402107623,349280.6746309539,342995.06989330123
2009-03-16,317533.74919397035,345965.8915477477,339912.59493097366
2009-03-17,317835.85516231455,345862.00119118305,339870.48072524613
2009-03-18,325375.57403515704,354662.6396656311,348457.0749753623
2009-03-19,328605.51710290136,358157.3379467621,351809.7704535213
2009-03-20,328551.21641256654,357719.13512643846,351476.96804194606
2009-03-23,331730.0171515612,359928.9494806733,353740.52757924027
2009-03-24,330757.10960115737,358761.17978063866,352398.9479138558
2009-03-25,331530.24908801133,359638.8098277295,353392.1885093803
2009-03-26,333799.8238466907,361920.51302866236,355475.42172922206
2009-03-27,331006.86661745975,358992.5848991498,352456.65554031124
2009-03-30,329290.6589543666,357198.0824022034,350702.68611721636
2009-03-31,329912.2044066307,358017.8919326708,351413.185980534
2009-04-01,332559.53860830097,360920.62667878455,354145.0652917106
2009-04-02,333376.5563097104,360569.5965143655,353901.49961119826
2009-04-03,331455.24325420713,357943.0426230986,351482.68106321216
2009-04-06,328392.8900364717,354107.4244340047,347750.6602981715
2009-04-07,326288.59354736627,352834.0897249411,346500.18240252277
2009-04-08,327018.93349835306,353608.755097615,347193.3511426643
2009-04-09,326001.6034194581,352329.4895277322,346053.0096217798
2009-04-13,326708.3419533344,353781.4191799413,347422.4329667878
2009-04-14,325473.6399260369,352532.11357027653,346194.0927579846
2009-04-15,325742.88397675665,352801.8911876824,346505.28749936656
2009-04-16,322543.58842516795,349035.63489300513,342874.6220480526
2009-04-17,319088.5869915499,345425.900041144,339378.82492897194
2009-04-20,319524.03013020125,346789.33726148336,340579.6459017978
2009-04-21,318426.0753127867,345581.209885459,339495.3341856491
2009-04-22,317493.885788155,344811.35193819774,338800.9139296684
2009-04-23,319151.2588657358,346899.98821991327,340851.2286378137
2009-04-24,322204.18098742736,349905.8560588752,343909.2585934287
2009-04-27,323741.7443473907,351123.0387391521,345103.1092170628
2009-04-28,322689.7233274532,349407.62930356554,343577.641944431
2009-04-29,324788.49899663194,351685.7183469757,345611.3067835558
2009-04-30,324070.8998615145,350392.18430161045,344518.015026569
2009-05-01,322996.18180418457,349211.75640150893,343365.20556082117
2009-05-04,328610.5722457949,355389.4378500365,349122.3838638643
2009-05-05,328418.6345563594,354978.4487273192,348791.69270106585
2009-05-06,330632.6200115598,357790.86661836196,351307.6434214027
2009-05-07,329940.87218282034,357094.6464278096,350496.6594801196
2009-05-08,334343.5151370832,362134.8224408823,355169.0021908902
2009-05-11,332672.12946308614,360420.98373041116,353712.319106739
2009-05-12,332590.9984532717,360955.0724913442,354025.9439223508
2009-05-13,329794.4558525873,358608.1000956632,351729.4698835206
2009-05-14,332478.2441164492,361053.1966206016,354141.12866598956
2009-05-15,332727.3860296614,361592.54266698705,354525.5595039914
2009-05-18,341486.7932985128,369904.073389253,362456.44656034413
2009-05-19,340729.0068169756,369618.9271064642,362065.49687705014
2009-05-20,336219.5642185488,366106.0756300637,358537.0450764763
2009-05-21,336843.744511294,367179.886769709,359399.5022881471
2009-05-22,338141.1194656559,368603.6080364297,360793.0555112227
2009-05-26,341328.5138104937,371772.56399643933,363894.8626521864
2009-05-27,340423.0867011202,370451.1729185815,362601.4712851153
2009-05-28,345934.6527851964,376051.45452647156,368083.085325188
2009-05-29,348246.8423871654,379312.2365118543,371274.7727373902
2009-06-01,352944.4422399279,384124.80910271587,375985.3689770095
2009-06-02,358283.3775684035,389384.70523797715,381133.8101667795
2009-06-03,351719.3496372238,382113.6668104807,374016.84192826814
2009-06-04,359535.6953648575,390384.6250949697,382112.5421504204
2009-06-05,351873.79637819424,382375.4539718282,374273.0819318301
2009-06-08,354921.36165521835,385060.87349287147,376901.5985637968
2009-06-09,355829.2597100336,386241.7651325853,378057.46761562093
2009-06-10,352131.03190978355,382796.44702114136,374685.1543188038
2009-06-11,354522.51034420705,385251.664297022,377088.3465925522
2009-06-12,352896.43073109235,383119.4743890067,375001.33687514596
2009-06-15,345870.353407181,375553.80197459727,367595.9778176677
2009-06-16,344014.985061011,373825.95924473635,365904.74733495427
2009-06-17,339243.1408813136,369591.7202803922,361760.2300800949
2009-06-18,341430.6161871645,371458.81321246055,363587.76011289307
2009-06-19,343808.6217394496,373847.6713145995,365925.9993353596
2009-06-22,330217.28194308875,360049.9757112734,352420.6709902127
2009-06-23,332584.5861128734,362537.1758881851,354855.1684610225
2009-06-24,333587.58076207,363707.1772037055,356000.3779499568
2009-06-25,335821.1068408372,366502.66006773507,358736.62572982884
2009-06-26,336703.7789706422,367198.04590157914,359417.27663579345
2009-06-29,340203.01846692845,370619.5732619077,362766.30329731805
2009-06-30,336594.06415924383,366670.10994575673,358900.5274166795
2009-07-01,336615.4968416767,367208.388662186,359427.4002377344
2009-07-02,329426.0168824146,359478.07165804185,351860.88533883553
2009-07-06,332029.6131977006,361746.7220899629,354081.4640401128
2009-07-07,321517.392873676,351468.47666130913,344021.0102283537
2009-07-08,315685.2807513066,345528.72123587347,338365.41023055837
