date,symbol,action,shares,price,reason,total_score,value_score,quality_score,momentum_score,pnl_pct
2019-01-11 00:00:00-05:00,VZ,BUY_FULL_DEPLOY,5498,39.25645446777344,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-01-11 00:00:00-05:00,BRK-B,BUY_FULL_DEPLOY,1099,196.2899932861328,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-01-18 00:00:00-05:00,BRK-B,SELL_REDUCE,106,204.47999572753906,REBALANCE_REDUCE,,,,,
2019-01-18 00:00:00-05:00,VZ,BUY_FULL_DEPLOY,542,38.6272087097168,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-01-18 00:00:00-05:00,BRK-B,BUY_FULL_DEPLOY,102,204.47999572753906,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-01-25 00:00:00-05:00,BRK-B,SELL_REDUCE,189,202.75,REBALANCE_REDUCE,,,,,
2019-01-25 00:00:00-05:00,VZ,BUY_FULL_DEPLOY,504,38.16035079956055,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-01-25 00:00:00-05:00,BRK-B,BUY_FULL_DEPLOY,94,202.75,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-02-01 00:00:00-05:00,VZ,SELL_STOP,19635,36.90864562988281,STOP_LOSS,,,,,-0.029934702775063368
2019-02-01 00:00:00-05:00,BRK-B,SELL_REBALANCE,3157,209.19000244140625,REBALANCE_EXIT,,,,,0.06271357167925945
2019-02-08 00:00:00-05:00,VZ,BUY,13344,36.502685546875,CONSOLIDATED_STRATEGY,57.86564950304516,80.0,0.0,71.46259801218064,
2019-02-08 00:00:00-05:00,PFE,BUY,14584,28.853302001953125,CONSOLIDATED_STRATEGY,52.326885719290956,65.0,0.0,79.30754287716384,
2019-02-08 00:00:00-05:00,VZ,BUY_FULL_DEPLOY,6208,36.502685546875,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-02-08 00:00:00-05:00,PFE,BUY_FULL_DEPLOY,7855,28.853302001953125,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-02-15 00:00:00-05:00,VZ,SELL_REDUCE,6547,37.321372985839844,REBALANCE_REDUCE,,,,,
2019-02-15 00:00:00-05:00,PFE,SELL_REDUCE,7271,28.969446182250977,REBALANCE_REDUCE,,,,,
2019-02-15 00:00:00-05:00,VZ,BUY_FULL_DEPLOY,6083,37.321372985839844,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-02-15 00:00:00-05:00,PFE,BUY_FULL_DEPLOY,7837,28.969446182250977,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-02-22 00:00:00-05:00,PFE,SELL_REBALANCE,23005,29.352066040039062,REBALANCE_EXIT,,,,,0.015893118266951865
2019-02-22 00:00:00-05:00,VZ,SELL_REDUCE,259,38.512184143066406,REBALANCE_REDUCE,,,,,
2019-02-22 00:00:00-05:00,VZ,BUY_FULL_DEPLOY,17464,38.512184143066406,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-03-01 00:00:00-05:00,VZ,SELL_REDUCE,23188,38.53926467895508,REBALANCE_REDUCE,,,,,
2019-03-01 00:00:00-05:00,VZ,BUY_FULL_DEPLOY,22862,38.53926467895508,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-03-08 00:00:00-05:00,VZ,SELL_REDUCE,16898,38.248321533203125,REBALANCE_REDUCE,,,,,
2019-03-08 00:00:00-05:00,VZ,BUY_FULL_DEPLOY,17167,38.248321533203125,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-03-15 00:00:00-04:00,VZ,SELL_REDUCE,17021,39.50680923461914,REBALANCE_REDUCE,,,,,
2019-03-15 00:00:00-04:00,VZ,BUY_FULL_DEPLOY,16969,39.50680923461914,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-03-22 00:00:00-04:00,VZ,SELL_REDUCE,27857,40.43374252319336,REBALANCE_REDUCE,,,,,
2019-03-22 00:00:00-04:00,VZ,BUY_FULL_DEPLOY,27251,40.43374252319336,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-03-29 00:00:00-04:00,VZ,SELL_REDUCE,27951,40.007476806640625,REBALANCE_REDUCE,,,,,
2019-03-29 00:00:00-04:00,VZ,BUY_FULL_DEPLOY,27878,40.007476806640625,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-04-05 00:00:00-04:00,VZ,SELL_REDUCE,28375,39.98041915893555,REBALANCE_REDUCE,,,,,
2019-04-05 00:00:00-04:00,VZ,BUY_FULL_DEPLOY,28298,39.98041915893555,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-04-12 00:00:00-04:00,VZ,SELL_REDUCE,19332,40.15308380126953,REBALANCE_REDUCE,,,,,
2019-04-12 00:00:00-04:00,VZ,BUY_FULL_DEPLOY,19729,40.15308380126953,FULL_CAPITAL_DEPLOYMENT,,,,,
