date,value,cash,positions,drawdown,leverage,in_protection,risk_on,protection_stage
2002-12-18,91743.29357679472,51825.289162481386,2,-0.22470609278480733,0.3,True,False,1
2002-12-19,90946.5079953633,50186.675595498236,2,-0.23143947876384469,0.3,True,False,1
2002-12-20,90841.22605043187,50192.6501997358,2,-0.23232918358326865,0.3,True,False,1
2002-12-23,91695.78355994279,50198.62551523577,2,-0.22510758509188433,0.3,True,False,1
2002-12-24,91003.52406454248,50204.60154208282,2,-0.23095765377888294,0.3,True,False,1
2002-12-26,90434.12646272549,50560.46694843311,2,-0.23576945499356394,0.3,True,False,1
2002-12-27,89266.754282809,49572.44784561348,2,-0.24563455252011163,0.3,True,False,1
2002-12-30,88586.96422300523,49578.34932749986,2,-0.2513792459031778,0.3,True,False,1
2002-12-31,88305.1788222254,49584.251511943614,2,-0.25376052627637397,0.3,True,False,1
2003-01-02,89335.94377753502,49799.799001669395,2,-0.24504985371965393,0.3,True,False,1
2003-01-03,89521.64292575541,49121.23518359834,2,-0.24348056824300157,0.3,True,False,1
2003-01-06,90622.69264910684,49127.08294969163,2,-0.2341759410732696,0.3,True,False,1
2003-01-07,91430.73481301939,49132.931411947546,2,-0.2273474292330011,0.3,True,False,1
2003-01-08,90547.74624144344,49138.780570448966,2,-0.23480928974611256,0.3,True,False,1
2003-01-09,92119.78578092769,50469.16734512566,2,-0.22152447480927673,0.3,True,False,1
2003-01-10,92110.652151756,51147.844403252704,2,-0.22160166025544392,0.3,True,False,1
2003-01-13,92618.44034429663,51153.93343234833,2,-0.21731050090761625,0.3,True,False,1
2003-01-14,93443.70296011321,51160.02318632837,2,-0.21033646440913914,0.3,True,False,1
2003-01-15,92368.741403495,51166.113665279125,2,-0.21942062863351414,0.3,True,False,1
2003-01-16,90579.40814643967,64465.32726630407,2,-0.23454172488030733,0.3,True,False,1
2003-01-17,88923.60797426807,64473.00171002625,2,-0.24853437475150414,0.3,True,False,1
2003-01-21,88811.76798669806,64480.67706737268,2,-0.24947949954009124,0.3,True,False,1
2003-01-22,88888.93998772433,64488.35333845213,2,-0.24882734307316448,0.3,True,False,1
2003-01-23,90186.33980073367,64496.030523373374,2,-0.23786342264876528,0.3,True,False,1
2003-01-24,88757.75626422337,63369.2579918523,2,-0.2499359357298142,0.3,True,False,1
2003-01-27,88224.59192626741,63376.801951137044,2,-0.25444154095332483,0.3,True,False,1
2003-01-28,88607.34438327467,63384.34680851218,2,-0.2512070195368795,0.3,True,False,1
2003-01-29,88962.85869089306,63391.89256408462,2,-0.2482026792098817,0.3,True,False,1
2003-01-30,88574.74506344786,63399.4392179613,2,-0.2514825062025063,0.3,True,False,1
2003-01-31,88768.83430480266,63458.01611923365,2,-0.24984231867040685,0.3,True,False,1
2003-02-03,88969.61661377834,63465.570644962136,2,-0.24814557011520977,0.3,True,False,1
2003-02-04,88679.45262676016,63473.12607003892,2,-0.2505976553026699,0.3,True,False,1
2003-02-05,88611.66007858665,63480.682394571064,2,-0.25117054894431273,0.3,True,False,1
2003-02-06,88568.53703549493,63488.239618665655,2,-0.2515349683069292,0.3,True,False,1
2003-02-07,87953.75403016937,62878.76015411786,2,-0.2567303073851952,0.3,True,False,1
