date,value,cash,positions,leverage,regime_score,regime_label,drawdown
2014-05-23,122543.4080934932,3520.381886811408,12,0.825917132728353,0.673338955852431,STRONG_BULL,-0.07133495136766951
2014-05-27,123070.33895807592,3520.96302921812,12,0.9132913223084905,0.7502753809588641,STRONG_BULL,-0.06734173553830189
2014-05-28,122957.62796573657,3521.5442675594513,12,0.9090205597758225,0.7556545448399202,STRONG_BULL,-0.0681958880448355
2014-05-29,123840.79647645463,3522.125601851239,12,0.9424849354087736,0.7760651863454244,STRONG_BULL,-0.06150301291824527
2014-05-30,123846.53348702793,3522.7070321093224,12,0.9427023180197989,0.8712298274028627,STRONG_BULL,-0.06145953639604024
2014-06-02,124444.89287848279,16379.821023595883,12,0.8722618654652724,0.870807608965219,STRONG_BULL,-0.056925017061135764
2014-06-03,124485.43180192272,17130.622338032772,12,0.9028783327473363,0.8527581814060617,STRONG_BULL,-0.05661780281033636
2014-06-04,124533.94279142811,17133.51143108581,12,0.9687491289022768,0.893652779094141,STRONG_BULL,-0.05625017421954464
2014-06-05,125375.12956668815,17111.8112331857,12,0.9022173932738649,0.9087524229495165,STRONG_BULL,-0.0498754473394195
2014-06-06,126044.33898095158,11671.535559026004,12,0.965373479020152,0.9112396222742172,STRONG_BULL,-0.04480400854959886
2014-06-09,126194.43432374728,4271.353953424598,12,1.0,0.9099152835151019,STRONG_BULL,-0.04366654794698113
2014-06-10,127285.93142319708,4272.074320658807,12,1.0,0.9083811718155644,STRONG_BULL,-0.03539490590019512
2014-06-11,127339.46354539302,4272.794809383521,12,1.0,0.8958421152187277,STRONG_BULL,-0.03498922589148701
2014-06-12,125862.38529714504,4273.515419619231,12,1.0,0.8665288189795423,STRONG_BULL,-0.04618289974619521
2014-06-13,126558.26862906855,4274.236151386428,12,1.0,0.8479984547240731,STRONG_BULL,-0.040909319238379295
2014-06-16,126435.40852963385,13941.899460211249,12,0.8419310762412752,0.8663324082176234,STRONG_BULL,-0.04184038425437311
2014-06-17,126413.9618632325,15359.449141961453,12,1.0,0.8700266196702455,STRONG_BULL,-0.04200291253562845
2014-06-18,127234.63558692473,15362.039525249284,12,1.0,0.8463680184052835,STRONG_BULL,-0.03578363876659417
2014-06-19,127219.44203604943,16094.88064547251,12,1.0,0.8642079521360183,STRONG_BULL,-0.03589877935132274
2014-06-20,128075.15670395325,15841.844598244812,12,1.0,0.8830601748145448,STRONG_BULL,-0.029413956413494705
2014-06-23,128069.67548051453,6680.999884262802,12,0.9674946765509644,0.8796635849962803,STRONG_BULL,-0.029455494515873912
