symbol,entry_date,exit_date,pnl,return
BRK-B,2011-05-23,2011-05-25,267.09585083410064,0.00345364327344812
GOOGL,2011-05-23,2011-05-25,184.95287242952972,0.002391505677742268
SLB,2011-05-24,2011-05-26,424.9228970747849,0.022917443615636864
MSFT,2011-05-24,2011-05-26,398.2362985538792,0.021478150461264067
BA,2011-05-25,2011-05-27,555.3672888587759,0.00876239892344272
KO,2011-05-25,2011-05-27,-381.8785166643296,-0.006025151229525009
GE,2011-05-26,2011-05-31,334.859884402945,0.011313911833677505
V,2011-05-26,2011-05-31,659.043129908736,0.022267092039624237
PFE,2011-05-27,2011-05-31,1369.3006267531132,0.024751998895422095
SLB,2011-05-27,2011-05-31,658.6449344248762,0.011905916327532146
MU,2011-05-31,2011-06-02,-6122.185871604674,-0.07755155395363711
C,2011-05-31,2011-06-02,-2189.6356081246945,-0.02773676715531977
CMCSA,2011-06-01,2011-06-03,-164.93090283971983,-0.008714586955409068
XOM,2011-06-01,2011-06-03,-196.50951896793853,-0.010383131730479387
BA,2011-06-02,2011-06-06,-900.8840115451352,-0.014681187669487386
BAC,2011-06-02,2011-06-06,-2507.173992250528,-0.04085796998123746
AMZN,2011-06-03,2011-06-06,-407.4351160553402,-0.014071818074274779
HD,2011-06-03,2011-06-06,-285.4565970046783,-0.00985897666367522
JPM,2011-06-06,2011-06-08,-258.35657068168877,-0.0034906521168551747
CMCSA,2011-06-06,2011-06-08,609.6751066235875,0.008237312083506322
MU,2011-06-07,2011-06-09,-913.9462726035438,-0.05151143542575544
KO,2011-06-07,2011-06-09,186.9123925471182,0.010534673566244598
MRK,2011-06-08,2011-06-10,-578.7912113034623,-0.009547066114960801
AXP,2011-06-08,2011-06-10,-455.31958817203457,-0.007510421939416783
CAT,2011-06-09,2011-06-13,-1067.9783647787365,-0.0384992292587601
KO,2011-06-09,2011-06-13,-127.01255428266595,-0.0045786371778066435
GOOGL,2011-06-10,2011-06-13,-495.0085682842118,-0.009460609235781493
MCD,2011-06-10,2011-06-13,239.93023363037003,0.004585549280681184
MRK,2011-06-13,2011-06-15,-333.33505421022477,-0.004576461934394428
JNJ,2011-06-13,2011-06-15,-471.9841607494495,-0.006480019181975069
