date,action,symbol,entry_price,current_price,pct_change
2002-09-19,expelled,AMD,15.859999656677246,6.269999980926514,-0.6046658186220849
2002-09-19,expelled,HON,17.590911865234375,12.111053466796875,-0.31151644897201514
2002-09-19,expelled,AAPL,0.32809457182884216,0.21843014657497406,-0.33424638707853105
2002-09-19,expelled,NVDA,0.25831809639930725,0.06998472660779953,-0.7290754012850211
2002-09-19,replaced_by,INTC,8.563907623291016,8.563907623291016,0.0
2002-09-19,replaced_by,CSCO,7.764617919921875,7.764617919921875,0.0
2002-09-19,replaced_by,AMAT,8.667328834533691,8.667328834533691,0.0
2002-09-19,replaced_by,GE,71.48770904541016,71.48770904541016,0.0
2002-09-19,replaced_by,NVDA,0.06998472660779953,0.06998472660779953,0.0
2002-09-19,replaced_by,C,159.74732971191406,159.74732971191406,0.0
2002-09-19,replaced_by,KLAC,14.858622550964355,14.858622550964355,0.0
2002-09-19,replaced_by,HD,18.963743209838867,18.963743209838867,0.0
2002-09-19,replaced_by,MU,14.908648490905762,14.908648490905762,0.0
2002-09-19,replaced_by,TXN,10.433855056762695,10.433855056762695,0.0
2002-09-19,replaced_by,JPM,10.22572135925293,10.22572135925293,0.0
2002-09-19,replaced_by,MMM,25.426837921142578,25.426837921142578,0.0
2002-09-19,replaced_by,ADBE,9.77713394165039,9.77713394165039,0.0
2002-09-19,replaced_by,MS,17.077529907226562,17.077529907226562,0.0
2002-09-19,replaced_by,UNH,17.395565032958984,17.395565032958984,0.0
2002-09-19,replaced_by,PEP,19.830955505371094,19.830955505371094,0.0
2004-09-21,expelled,INTC,18.41057014465332,12.163095474243164,-0.33934172713410005
2004-09-21,expelled,NVDA,0.1772543489933014,0.11506273597478867,-0.3508608582622873
2004-09-21,replaced_by,INTC,12.163095474243164,12.163095474243164,0.0
2004-09-21,replaced_by,GOOGL,2.9268345832824707,2.9268345832824707,0.0
2005-05-12,expelled,BIIB,66.61000061035156,39.34000015258789,-0.40939799141100386
2005-05-12,expelled,AMD,22.020000457763672,15.300000190734863,-0.30517711749908316
2005-05-12,replaced_by,BIIB,39.34000015258789,39.34000015258789,0.0
2005-05-12,replaced_by,AMD,15.300000190734863,15.300000190734863,0.0
2006-05-12,expelled,AMZN,2.3575000762939453,1.6365000009536743,-0.305832471689122
2006-05-12,replaced_by,AMZN,1.6365000009536743,1.6365000009536743,0.0
2007-09-20,expelled,AMD,20.350000381469727,13.350000381469727,-0.34398033753228086
2007-09-20,replaced_by,AMD,13.350000381469727,13.350000381469727,0.0
