symbol,entry_date,exit_date,exit_reason,entry_price,exit_price,pnl,return
BRK-B,2021-05-25,2021-06-02,hold_expired,289.7848346557617,288.2158053588867,-542.9456038672799,-0.0054179139454969775
WFC,2021-05-27,2021-06-04,hold_expired,41.79341480978163,41.97442147132134,424.24203798642793,0.004307057998466827
C,2021-05-28,2021-06-07,hold_expired,67.20760006482568,66.13533588893074,-1564.2974531896145,-0.01596938701664272
BAC,2021-06-01,2021-06-08,hold_expired,38.405660217162804,37.96560420846282,-1807.513413713893,-0.011484140780448895
XOM,2021-06-01,2021-06-08,hold_expired,50.91662728004692,52.47335080962233,2885.3567973621944,0.030554331908489697
GOOGL,2021-06-02,2021-06-09,hold_expired,116.46517002061047,119.38380086611971,2418.0384530880815,0.02505153124314263
WFC,2021-06-04,2021-06-11,hold_expired,42.01641689050225,40.646575600818316,-3180.2165044814124,-0.03262632540172195
C,2021-06-07,2021-06-14,hold_expired,66.2015043090297,63.390253099035846,-4122.062117080404,-0.04248017079591154
BAC,2021-06-08,2021-06-15,hold_expired,38.00358880496954,36.90180976892854,-4624.6897276097825,-0.029017760446265986
XOM,2021-06-08,2021-06-15,hold_expired,52.52585041023225,53.85488624338874,2417.6812513733225,0.025283471334293366
BA,2021-06-09,2021-06-16,hold_expired,251.84586122131347,241.83902671051027,-3852.1954955007823,-0.03973793518889183
C,2021-06-14,2021-06-17,position_stop,63.45367506311692,57.84096511057436,-8372.11950093925,-0.08846942193590272
WFC,2021-06-11,2021-06-18,position_stop,40.68724250987366,37.69677659676764,-7046.040293923914,-0.07352343704246057
BAC,2021-06-15,2021-06-22,hold_expired,36.93873003883241,35.90060632290287,-4440.855225022169,-0.028131008154236727
XOM,2021-06-15,2021-06-22,hold_expired,53.9087680705457,53.62881865663357,-493.62080251154146,-0.0052115717714875985
NVDA,2021-06-16,2021-06-23,hold_expired,17.7437035587538,19.17525630411733,7581.1778997488,0.08062312023116337
C,2021-06-17,2021-06-24,hold_expired,57.898835010634954,60.34954353947669,3845.5863228605276,0.04231015232675702
WFC,2021-06-18,2021-06-25,hold_expired,37.73449223118161,40.99412898933268,7773.817744855887,0.08635697913163697
XOM,2021-06-22,2021-06-29,hold_expired,53.68247430311344,52.49846839662064,-3377.8048933824807,-0.02207435335043923
BAC,2021-06-22,2021-06-29,hold_expired,35.936524888508565,36.43696281026052,1275.9623628873442,0.013897780135988002
CVX,2021-06-23,2021-06-30,hold_expired,88.97296919631958,88.72638373595021,-266.31730688157177,-0.0027827042595720826
UNH,2021-06-24,2021-07-01,hold_expired,371.63863795026157,375.8975343574772,1091.757082109622,0.01145708753723684
NVDA,2021-06-25,2021-07-02,hold_expired,19.327703253981174,20.680878243782786,6734.822960763267,0.06996045893466868
META,2021-06-29,2021-07-07,hold_expired,349.90195148105283,343.1600849701851,-2983.0706729880094,-0.019270731364391554
XOM,2021-06-29,2021-07-07,hold_expired,52.55099312738264,49.777253302356456,-4904.075048557432,-0.05280090175080546
ADBE,2021-06-30,2021-07-08,hold_expired,583.6216820983886,601.1292776794434,2815.9580861921813,0.02999647908575029
BA,2021-07-01,2021-07-09,hold_expired,239.66977805328366,237.8710104904175,-712.2844272719973,-0.007509363831705341
WFC,2021-07-02,2021-07-12,hold_expired,39.90222373770959,39.02462953443412,-2159.7070650194073,-0.02201867768199485
NVDA,2021-07-07,2021-07-14,hold_expired,19.82209921681634,19.757657792808008,-510.7768224288075,-0.003301437617304164
META,2021-07-07,2021-07-14,hold_expired,343.50341672103065,346.6340221183534,845.7134765915093,0.009110842119699826
HD,2021-07-08,2021-07-15,hold_expired,287.2032830493995,290.0132282397592,922.7584906524314,0.009780338025859437
ADBE,2021-07-09,2021-07-16,hold_expired,606.303,602.448625,-599.2787778700688,-0.006358825537726194
NVDA,2021-07-14,2021-07-16,position_stop,19.777425334371596,17.866334067589595,-15086.453368720342,-0.09668049477901144
GOOGL,2021-07-12,2021-07-19,hold_expired,126.14886465246349,124.52386078504962,-1223.153619802543,-0.012889564023373976
META,2021-07-14,2021-07-21,hold_expired,346.98082954418464,344.1030133230696,-776.7716403990869,-0.008296758714009735
COST,2021-07-15,2021-07-22,hold_expired,391.20587271425745,396.6659524800386,1315.3654227954637,0.013954493392200491
NVDA,2021-07-16,2021-07-23,hold_expired,17.884209339293033,19.2582743531737,11130.077142816403,0.07677527073360375
ADBE,2021-07-16,2021-07-23,hold_expired,603.051375,623.8679026794434,3188.9421708614377,0.034517005585873055
GOOGL,2021-07-19,2021-07-26,hold_expired,124.64844693891159,133.1771191403228,6354.4980108799155,0.06841378621901713
META,2021-07-21,2021-07-28,hold_expired,344.4472884739681,358.31656580578345,3737.682411673214,0.04026240819969017
COST,2021-07-22,2021-07-29,hold_expired,397.0628168647109,404.71561343131987,1809.789284114634,0.01927099753895144
ADBE,2021-07-23,2021-07-30,hold_expired,624.4920826721191,625.5570601196289,267.49097584727093,0.001703748497430423
NVDA,2021-07-23,2021-07-30,hold_expired,19.277542261481027,19.646211214242243,1796.634480374118,0.019072397703718925
UNH,2021-07-26,2021-08-02,hold_expired,382.69214086593314,385.8543024296914,794.6195718737063,0.008260325275051076
AAPL,2021-07-28,2021-08-04,hold_expired,141.23736220024273,143.32932590400955,1425.9125104073823,0.014804607443760578
COST,2021-07-29,2021-08-05,hold_expired,405.12053150378733,420.6294996781898,3677.2672399772923,0.03827988701742086
NVDA,2021-07-30,2021-08-06,hold_expired,19.6658672534761,20.390175840211096,4579.857590092472,0.03677989774934257
