date,portfolio_value,cash,n_positions,leverage,drawdown,regime_score,crash_active,max_positions
2015-11-03,491765.7510565363,491765.7510565363,0,1.0,-0.020992855792911207,1.0,False,5
2015-11-04,491842.833386563,491842.833386563,0,1.0,-0.020839400308005716,1.0,False,5
2015-11-05,491919.92779893905,491919.92779893905,0,1.0,-0.020685920769561925,1.0,False,5
2015-11-06,491997.03429555835,491997.03429555835,0,1.0,-0.020532417173809558,1.0,False,5
2015-11-09,492073.886878315,394030.72330409626,1,1.0,-0.020378889516977645,1.0,False,5
2015-11-10,493062.1315641727,394092.4860563602,1,1.0,-0.01838113830187035,1.0,False,5
2015-11-11,493575.54364594043,394154.25848969043,1,1.0,-0.017358896713321168,1.0,False,5
2015-11-12,492473.0562306045,394216.0406056045,1,1.0,-0.01955409171671147,0.0,False,2
2015-11-13,491292.36269077624,315404.6546467241,2,1.0,-0.02185199150535468,0.0,False,2
2015-11-16,494863.4670736508,400131.4153158383,1,1.0,-0.014716926412470946,1.0,False,5
2015-11-17,494322.0176281472,400194.13432736596,1,1.0,-0.015874468286924508,1.0,False,5
2015-11-18,495858.5545760998,400256.8631698498,1,1.0,-0.012815070982234517,1.0,False,5
2015-11-19,496380.89590342453,496380.89590342453,0,1.0,-0.011774520933083002,1.0,False,5
2015-11-20,496458.70163909195,496458.70163909195,0,1.0,-0.011650130851489623,1.0,False,5
2015-11-23,496536.51957049966,496536.51957049966,0,1.0,-0.011495210931523867,1.0,False,5
2015-11-24,496614.34969955933,496614.34969955933,0,1.0,-0.011340266728475438,1.0,False,5
2015-11-25,496692.19202818285,496692.19202818285,0,1.0,-0.011185298238538015,1.0,False,5
2015-11-27,496770.0465582825,496770.0465582825,0,1.0,-0.011030305457904817,1.0,False,5
2015-11-30,496847.9132917708,496847.9132917708,0,1.0,-0.010875288382768243,1.0,False,5
2015-12-01,496926.1865543013,496926.1865543013,0,1.0,-0.010720247009320354,1.0,False,5
2015-12-02,497004.4721479767,497004.4721479767,0,1.0,-0.01056439619109123,1.0,False,5
2015-12-03,497082.7700747397,497082.7700747397,0,1.0,-0.010408520820173772,1.0,False,5
2015-12-04,497161.0803365332,497161.0803365332,0,1.0,-0.010252620892699769,1.0,False,5
2015-12-07,497239.4029353005,497239.4029353005,0,1.0,-0.010096696404800777,1.0,False,5
2015-12-08,497317.73787298513,497317.73787298513,0,1.0,-0.009940747352607427,1.0,False,5
2015-12-09,497396.085151531,497396.085151531,0,1.0,-0.00978477373224989,1.0,False,5
2015-12-10,497474.4447728822,497474.4447728822,0,1.0,-0.009628775539857746,1.0,False,5
2015-12-11,497523.5287389833,398019.6424627382,1,1.0,-0.009472752771559893,0.0,False,2
2015-12-14,499059.0056068378,398082.34635085636,1,1.0,-0.006442565418068699,0.0,False,2
2015-12-15,497389.5372444003,398145.0601173251,1,1.0,-0.009766683276847519,0.0,False,2
2015-12-16,500832.93525295856,398207.78376370075,1,1.0,-0.002910512472396882,1.0,False,5
2015-12-17,500786.8886752067,398270.5172915397,1,1.0,-0.003002216032736202,0.0,False,2
2015-12-18,497092.39708545536,398333.2607023987,1,1.0,-0.010358381584871025,0.0,False,2
2015-12-21,495991.9988916336,398396.01399783476,1,1.0,-0.012549417116800533,0.0,False,2
2015-12-22,495728.40579573804,398458.77717940503,1,1.0,-0.01307428013015668,0.0,False,2
2015-12-23,497368.55012098147,497368.55012098147,0,1.0,-0.009750273381861416,1.0,False,5
2015-12-24,497446.9054044727,497446.9054044727,0,1.0,-0.009683600864654094,1.0,False,5
2015-12-28,497525.2730320305,497525.2730320305,0,1.0,-0.009527586733520521,1.0,False,5
2015-12-29,497603.65300559945,497603.65300559945,0,1.0,-0.009371548023970194,1.0,False,5
2015-12-30,497682.04532712454,497682.04532712454,0,1.0,-0.009215484732131077,1.0,False,5
2015-12-31,497760.44999855105,497760.44999855105,0,1.0,-0.009059396854130554,0.0,False,2
2016-01-04,497839.4595937889,497839.4595937889,0,1.0,-0.008903284386095315,0.0,False,2
2016-01-05,497886.11023023236,398311.37813546765,1,1.0,-0.008745967447109019,0.0,False,2
2016-01-06,507138.39591778663,304289.05174054054,2,1.0,0.0,0.0,False,2
2016-01-07,499998.99544225703,304337.35159002314,2,1.0,-0.01420262263520888,0.0,False,2
2016-01-08,499257.7600020302,304385.6591061485,2,1.0,-0.01566419778088485,0.0,False,2
2016-01-11,500897.8896391403,304433.9742901336,2,1.0,-0.012430223010776002,0.0,False,2
2016-01-12,502400.96349356027,304482.2971431956,2,1.0,-0.00946649335387425,0.0,False,2
2016-01-13,491545.2290762196,294936.1727216969,2,1.0,-0.030693910336398355,0.0,False,2
2016-01-14,493943.89572494023,294982.9879872083,2,1.0,-0.026139075518732267,0.0,False,2
2016-01-15,487349.03091763146,295029.8106837142,2,1.0,-0.039142773311105584,0.0,False,2
2016-01-19,491674.3498749705,295076.6408123942,2,1.0,-0.030614170800136353,0.0,False,2
2016-01-20,491124.94227785507,295123.47837442794,2,1.0,-0.03169750141832692,0.0,False,2
2016-01-21,486748.0573473594,295170.3233709953,2,1.0,-0.04032781047177866,0.0,False,2
2016-01-22,488867.5544752887,388109.15265033755,1,1.0,-0.03608495256248979,0.0,False,2
2016-01-25,488954.5005715046,388170.7572777424,1,1.0,-0.03600627245344576,0.0,False,2
2016-01-26,489801.73268365953,489801.73268365953,0,1.0,-0.034312409249136984,0.0,False,2
2016-01-27,489879.4789904347,489879.4789904347,0,1.0,-0.03421423799443072,0.0,False,2
2016-01-28,489957.23763789353,489957.23763789353,0,1.0,-0.03406093866712822,0.0,False,2
2016-01-29,490035.0086279948,490035.0086279948,0,1.0,-0.03390761500659919,0.0,False,2
2016-02-01,490112.0141293506,490112.0141293506,0,1.0,-0.033754267008981154,0.0,False,2
2016-02-02,490189.03173157095,490189.03173157095,0,1.0,-0.0336024283937969,0.0,False,2
2016-02-03,490266.0614365573,490266.0614365573,0,1.0,-0.033450565918258734,0.0,False,2
2016-02-04,490343.10324621166,490343.10324621166,0,1.0,-0.033298679578617346,0.0,False,2
2016-02-05,489879.8341624361,293725.3217436891,2,1.0,-0.033146769371122535,0.0,False,2
2016-02-08,483969.22741886467,293771.47857996315,2,1.0,-0.04580572038006149,0.0,False,2
2016-02-09,484763.2412047536,293817.6426694543,2,1.0,-0.044240106881733784,0.0,False,2
2016-02-10,485427.45153075457,293863.8140133023,2,1.0,-0.04293043844475317,0.0,False,2
2016-02-11,484952.0802591317,293909.9926126473,2,1.0,-0.043867784685935246,0.0,False,2
2016-02-12,488177.7283477034,293956.1784686293,2,1.0,-0.037507500961013546,0.0,False,2
2016-02-16,494770.59884536243,294002.37158238865,2,1.0,-0.024507764490011727,0.0,False,2
2016-02-17,499381.96403914184,499381.96403914184,0,1.0,-0.014349735709623253,0.0,False,2
2016-02-18,499460.43834777654,499460.43834777654,0,1.0,-0.015324041364971548,0.0,False,2
2016-02-19,499538.9249880883,499538.9249880883,0,1.0,-0.015169306571471801,0.0,False,2
2016-02-22,499617.423962015,499617.423962015,0,1.0,-0.015014547462504493,0.0,False,2
2016-02-23,499695.9352714948,499695.9352714948,0,1.0,-0.014859764034248591,0.0,False,2
2016-02-24,499774.458918466,499774.458918466,0,1.0,-0.014704956282882493,0.0,False,2
2016-02-25,499852.9949048675,499852.9949048675,0,1.0,-0.014550124204584137,0.0,False,2
2016-02-26,499931.5432326383,499931.5432326383,0,1.0,-0.014395267795530539,0.0,False,2
2016-02-29,500010.1039037177,500010.1039037177,0,1.0,-0.014240387051898373,0.0,False,2
2016-03-01,500085.89908613486,500085.89908613486,0,1.0,-0.014085481969863626,0.0,False,2
2016-03-02,500161.7057581392,500161.7057581392,0,1.0,-0.013936029848479699,0.0,False,2
