date,portfolio_value,cash,n_positions,leverage,drawdown,regime_score,crash_active,max_positions,compass_account,rattle_account,catalyst_account,efa_value,recycled_pct,n_compass,n_rattle,n_catalyst,n_efa
2021-11-15,1076649.6633318367,138983.46603402478,7,1.0,-0.02686206555366645,0.7958734254466922,False,5,605224.4265268233,59067.97306446053,218716.06299592403,193641.2007446289,0.23460770678270196,5,0,1,1
2021-11-16,1087987.21760887,146263.63379954922,7,1.0,-0.016614228756597287,0.7943938633589018,False,5,613083.1831973225,62162.04436480842,219529.924220323,193212.06582641602,0.23694683176835404,5,0,1,1
2021-11-17,1084333.2072411524,152349.80799152656,7,1.0,-0.019917633107483134,0.7979048987822395,False,5,607929.7236366252,64748.66839639878,218681.12506835788,192973.6901397705,0.24345757663239156,5,0,1,1
2021-11-18,1086271.84642628,173455.94532582734,7,1.0,-0.018163150366145697,0.8044826745399478,False,5,617988.0800932384,73718.77676347662,222496.09486283895,172068.89470672607,0.24895172276478156,5,0,1,1
2021-11-19,1084410.1121075137,157126.9332883666,7,1.0,-0.01985212016584339,0.8060068227175475,False,5,630133.2802289708,66778.9466475558,216894.2183990167,170603.66683197021,0.24556294569744147,5,0,1,1
2021-11-22,1079648.1743595372,154144.100231364,7,1.0,-0.024154058704850316,0.7916456600950349,False,5,626693.6660535904,65511.24259832969,217837.61314261475,169605.65256500244,0.23298683408332238,5,0,1,1
2021-11-23,1082472.0910873758,151276.65131506103,7,1.0,-0.02160081308081546,0.8005021672445253,False,5,627812.82474009,64292.576808900936,220930.92604198572,169435.76349639893,0.23206889302632006,5,0,1,1
2021-11-24,1089819.8531579808,159194.39333552064,7,1.0,-0.01495902668913231,0.8592460722531352,False,5,632475.1240634206,67657.61716759627,221376.81683724216,168310.29508972168,0.22447394812737634,5,0,1,1
2021-11-26,1060047.3673572086,324776.03805447696,6,1.0,-0.04186898632717075,0.5459471734936551,False,5,687579.1757493219,138029.8161731527,234438.37543473404,0.0,0.22989357666946522,5,0,1,0
2021-11-29,1067042.3264419008,324809.80445208424,6,1.0,-0.03556499829425086,0.5353924841517022,False,5,694554.71915539,138044.1668921358,234443.44039437512,0.0,0.22843853076478388,5,0,1,0
