date,portfolio_value,cash,n_positions,leverage,drawdown,regime_score,crash_active,max_positions,rebalance_today,n_trend_holdings
2022-12-13,650085.1221010637,142.07328819751274,1,1.0,-0.2855671923566398,1.0,False,4,True,1
2022-12-14,648503.8218050393,142.09826377952524,1,1.0,-0.2871945573869931,1.0,False,4,False,1
2022-12-15,637897.0967850118,142.1232437520865,1,1.0,-0.2988529799940283,1.0,False,4,False,1
2022-12-16,643451.1523327302,142.14822811596832,1,1.0,-0.2927482184811215,1.0,False,4,False,1
2022-12-19,641638.4414663836,142.17321687194269,1,1.0,-0.2947406666068894,1.0,False,4,False,1
2022-12-20,652283.7652723987,142.1982100207817,1,1.0,-0.2830398180054285,1.0,False,4,True,1
2022-12-21,651203.8349781932,142.22320756325757,1,1.0,-0.2842268275468493,1.0,False,4,False,1
2022-12-22,643335.5470223663,142.2482095001427,1,1.0,-0.2928752865219738,1.0,False,4,False,1
2022-12-23,645264.0720286984,142.2732158322096,1,1.0,-0.2907555408484457,1.0,False,4,False,1
2022-12-27,650702.4811641823,142.2982265602309,1,1.0,-0.28477789253436,1.0,False,4,False,1
2022-12-28,647771.2073664408,142.32324168497937,1,1.0,-0.28799981340848324,1.0,False,4,True,1
2022-12-29,651396.821802467,142.34826120722795,1,1.0,-0.2840147053608263,1.0,False,4,False,1
2022-12-30,654443.8509310018,142.37328512774968,1,1.0,-0.28066555157930106,1.0,False,4,False,1
2023-01-03,659920.8088969435,142.39831344731778,1,1.0,-0.27464553216995147,1.0,False,4,False,1
2023-01-04,666130.6062837888,142.42334616670553,1,1.0,-0.26782000949241,1.0,False,4,False,1
2023-01-05,657838.1048621685,142.4483832866864,1,1.0,-0.2769347443301125,1.0,False,4,True,1
2023-01-06,670141.9693201937,142.47342480803403,1,1.0,-0.26341090439179027,1.0,False,4,False,1
2023-01-09,671646.2220119913,142.4984707315221,1,1.0,-0.261757499264661,1.0,False,4,False,1
2023-01-10,674114.7247081917,142.5235210579245,1,1.0,-0.25904423503641644,1.0,False,4,False,1
2023-01-11,673651.8697427802,142.54857578801526,1,1.0,-0.2595529838567592,1.0,False,4,False,1
2023-01-12,681443.0512807966,142.57363492256846,1,1.0,-0.25098927670701515,1.0,False,4,True,1
2023-01-13,689619.8975113286,142.5986984623584,1,1.0,-0.24200166472711868,1.0,False,4,False,1
2023-01-17,685107.2396416523,142.62376640815953,1,1.0,-0.24696176998636704,1.0,False,4,False,1
2023-01-18,683140.2159011387,142.64883876074634,1,1.0,-0.24912383170132257,1.0,False,4,False,1
2023-01-19,693978.4015613949,142.67391552089356,1,1.0,-0.23721099825098763,1.0,False,4,False,1
2023-01-20,691664.2031013037,142.698996689376,1,1.0,-0.2397546583943003,1.0,False,4,True,1
2023-01-23,692975.6529152747,142.72408226696862,1,1.0,-0.2383131732919155,1.0,False,4,False,1
2023-01-24,695482.7044640025,142.7491722544465,1,1.0,-0.23555753794415366,1.0,False,4,False,1
2023-01-25,698684.0466207785,142.77426665258488,1,1.0,-0.23203877040411924,1.0,False,4,False,1
2023-01-26,692358.5940737141,142.79936546215913,1,1.0,-0.23899141590554276,1.0,False,4,False,1
2023-01-27,691394.3691769359,142.82446868394473,1,1.0,-0.2400512474143662,1.0,False,4,True,1
2023-01-30,689620.148389185,142.84957631871734,1,1.0,-0.24200138902222518,1.0,False,4,False,1
2023-01-31,692127.2588131231,142.87468836725273,1,1.0,-0.23924568896155338,1.0,False,4,False,1
2023-02-01,700844.0834795043,142.9005418822906,1,1.0,-0.2296645584171281,1.0,False,4,False,1
2023-02-02,686303.2028588158,142.9264000755836,1,1.0,-0.24564722328481461,1.0,False,4,False,1
2023-02-03,669178.1981583338,142.95226294797823,1,1.0,-0.2644702380740748,1.0,False,4,True,1
2023-02-06,670566.746380012,142.97813050032119,1,1.0,-0.2629440099606142,1.0,False,4,False,1
2023-02-07,671183.8475238517,143.00400273345934,1,1.0,-0.2622657208699634,1.0,False,4,False,1
2023-02-08,672842.4140044041,143.02987964823967,1,1.0,-0.260442701148697,1.0,False,4,False,1
2023-02-09,667519.7610529936,143.05576124550936,1,1.0,-0.2662931156178063,1.0,False,4,False,1
2023-02-10,668792.6040016521,143.0816475261157,1,1.0,-0.2648940654002241,1.0,False,4,True,1
2023-02-13,665398.4510596091,143.10753849090614,1,1.0,-0.26862476166648575,1.0,False,4,False,1
2023-02-14,665899.9057882667,143.1334341407283,1,1.0,-0.2680735857778954,1.0,False,4,False,1
2023-02-15,659265.8869803505,143.15933447642996,1,1.0,-0.27536539307206837,1.0,False,4,False,1
2023-02-16,658725.9352394989,143.18523949885903,1,1.0,-0.27595888310998296,1.0,False,4,False,1
2023-02-17,660693.009962075,143.2111492088636,1,1.0,-0.2737967653678934,1.0,False,4,True,1
2023-02-21,658224.5582305995,143.23706360729187,1,1.0,-0.2765099735880574,1.0,False,4,False,1
2023-02-22,654521.8971074509,143.26298269499225,1,1.0,-0.28057976780819593,1.0,False,4,False,1
